NewtonCG with backtrack line search.

CUTEst problem................: BIGGS6
Number of variables...........: 6
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 1011
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.023164
Subproblem time in seconds..............: 0.007642
Line search time in seconds.............: 0.005930
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       3.009228e-01     2.553901e+00     1.000000e+00     5.558605e-01   
2       2.934421e-01     1.514530e-01     1.000000e+00     9.592392e-02   
3       2.929053e-01     3.263691e-02     1.000000e+00     3.283599e-02   
4       2.923497e-01     1.413794e-01     1.000000e+00     7.847415e-03   
5       2.917273e-01     3.381736e-02     1.000000e+00     3.674392e-02   
6       2.910816e-01     1.520844e-01     1.000000e+00     8.477852e-03   
7       2.903480e-01     3.511802e-02     1.000000e+00     4.172021e-02   
8       2.895841e-01     1.650155e-01     1.000000e+00     9.242332e-03   
9       2.886997e-01     3.656670e-02     1.000000e+00     4.833362e-02   
10      2.877743e-01     1.811009e-01     1.000000e+00     1.019931e-02   
11      2.866747e-01     3.820784e-02     1.000000e+00     5.756920e-02   
12      2.855163e-01     2.019534e-01     1.000000e+00     1.144774e-02   
13      2.840845e-01     4.010846e-02     1.000000e+00     7.152118e-02   
14      2.825607e-01     2.306495e-01     1.000000e+00     1.318146e-02   
15      2.805535e-01     4.238686e-02     1.000000e+00     9.525283e-02   
16      2.783765e-01     2.741295e-01     1.000000e+00     1.583732e-02   
17      2.751277e-01     4.527278e-02     1.000000e+00     1.458386e-01   
18      2.714559e-01     3.527909e-01     1.000000e+00     2.073845e-02   
19      2.640077e-01     4.936267e-02     1.000000e+00     3.304943e-01   
20      2.537704e-01     5.771476e-01     1.000000e+00     3.525087e-02   
21      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
22      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
23      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
24      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
25      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
26      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
27      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
28      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
29      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
30      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
31      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
32      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
33      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
34      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
35      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
36      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
37      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
38      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
39      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
40      2.537704e-01     5.718498e-02     1.000000e+00     0.000000e+00   
