NewtonCG with backtrack line search.

CUTEst problem................: MINMAXBD
Number of variables...........: 5
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 1000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.017430
Subproblem time in seconds..............: 0.006437
Line search time in seconds.............: 0.005037
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
2       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
3       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
4       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
5       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
6       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
7       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
8       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
9       8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
10      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
11      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
12      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
13      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
14      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
15      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
16      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
17      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
18      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
19      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
20      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
21      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
22      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
23      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
24      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
25      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
26      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
27      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
28      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
29      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
30      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
31      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
32      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
33      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
34      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
35      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
36      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
37      8.255590e+02     1.000000e+00     1.000000e+00     0.000000e+00   
