NewtonCG with backtrack line search.

CUTEst problem................: POWELLBSLS
Number of variables...........: 2
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 117
Subproblem iterations...................: 196
Line search iterations..................: 127
Number of objective function evaluations: 244
Number of gradient evaluations..........: 118
Number of hessian evaluations...........: 117
Total time in seconds...................: 0.001227
Subproblem time in seconds..............: 0.000398
Line search time in seconds.............: 0.000379
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       1.351882e-01     2.000074e+04     1.000000e+00     1.000037e-04   
2       1.122339e-01     2.704499e-01     1.000000e+00     5.000000e-01   
3       4.971272e-02     7.501273e+03     1.000000e+00     1.666950e-05   
4       3.061549e-02     9.947994e-02     1.000000e+00     4.998796e-01   
5       1.827947e-02     4.442439e+03     1.000000e+00     5.553718e-06   
6       1.062010e-02     3.659273e-02     1.000000e+00     4.997690e-01   
7       6.719712e-03     3.122214e+03     1.000000e+00     2.498473e-06   
8       4.065192e-03     1.345975e-02     1.000000e+00     4.996124e-01   
9       2.469149e-03     2.396440e+03     1.000000e+00     1.332011e-06   
10      1.675121e-03     4.950446e-03     1.000000e+00     4.993673e-01   
11      9.066274e-04     1.939760e+03     1.000000e+00     7.923596e-07   
12      7.462421e-04     1.820506e-03     1.000000e+00     4.989734e-01   
13      3.325008e-04     1.626275e+03     1.000000e+00     5.088209e-07   
14      2.163596e-04     6.693326e-04     5.000000e-01     4.983348e-01   
15      2.012667e-04     3.299708e+02     1.000000e+00     9.148044e-08   
16      1.335680e-04     4.058815e-04     5.000000e-01     4.978783e-01   
17      1.217609e-04     3.089585e+02     1.000000e+00     7.643176e-08   
18      8.296659e-05     2.461105e-04     5.000000e-01     4.972957e-01   
19      7.360929e-05     2.902569e+02     1.000000e+00     6.447600e-08   
20      5.195835e-05     1.492199e-04     5.000000e-01     4.965515e-01   
21      4.445886e-05     2.734483e+02     1.000000e+00     5.485121e-08   
22      3.288950e-05     9.046487e-05     5.000000e-01     4.956005e-01   
23      2.682085e-05     2.581920e+02     1.000000e+00     4.700875e-08   
24      2.110668e-05     5.483742e-05     5.000000e-01     4.943848e-01   
25      1.615589e-05     2.442033e+02     1.000000e+00     4.054644e-08   
26      1.377855e-05     3.323547e-05     5.000000e-01     4.928301e-01   
27      9.712870e-06     2.312369e+02     1.000000e+00     3.516461e-08   
28      9.180677e-06     2.013880e-05     5.000000e-01     4.908410e-01   
29      5.824831e-06     2.190751e+02     1.000000e+00     3.063649e-08   
30      4.681021e-06     1.219958e-05     2.500000e-01     4.882953e-01   
31      4.507304e-06     5.086169e+01     1.000000e+00     6.830976e-09   
32      3.643062e-06     9.497401e-06     2.500000e-01     4.867687e-01   
