NewtonCG with backtrack line search.

CUTEst problem................: SBRYBND
Number of variables...........: 5000
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 618
Subproblem iterations...................: 151847
Line search iterations..................: 1517
Number of objective function evaluations: 2135
Number of gradient evaluations..........: 618
Number of hessian evaluations...........: 618
Total time in seconds...................: 602.243066
Subproblem time in seconds..............: 597.960521
Line search time in seconds.............: 2.184453
How many times subproblem failed........: 75
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       1.146629e+05     2.563949e+08     1.000000e+00     7.327706e-05   
2       1.127169e+05     2.175608e+08     6.250000e-02     4.879616e-04   
3       1.122657e+05     2.924576e+08     1.000000e+00     2.939596e-06   
4       1.055530e+05     1.203072e+08     5.000000e-01     4.036476e-04   
5       1.040662e+05     1.305510e+09     1.000000e+00     2.157629e-06   
6       1.038191e+05     3.225849e+08     1.000000e+00     1.577337e-06   
7       9.574173e+04     1.026715e+08     1.000000e+00     3.549992e-04   
8       9.561821e+04     4.904766e+08     1.000000e+00     4.995721e-07   
9       9.535907e+04     1.239273e+08     1.000000e+00     6.397719e-06   
10      8.634059e+04     4.385380e+07     1.000000e+00     9.536307e-04   
11      8.607407e+04     2.305517e+07     1.250000e-01     3.613041e-04   
12      8.597728e+04     5.937097e+07     1.000000e+00     2.699722e-06   
13      8.582322e+04     2.897038e+07     1.000000e+00     1.313388e-05   
14      8.574888e+04     1.104732e+07     3.906250e-03     7.168112e-03   
15      8.566349e+04     7.694978e+07     1.000000e+00     2.064024e-06   
16      8.539385e+04     2.120332e+07     7.812500e-03     6.244242e-03   
17      8.532981e+04     3.078518e+07     1.000000e+00     6.988245e-06   
18      8.504307e+04     1.582113e+07     3.906250e-03     1.448325e-02   
19      8.499676e+04     2.995759e+07     1.250000e-01     6.277666e-05   
20      8.495209e+04     2.502678e+07     1.000000e+00     4.668711e-06   
21      8.469921e+04     1.208089e+07     1.953125e-03     3.141592e-02   
22      8.463671e+04     4.618477e+07     1.000000e+00     2.444279e-06   
23      8.453304e+04     1.734846e+07     7.812500e-03     2.893139e-03   
24      8.447087e+04     2.247495e+07     1.250000e-01     1.403425e-04   
25      8.442807e+04     3.517262e+07     1.000000e+00     4.851611e-06   
26      8.067753e+04     2.126889e+07     5.000000e-01     2.073873e-03   
27      8.036778e+04     1.639998e+08     1.000000e+00     3.387250e-06   
28      8.018585e+04     6.442274e+07     1.000000e+00     5.826041e-06   
29      8.012614e+04     2.667076e+07     1.000000e+00     5.389892e-06   
30      8.006344e+04     1.231969e+07     3.125000e-02     6.056762e-04   
31      8.002592e+04     1.511545e+07     1.250000e-01     7.726262e-05   
32      8.000756e+04     2.137331e+07     1.000000e+00     2.992997e-06   
33      7.991363e+04     1.008261e+07     7.812500e-03     3.921048e-03   
34      7.989724e+04     1.673393e+07     1.000000e+00     1.941789e-06   
35      7.966874e+04     7.010028e+06     7.812500e-03     1.208989e-02   
36      7.961493e+04     2.939554e+07     1.000000e+00     3.039360e-06   
37      7.958701e+04     1.547619e+07     1.000000e+00     4.122039e-06   
38      5.954590e+04     5.191565e+06     1.000000e+00     2.450523e-02   
39      5.925314e+04     1.045459e+07     1.000000e+00     1.651144e-04   
40      5.925163e+04     7.602689e+06     6.250000e-02     6.951303e-04   
41      5.920428e+04     2.076956e+07     1.000000e+00     3.804787e-06   
42      5.917254e+04     7.666263e+06     1.000000e+00     9.234465e-06   
43      5.913839e+04     3.232164e+06     6.250000e-02     4.677107e-04   
44      5.908035e+04     4.504833e+06     3.906250e-03     1.458375e-02   
45      5.906013e+04     7.752654e+06     1.000000e+00     9.011715e-06   
46      5.905102e+04     3.649087e+06     7.812500e-03     5.918707e-03   
47      5.901817e+04     2.503036e+07     1.000000e+00     2.198779e-06   
48      5.900348e+04     8.576263e+06     1.000000e+00     4.408178e-06   
49      5.893059e+04     3.212494e+06     9.765625e-04     8.101864e-02   
50      5.891382e+04     1.094138e+07     1.000000e+00     3.299779e-06   
51      5.890959e+04     5.910831e+06     1.000000e+00     2.155893e-06   
52      5.886488e+04     1.645456e+06     3.906250e-03     1.456225e-02   
53      5.884790e+04     1.079872e+07     1.000000e+00     3.243253e-06   
54      5.883573e+04     3.294462e+06     1.953125e-03     2.659435e-02   
55      5.880266e+04     2.074390e+07     1.000000e+00     2.639840e-06   
56      5.879232e+04     7.999102e+06     1.000000e+00     2.515416e-06   
57      5.878643e+04     3.499649e+06     2.441406e-04     6.064861e-02   
58      5.877799e+04     7.465569e+06     1.000000e+00     2.268169e-06   
59      5.875250e+04     2.859348e+06     7.812500e-03     6.844499e-03   
60      5.873162e+04     1.853824e+07     1.000000e+00     1.911565e-06   
61      5.871895e+04     8.329656e+06     1.000000e+00     4.056718e-06   
62      5.868916e+04     2.573896e+06     3.125000e-02     3.349940e-03   
63      5.863189e+04     2.588361e+07     1.000000e+00     3.706355e-06   
64      5.861467e+04     1.226819e+07     1.000000e+00     3.102885e-06   
65      5.860754e+04     6.393426e+06     1.000000e+00     3.251797e-06   
66      5.858720e+04     1.732333e+06     4.882813e-04     6.002343e-02   
67      5.853244e+04     2.858847e+06     7.812500e-03     1.357710e-02   
68      5.849597e+04     2.303643e+07     1.000000e+00     2.706213e-06   
69      5.847892e+04     9.646792e+06     1.000000e+00     3.419823e-06   
70      5.597066e+04     4.132133e+06     1.000000e+00     4.459573e-03   
71      5.596047e+04     9.859245e+06     1.000000e+00     2.592708e-06   
72      5.595183e+04     4.229018e+06     1.000000e+00     3.708388e-04   
73      5.569539e+04     9.028584e+07     1.000000e+00     4.616834e-06   
74      5.562609e+04     3.284381e+07     1.000000e+00     3.791871e-06   
75      5.560477e+04     1.386622e+07     1.000000e+00     3.490466e-06   
76      5.559411e+04     5.485617e+06     1.000000e+00     4.765872e-06   
77      5.557944e+04     2.370533e+06     7.812500e-03     3.753293e-03   
78      5.556029e+04     2.810923e+06     4.882813e-04     9.764569e-02   
79      5.555112e+04     3.870917e+06     1.000000e+00     5.869684e-06   
80      5.554586e+04     1.228116e+06     1.250000e-01     1.862770e-04   
81      5.554533e+04     3.735940e+07     1.000000e+00     2.874268e-08   
82      5.553659e+04     6.297397e+06     1.000000e+00     2.952191e-06   
83      5.553514e+04     3.001792e+06     1.000000e+00     1.343203e-06   
84      5.552098e+04     1.320065e+06     3.906250e-03     8.944866e-03   
85      5.551583e+04     3.752177e+06     1.000000e+00     2.382442e-06   
86      5.551546e+04     1.588094e+06     4.882813e-04     7.196207e-02   
87      5.550247e+04     5.046279e+06     1.000000e+00     4.437559e-06   
88      4.686469e+04     1.827497e+06     1.000000e+00     4.725326e-02   
89      4.662980e+04     1.724565e+08     1.000000e+00     4.233094e-06   
90      4.654996e+04     8.198789e+07     1.000000e+00     3.957669e-06   
91      4.654799e+04     4.085213e+07     1.000000e+00     9.717167e-08   
92      4.652368e+04     1.741022e+07     1.000000e+00     3.642012e-06   
93      4.651491e+04     4.733881e+06     1.000000e+00     3.890276e-06   
94      4.651274e+04     1.939383e+06     2.441406e-04     6.841309e-02   
95      4.651224e+04     4.348499e+07     1.000000e+00     2.343565e-08   
96      4.651217e+04     7.728850e+06     1.000000e+00     1.811907e-08   
97      4.605000e+04     2.694389e+06     1.000000e+00     5.655230e-04   
98      4.603969e+04     1.629751e+06     1.562500e-02     3.881660e-03   
99      4.603961e+04     1.707047e+07     1.000000e+00     9.272008e-09   
100     4.602423e+04     4.705891e+06     1.000000e+00     5.686234e-06   
101     4.602023e+04     1.960533e+06     1.562500e-02     4.337074e-03   
102     4.599996e+04     6.586991e+06     1.000000e+00     5.159695e-06   
103     4.598676e+04     2.905899e+06     1.000000e+00     1.279402e-05   
104     4.597127e+04     9.949917e+05     1.562500e-02     2.884476e-03   
105     4.597122e+04     1.477802e+07     1.000000e+00     7.717434e-09   
106     4.595923e+04     1.489090e+06     5.000000e-01     1.208008e-04   
107     4.595908e+04     2.150111e+07     1.000000e+00     1.366178e-08   
108     4.594970e+04     6.120067e+06     1.000000e+00     3.309686e-06   
109     4.594505e+04     1.753555e+06     1.000000e+00     7.418210e-06   
110     4.107566e+04     8.339377e+05     1.000000e+00     6.181881e-02   
111     4.107367e+04     1.111731e+07     1.000000e+00     3.811800e-07   
112     4.105697e+04     4.455542e+06     7.812500e-03     4.861235e-03   
113     4.101780e+04     4.555841e+06     1.562500e-02     4.072920e-03   
114     4.101775e+04     1.154060e+07     1.000000e+00     7.619477e-09   
115     4.100851e+04     5.243799e+06     9.765625e-04     1.055696e-02   
116     4.097214e+04     5.214769e+06     1.000000e+00     2.387808e-05   
117     4.093186e+04     2.212831e+06     1.562500e-02     5.999735e-03   
118     4.093111e+04     2.567187e+07     1.000000e+00     5.831672e-08   
119     4.091134e+04     8.970367e+06     1.000000e+00     4.343788e-06   
120     4.047416e+04     3.126009e+06     1.000000e+00     1.446490e-03   
121     4.041056e+04     2.677505e+07     1.000000e+00     3.855393e-06   
122     4.035169e+04     1.129656e+07     1.000000e+00     1.048316e-05   
123     4.033617e+04     4.852558e+06     1.000000e+00     9.450300e-06   
124     4.033333e+04     1.360728e+06     3.906250e-03     3.035567e-03   
125     4.032021e+04     2.677457e+06     1.000000e+00     3.253532e-05   
126     4.031915e+04     1.660397e+06     2.500000e-01     7.293238e-05   
127     4.031350e+04     7.031233e+06     1.000000e+00     2.136629e-06   
128     4.031294e+04     2.132682e+06     7.812500e-03     9.279557e-04   
129     4.031286e+04     1.586806e+07     1.000000e+00     9.464952e-09   
130     4.031035e+04     3.111412e+06     1.000000e+00     1.736943e-06   
131     4.030878e+04     1.229064e+06     6.250000e-02     1.413462e-04   
132     4.030607e+04     2.380785e+06     1.000000e+00     3.498754e-06   
133     4.029715e+04     9.601638e+05     9.765625e-04     4.401318e-02   
134     4.029589e+04     3.038533e+06     1.000000e+00     9.778107e-07   
135     4.000959e+04     1.175127e+06     2.500000e-01     2.235088e-02   
136     3.974817e+04     1.343310e+09     1.000000e+00     3.865762e-07   
137     3.972108e+04     2.036906e+08     1.000000e+00     2.755331e-07   
138     3.971782e+04     4.579295e+07     1.000000e+00     1.895356e-07   
139     3.971729e+04     1.221683e+07     1.000000e+00     1.247681e-07   
140     3.971715e+04     3.845434e+06     1.000000e+00     1.166201e-07   
141     3.960780e+04     1.612273e+06     2.500000e-01     3.010076e-03   
142     3.958670e+04     5.527754e+06     1.000000e+00     6.421360e-06   
143     3.958025e+04     2.695348e+06     1.000000e+00     5.802686e-06   
144     3.842777e+04     9.535570e+05     1.000000e+00     3.226681e-02   
145     3.835375e+04     5.531493e+08     1.000000e+00     2.663854e-07   
146     3.807298e+04     1.083966e+08     1.000000e+00     9.328626e-06   
147     3.797743e+04     2.789874e+07     1.000000e+00     8.811925e-06   
148     3.792932e+04     1.431752e+07     1.000000e+00     1.167050e-05   
149     3.792411e+04     3.141784e+06     1.250000e-01     2.874927e-04   
150     3.792370e+04     3.512072e+07     1.000000e+00     2.339218e-08   
151     3.790196e+04     1.599678e+07     1.000000e+00     2.494438e-06   
152     3.788399e+04     6.825903e+06     1.000000e+00     7.157511e-06   
153     3.771126e+04     2.453863e+06     1.000000e+00     6.855742e-04   
154     3.763731e+04     6.765489e+06     1.000000e+00     3.197914e-05   
155     3.762143e+04     3.196056e+06     1.000000e+00     2.261071e-05   
156     3.761156e+04     1.210452e+06     1.250000e-01     3.860901e-04   
157     3.760685e+04     1.370269e+06     1.562500e-02     4.499552e-03   
158     3.760129e+04     4.137261e+06     1.000000e+00     2.450773e-06   
159     3.759515e+04     1.639775e+06     1.000000e+00     1.088701e-05   
160     3.758695e+04     7.722484e+05     1.953125e-03     7.116174e-02   
161     3.757649e+04     1.237360e+06     1.000000e+00     2.519896e-05   
162     3.756638e+04     5.181085e+05     9.765625e-04     1.291987e-01   
163     3.755804e+04     1.271705e+06     1.953125e-03     5.723513e-02   
164     3.754822e+04     1.331221e+06     1.000000e+00     3.180428e-05   
165     3.754324e+04     6.201637e+05     7.812500e-03     6.305765e-03   
166     3.753986e+04     1.419690e+06     1.000000e+00     4.233665e-06   
167     3.753795e+04     7.464604e+05     1.220703e-04     2.959781e-01   
168     3.753766e+04     3.236351e+07     1.000000e+00     1.785338e-08   
169     3.753762e+04     5.623553e+06     1.000000e+00     1.245828e-08   
170     3.753602e+04     1.406938e+06     1.000000e+00     5.573552e-06   
171     3.749937e+04     5.731584e+05     1.562500e-02     4.741458e-02   
172     3.748711e+04     2.463130e+08     1.000000e+00     9.931987e-08   
173     3.748579e+04     3.995759e+07     1.000000e+00     6.872263e-08   
174     3.748564e+04     8.430301e+06     1.000000e+00     4.322211e-08   
175     3.748560e+04     3.630927e+06     1.000000e+00     3.250276e-08   
176     3.719146e+04     7.408005e+05     2.500000e-01     4.269017e-02   
177     3.697017e+04     9.129172e+06     1.000000e+00     4.115823e-05   
178     3.687632e+04     4.807521e+06     1.000000e+00     4.713620e-05   
179     3.684678e+04     2.717723e+06     1.000000e+00     4.276937e-05   
180     3.683511e+04     1.082260e+06     1.000000e+00     4.965741e-05   
181     3.682666e+04     4.281357e+05     3.906250e-03     2.495203e-02   
