NewtonCG with backtrack line search.

CUTEst problem................: SSBRYBND
Number of variables...........: 5000
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 141780
Line search iterations..................: 27030
Number of objective function evaluations: 28030
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 333.669803
Subproblem time in seconds..............: 310.394934
Line search time in seconds.............: 20.645427
How many times subproblem failed........: 115
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       1.041561e+05     9.022455e+05     1.000000e+00     4.173567e-02   
2       1.019789e+05     6.144263e+05     1.562500e-02     7.491475e-01   
3       1.012286e+05     9.838242e+05     1.000000e+00     1.405093e-03   
4       7.703436e+04     4.089093e+05     1.000000e+00     1.831068e-01   
5       7.592379e+04     2.771505e+06     1.000000e+00     7.592182e-04   
6       7.574049e+04     7.005669e+05     1.000000e+00     5.614236e-04   
7       7.561169e+04     2.602692e+05     1.220703e-04     1.598605e+02   
8       7.506390e+04     2.944408e+06     1.000000e+00     3.666547e-04   
9       7.497396e+04     5.782224e+05     1.000000e+00     3.148829e-04   
10      5.758310e+04     2.642402e+05     1.000000e+00     3.252249e-01   
11      5.748256e+04     1.626419e+06     1.000000e+00     1.229841e-04   
12      5.746377e+04     3.443513e+05     1.000000e+00     1.123491e-04   
13      5.711166e+04     1.118432e+05     1.562500e-02     1.542853e+00   
14      5.676174e+04     4.370844e+05     1.000000e+00     1.314887e-03   
15      5.622739e+04     1.948946e+05     6.250000e-02     1.896005e-01   
16      5.598773e+04     2.119008e+05     1.000000e+00     3.343263e-03   
17      5.579240e+04     1.301670e+05     1.562500e-02     1.002328e+00   
18      5.544324e+04     9.093981e+05     1.000000e+00     7.694937e-04   
19      5.533979e+04     1.998065e+05     1.000000e+00     1.307028e-03   
20      5.485436e+04     7.950775e+04     9.765625e-04     2.246636e+01   
21      5.458077e+04     3.062208e+05     1.000000e+00     1.669709e-03   
22      5.402333e+04     1.099272e+05     3.125000e-02     5.955624e-01   
23      5.382266e+04     1.734875e+05     6.250000e-02     9.863787e-02   
24      5.327922e+04     1.489030e+05     1.562500e-02     1.194821e+00   
25      5.314513e+04     1.893135e+05     1.000000e+00     1.980291e-03   
26      5.276435e+04     9.521985e+04     9.765625e-04     1.669242e+01   
27      5.266852e+04     1.673986e+05     1.000000e+00     1.044440e-03   
28      5.244980e+04     7.023893e+04     1.562500e-02     1.175776e+00   
29      5.219740e+04     4.047086e+05     1.000000e+00     1.035823e-03   
30      5.212142e+04     1.784019e+05     1.000000e+00     9.638894e-04   
31      5.167035e+04     6.225038e+04     1.953125e-03     1.009881e+01   
32      5.161757e+04     1.956515e+05     1.000000e+00     5.368121e-04   
33      5.114786e+04     8.000400e+04     1.562500e-02     1.368277e+00   
34      5.107035e+04     1.214652e+05     1.000000e+00     1.174750e-03   
35      5.081003e+04     4.794127e+04     7.812500e-03     3.209016e+00   
36      5.052854e+04     3.791356e+05     1.000000e+00     1.227902e-03   
37      5.045504e+04     1.284366e+05     1.000000e+00     1.040169e-03   
38      4.990362e+04     5.984353e+04     3.906250e-03     9.103410e+00   
39      4.969164e+04     2.573024e+05     1.000000e+00     1.382978e-03   
40      4.957941e+04     1.342413e+05     1.000000e+00     1.900898e-03   
41      4.939091e+04     4.850253e+04     7.812500e-03     3.604785e+00   
42      4.920376e+04     3.415903e+05     1.000000e+00     9.684599e-04   
43      4.912899e+04     1.407080e+05     1.000000e+00     1.086280e-03   
44      4.904014e+04     6.065221e+04     6.250000e-02     2.617176e-01   
45      4.878702e+04     3.742783e+05     1.000000e+00     1.136878e-03   
46      4.872077e+04     1.523144e+05     1.000000e+00     9.461071e-04   
47      4.848921e+04     4.760873e+04     1.953125e-03     5.980831e+00   
48      4.776109e+04     9.484890e+04     3.906250e-03     9.599129e+00   
49      4.767002e+04     2.993933e+05     1.000000e+00     5.989341e-04   
50      4.761787e+04     1.446553e+05     1.000000e+00     8.759436e-04   
51      4.748674e+04     5.450749e+04     4.882813e-04     2.624443e+01   
52      4.738289e+04     1.592334e+05     1.000000e+00     1.307613e-03   
53      4.710892e+04     6.397379e+04     1.953125e-03     8.958539e+00   
54      4.700443e+04     1.647743e+05     1.000000e+00     1.157279e-03   
55      4.691678e+04     5.973525e+04     9.765625e-04     1.204377e+01   
56      4.678549e+04     1.727344e+05     1.000000e+00     1.449227e-03   
57      4.668998e+04     7.086822e+04     3.125000e-02     1.391703e+00   
58      4.605400e+04     8.200998e+05     1.000000e+00     1.275225e-03   
59      4.590767e+04     2.634025e+05     1.000000e+00     9.461586e-04   
60      4.586129e+04     1.225531e+05     1.000000e+00     9.066020e-04   
61      4.584563e+04     4.808723e+04     4.882813e-04     2.278444e+01   
62      4.577847e+04     1.183497e+05     2.441406e-04     2.036291e+01   
63      4.564368e+04     1.273082e+05     1.000000e+00     3.342295e-03   
64      4.548417e+04     5.774163e+04     1.953125e-03     6.193288e+00   
65      4.541452e+04     1.159788e+05     1.000000e+00     1.080296e-03   
66      4.490575e+04     5.000810e+04     1.562500e-02     1.877563e+00   
67      4.007588e+04     6.346253e+04     5.000000e-01     1.953462e+00   
68      3.418472e+04     5.038860e+06     1.000000e+00     1.937634e-03   
69      3.271651e+04     1.633495e+06     1.000000e+00     1.503414e-03   
70      3.235548e+04     6.666569e+05     1.000000e+00     1.149109e-03   
71      3.224875e+04     2.311229e+05     1.000000e+00     1.077466e-03   
72      3.217817e+04     1.026236e+05     1.000000e+00     2.144242e-03   
73      3.209052e+04     4.489438e+04     9.765625e-04     1.571080e+01   
74      3.207480e+04     9.060449e+05     1.000000e+00     3.464212e-05   
75      3.207316e+04     1.322735e+05     1.000000e+00     2.624621e-05   
76      3.204442e+04     4.530143e+04     3.906250e-03     8.436757e+00   
77      3.185619e+04     3.913000e+06     1.000000e+00     9.580749e-05   
78      3.183871e+04     5.136616e+05     1.000000e+00     7.280008e-05   
79      3.183816e+04     1.877600e+05     1.000000e+00     5.866908e-06   
80      3.170414e+04     8.858581e+04     1.000000e+00     8.423192e-03   
81      3.167986e+04     3.036058e+04     3.906250e-03     5.497449e+00   
82      3.151764e+04     2.351296e+05     1.000000e+00     1.131192e-03   
83      3.146293e+04     8.807497e+04     1.000000e+00     1.120097e-03   
84      3.136965e+04     3.885572e+04     6.250000e-02     1.438801e-01   
85      3.133155e+04     6.558280e+04     1.000000e+00     1.084696e-03   
86      3.113732e+04     2.660126e+04     3.125000e-02     7.335613e-01   
87      3.107862e+04     1.201080e+05     1.000000e+00     9.927820e-04   
88      3.104004e+04     5.501841e+04     3.125000e-02     4.976640e-01   
89      3.093729e+04     1.803101e+05     1.000000e+00     9.846275e-04   
90      3.087780e+04     6.371042e+04     1.000000e+00     1.989897e-03   
91      3.063791e+04     3.224716e+04     7.812500e-03     3.586439e+00   
92      3.058403e+04     1.879174e+05     1.000000e+00     5.238400e-04   
93      3.056809e+04     4.054974e+04     3.125000e-02     8.892640e-01   
94      3.037173e+04     3.893588e+05     1.000000e+00     1.205901e-03   
95      3.031074e+04     1.140216e+05     1.000000e+00     1.142128e-03   
96      3.000071e+04     3.322100e+04     3.125000e-02     1.141607e+00   
97      2.992704e+04     1.050307e+05     1.000000e+00     1.331138e-03   
98      2.985155e+04     3.845179e+04     1.562500e-02     2.617989e+00   
99      2.957509e+04     6.644148e+05     1.000000e+00     9.876790e-04   
100     2.950593e+04     1.675850e+05     1.000000e+00     8.180128e-04   
101     2.944741e+04     4.312497e+04     9.765625e-04     2.144211e+01   
102     2.935920e+04     1.099382e+05     1.000000e+00     1.410338e-03   
103     2.923966e+04     4.407022e+04     9.765625e-04     4.199055e+01   
104     2.904494e+04     2.914788e+05     1.000000e+00     1.120198e-03   
105     2.893454e+04     1.100124e+05     1.000000e+00     2.344573e-03   
106     2.893028e+04     2.984730e+04     1.250000e-01     9.061749e-02   
107     2.884136e+04     1.219467e+05     1.000000e+00     1.196530e-03   
108     2.876813e+04     4.664679e+04     3.906250e-03     2.135835e+00   
109     2.870477e+04     5.040718e+04     1.000000e+00     3.291252e-03   
110     2.867926e+04     2.332548e+04     1.953125e-03     1.351398e+01   
111     2.851190e+04     2.451263e+05     1.000000e+00     1.117617e-03   
112     2.846980e+04     1.216420e+05     1.000000e+00     8.654621e-04   
113     2.844882e+04     5.546994e+04     1.000000e+00     1.034234e-03   
114     2.839421e+04     1.395053e+04     1.953125e-03     7.083539e+00   
115     2.833816e+04     5.806436e+04     1.000000e+00     1.861650e-03   
116     2.829779e+04     2.471838e+04     6.103516e-05     4.364990e+02   
117     2.815283e+04     2.339098e+05     1.000000e+00     1.052830e-03   
118     2.810588e+04     7.544140e+04     1.000000e+00     1.058818e-03   
119     2.808262e+04     3.812567e+04     1.000000e+00     1.413713e-03   
120     2.797586e+04     1.306984e+04     6.103516e-05     2.202468e+02   
121     2.786717e+04     3.838896e+04     1.562500e-02     1.033844e+00   
122     2.783613e+04     9.635301e+04     1.000000e+00     6.149106e-04   
123     2.764272e+04     3.271848e+04     7.812500e-03     4.070939e+00   
124     2.757673e+04     1.210907e+05     1.000000e+00     9.049747e-04   
125     2.753306e+04     4.858016e+04     1.000000e+00     2.756846e-03   
126     2.735725e+04     1.559596e+04     1.953125e-03     1.897406e+01   
127     2.724974e+04     1.551990e+05     1.000000e+00     1.149867e-03   
128     2.721962e+04     5.806552e+04     1.000000e+00     9.946045e-04   
129     2.711228e+04     2.930395e+04     9.765625e-04     1.917676e+01   
130     2.707366e+04     7.450600e+04     1.000000e+00     8.874064e-04   
131     2.703358e+04     2.968906e+04     2.441406e-04     2.184670e+01   
132     2.681519e+04     3.054300e+04     1.562500e-02     2.316936e+00   
133     2.673938e+04     1.260012e+05     1.000000e+00     1.238765e-03   
134     2.671810e+04     6.619454e+04     1.000000e+00     8.084347e-04   
135     2.667380e+04     1.842497e+04     2.500000e-01     2.398282e-02   
136     2.659232e+04     3.514803e+04     9.765625e-04     1.404249e+01   
137     2.656432e+04     1.232697e+05     1.000000e+00     7.211113e-04   
138     1.205428e+04     3.131326e+04     1.000000e+00     3.289127e+00   
139     1.179268e+04     2.027288e+05     1.000000e+00     2.093438e-03   
140     1.170126e+04     7.832920e+04     1.000000e+00     2.081194e-03   
141     1.166334e+04     2.835118e+04     1.000000e+00     2.432157e-03   
142     1.162431e+04     1.302870e+04     3.125000e-02     3.002249e-01   
143     1.159688e+04     2.528282e+04     3.906250e-03     3.480495e+00   
144     1.156303e+04     3.465961e+04     1.000000e+00     2.824247e-03   
145     1.152530e+04     1.820015e+04     6.250000e-02     1.911796e-01   
146     1.150327e+04     6.391943e+04     1.000000e+00     8.285805e-04   
147     1.147729e+04     2.349241e+04     7.812500e-03     8.612938e-01   
148     1.146622e+04     2.503944e+04     1.000000e+00     1.073596e-03   
149     1.146387e+04     9.948028e+03     1.953125e-03     8.864312e+00   
150     1.142933e+04     8.466456e+04     1.000000e+00     9.023471e-04   
151     1.140874e+04     2.850313e+04     1.000000e+00     1.305856e-03   
152     1.137541e+04     1.041626e+04     7.812500e-03     2.077800e+00   
153     1.135266e+04     3.363575e+04     1.000000e+00     1.202698e-03   
154     4.747655e+03     1.515844e+04     1.000000e+00     4.052298e+00   
155     4.606499e+03     1.545074e+05     1.000000e+00     1.576002e-03   
156     4.563567e+03     5.869272e+04     1.000000e+00     1.423042e-03   
157     4.543577e+03     1.937574e+04     1.000000e+00     2.374495e-03   
158     4.523351e+03     8.247327e+03     1.562500e-02     5.812683e-01   
159     4.518084e+03     2.237663e+04     1.000000e+00     6.653824e-04   
160     4.509601e+03     1.054852e+04     1.562500e-02     8.893048e-01   
161     4.487768e+03     3.084950e+04     1.000000e+00     1.206966e-03   
162     4.479063e+03     1.595938e+04     1.000000e+00     1.374329e-03   
163     4.466376e+03     5.783052e+03     3.125000e-02     3.888517e-01   
164     4.454005e+03     2.667410e+04     1.000000e+00     7.689337e-04   
165     4.447829e+03     1.197588e+04     1.562500e-02     7.661817e-01   
166     4.427831e+03     4.128596e+04     1.000000e+00     1.005518e-03   
167     4.424142e+03     1.813366e+04     1.000000e+00     5.568474e-04   
168     4.409476e+03     6.054725e+03     9.765625e-04     1.133307e+01   
169     4.409406e+03     6.131988e+04     1.000000e+00     2.263602e-06   
170     4.399133e+03     1.432185e+04     1.000000e+00     1.584100e-03   
171     4.386015e+03     6.187554e+03     7.812500e-03     1.166082e+00   
172     4.383221e+03     9.505885e+03     1.220703e-04     4.782251e+01   
173     4.381509e+03     3.511653e+05     1.000000e+00     9.745174e-06   
174     4.381320e+03     4.905256e+04     1.000000e+00     8.232918e-06   
175     4.378311e+03     2.166859e+04     1.000000e+00     6.053924e-04   
176     4.374363e+03     1.083856e+04     1.000000e+00     1.257118e-03   
177     4.369533e+03     4.754738e+03     3.906250e-03     1.971677e+00   
178     4.362595e+03     3.027574e+04     1.000000e+00     7.935951e-04   
179     4.349864e+03     7.617650e+03     1.562500e-02     5.597613e-01   
180     4.345142e+03     1.332943e+04     1.000000e+00     8.801345e-04   
181     4.337280e+03     4.378742e+03     3.906250e-03     2.803766e+00   
182     4.326986e+03     1.582796e+04     1.000000e+00     1.423096e-03   
183     4.322083e+03     6.070233e+03     6.103516e-05     5.476112e+01   
184     4.300128e+03     6.691171e+03     1.562500e-02     2.702017e+00   
185     4.278675e+03     2.938936e+04     1.000000e+00     1.222448e-03   
186     4.272034e+03     1.516082e+04     1.000000e+00     1.093745e-03   
187     3.860055e+03     6.610205e+03     1.250000e-01     4.413801e+00   
188     3.847088e+03     8.439372e+05     1.000000e+00     3.068841e-05   
189     3.760428e+03     1.849100e+05     1.000000e+00     1.015916e-03   
190     3.736706e+03     4.601889e+04     1.000000e+00     8.627290e-04   
191     3.727047e+03     1.563315e+04     1.000000e+00     1.192571e-03   
192     3.723323e+03     6.800424e+03     1.000000e+00     1.872866e-03   
193     1.395253e+03     3.010228e+03     1.000000e+00     4.552594e+00   
194     1.291775e+03     1.897745e+06     1.000000e+00     1.085282e-04   
195     1.280718e+03     2.975273e+05     1.000000e+00     7.655492e-05   
196     1.279249e+03     6.629960e+04     1.000000e+00     5.287373e-05   
197     1.278898e+03     2.795108e+04     1.000000e+00     4.310300e-05   
198     1.277450e+03     7.244039e+03     1.000000e+00     6.559835e-04   
199     3.296595e+02     2.245962e+03     1.000000e+00     4.679935e+00   
200     3.068674e+02     7.327764e+05     1.000000e+00     6.204025e-05   
201     3.043547e+02     1.242398e+05     1.000000e+00     4.168696e-05   
202     3.039594e+02     2.617471e+04     1.000000e+00     3.441038e-05   
203     3.024286e+02     1.064388e+04     1.000000e+00     4.266726e-04   
204     3.019800e+02     3.486006e+03     1.000000e+00     3.843581e-04   
205     4.541442e+01     1.598712e+03     1.000000e+00     3.610378e+00   
206     1.058872e+01     8.085619e+02     1.000000e+00     5.931905e-01   
207     2.759140e+00     4.060371e+02     1.000000e+00     4.574315e-01   
208     1.184425e+00     2.032957e+02     1.000000e+00     1.139257e-01   
209     6.599238e-02     9.806716e+01     1.000000e+00     2.530453e-01   
210     2.178029e-02     4.719914e+01     1.000000e+00     1.272277e-02   
211     5.408999e-03     2.294643e+01     1.000000e+00     1.379238e-02   
212     2.214249e-03     1.001113e+01     1.000000e+00     5.524775e-03   
213     2.972955e-04     4.758755e+00     1.000000e+00     8.398252e-03   
214     1.755821e-04     2.207119e+00     1.000000e+00     8.709737e-04   
215     6.246528e-05     9.904645e-01     1.000000e+00     2.405319e-03   
216     3.130797e-05     6.137722e-01     1.000000e+00     1.152650e-03   
217     1.699259e-05     4.248940e-01     1.000000e+00     8.772839e-04   
218     9.536938e-06     2.050014e-01     1.000000e+00     5.733728e-04   
219     9.533722e-06     9.010027e-01     1.000000e+00     7.236202e-09   
220     5.665841e-06     2.495578e-01     1.000000e+00     4.366529e-04   
221     3.165449e-06     1.189228e-01     1.000000e+00     3.667939e-04   
222     3.161433e-06     6.047625e-01     1.000000e+00     1.511550e-08   
223     2.935279e-06     2.013325e-01     1.000000e+00     1.219719e-05   
