NewtonCG with backtrack line search.

CUTEst problem................: WOODS
Number of variables...........: 4000
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 1513
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 1.541042
Subproblem time in seconds..............: 0.722675
Line search time in seconds.............: 0.293567
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       4.141393e+06     5.185226e+05     1.000000e+00     4.809674e+01   
2       9.468975e+05     1.571353e+05     1.000000e+00     3.366648e+01   
3       2.363743e+05     4.811148e+04     1.000000e+00     2.447250e+01   
4       6.373845e+04     1.510282e+04     1.000000e+00     1.926652e+01   
5       3.224593e+04     4.499339e+03     1.000000e+00     1.311450e+01   
6       2.911726e+04     7.503377e+02     1.000000e+00     7.738698e+00   
7       2.647225e+04     1.163534e+03     1.000000e+00     7.733840e+00   
8       2.135409e+04     1.421241e+03     1.000000e+00     3.564206e+01   
9       8.119940e+03     5.288138e+03     1.000000e+00     4.696673e+00   
10      7.935756e+03     5.642224e+02     1.000000e+00     6.464170e-01   
11      7.877126e+03     6.325506e+01     1.000000e+00     1.960424e+00   
12      7.876963e+03     1.691080e+01     1.000000e+00     1.931865e-02   
13      7.876963e+03     6.138324e-01     1.000000e+00     7.099499e-04   
14      7.876962e+03     1.749269e-01     1.000000e+00     5.674533e-03   
15      7.876961e+03     3.570059e-02     1.000000e+00     6.970876e-02   
16      7.876960e+03     1.189897e+00     1.000000e+00     1.368826e-03   
17      7.876959e+03     2.180002e-01     1.000000e+00     7.063584e-03   
18      7.876958e+03     4.595046e-02     1.000000e+00     4.466601e-02   
19      7.876957e+03     5.217143e-01     1.000000e+00     8.100542e-03   
20      7.876957e+03     1.780822e-01     1.000000e+00     2.223378e-04   
21      7.876952e+03     5.114499e-02     1.000000e+00     2.296398e-01   
22      7.876943e+03     8.176387e-01     1.000000e+00     2.405780e-02   
23      7.876924e+03     1.142235e-01     1.000000e+00     4.918814e-01   
24      7.876890e+03     1.501791e+00     1.000000e+00     4.706488e-02   
25      7.876811e+03     2.168073e-01     1.000000e+00     1.414270e+00   
26      7.876577e+03     5.128898e+00     1.000000e+00     1.216815e-01   
27      7.876576e+03     9.186296e-01     1.000000e+00     1.150087e-03   
28      7.876576e+03     3.266056e-01     1.000000e+00     3.216457e-03   
29      7.876575e+03     9.167051e-01     1.000000e+00     1.146594e-03   
30      7.876575e+03     3.269845e-01     1.000000e+00     3.195324e-03   
31      7.876574e+03     9.148677e-01     1.000000e+00     1.143078e-03   
32      7.876574e+03     3.274720e-01     1.000000e+00     3.174091e-03   
33      7.876573e+03     9.130763e-01     1.000000e+00     1.139580e-03   
34      7.876573e+03     3.280001e-01     1.000000e+00     3.154130e-03   
35      7.876572e+03     9.114495e-01     1.000000e+00     1.136343e-03   
36      7.876572e+03     3.285338e-01     1.000000e+00     3.136892e-03   
37      7.876571e+03     9.101433e-01     1.000000e+00     1.133639e-03   
38      7.876571e+03     3.290555e-01     1.000000e+00     3.123350e-03   
39      7.876570e+03     9.092706e-01     1.000000e+00     1.131650e-03   
40      7.876570e+03     3.295581e-01     1.000000e+00     3.113798e-03   
41      7.876569e+03     9.088692e-01     1.000000e+00     1.130433e-03   
42      7.876568e+03     3.300408e-01     1.000000e+00     3.107966e-03   
43      7.876568e+03     9.089105e-01     1.000000e+00     1.129935e-03   
44      7.876567e+03     3.305058e-01     1.000000e+00     3.105267e-03   
45      7.876567e+03     9.093268e-01     1.000000e+00     1.130041e-03   
46      7.876566e+03     3.309570e-01     1.000000e+00     3.105028e-03   
47      7.876566e+03     9.100390e-01     1.000000e+00     1.130622e-03   
48      7.876565e+03     3.313977e-01     1.000000e+00     3.106627e-03   
49      7.876565e+03     9.109731e-01     1.000000e+00     1.131558e-03   
50      7.876564e+03     3.318312e-01     1.000000e+00     3.109558e-03   
51      7.876564e+03     9.120685e-01     1.000000e+00     1.132751e-03   
52      7.876563e+03     3.322596e-01     1.000000e+00     3.113432e-03   
53      7.876563e+03     9.132787e-01     1.000000e+00     1.134128e-03   
54      7.876562e+03     3.326849e-01     1.000000e+00     3.117967e-03   
55      7.876562e+03     9.145696e-01     1.000000e+00     1.135632e-03   
56      7.876561e+03     3.331082e-01     1.000000e+00     3.122960e-03   
57      7.876561e+03     9.159170e-01     1.000000e+00     1.137226e-03   
58      7.876560e+03     3.335304e-01     1.000000e+00     3.128274e-03   
59      7.876560e+03     9.173041e-01     1.000000e+00     1.138883e-03   
60      7.876559e+03     3.339521e-01     1.000000e+00     3.133810e-03   
61      7.876559e+03     9.187193e-01     1.000000e+00     1.140584e-03   
62      7.876558e+03     3.343738e-01     1.000000e+00     3.139504e-03   
63      7.876558e+03     9.201548e-01     1.000000e+00     1.142316e-03   
64      7.876557e+03     3.347956e-01     1.000000e+00     3.145310e-03   
65      7.876557e+03     9.216052e-01     1.000000e+00     1.144071e-03   
66      7.876556e+03     3.352178e-01     1.000000e+00     3.151198e-03   
67      7.876555e+03     9.230668e-01     1.000000e+00     1.145842e-03   
68      7.876555e+03     3.356406e-01     1.000000e+00     3.157147e-03   
69      7.876554e+03     9.245371e-01     1.000000e+00     1.147627e-03   
70      7.876554e+03     3.360640e-01     1.000000e+00     3.163143e-03   
71      7.876553e+03     9.260145e-01     1.000000e+00     1.149421e-03   
72      7.876553e+03     3.364880e-01     1.000000e+00     3.169177e-03   
73      7.876552e+03     9.274978e-01     1.000000e+00     1.151224e-03   
74      7.876552e+03     3.369127e-01     1.000000e+00     3.175242e-03   
75      7.876551e+03     9.289864e-01     1.000000e+00     1.153034e-03   
76      7.876551e+03     3.373382e-01     1.000000e+00     3.181334e-03   
77      7.876550e+03     9.304796e-01     1.000000e+00     1.154851e-03   
78      7.876550e+03     3.377645e-01     1.000000e+00     3.187450e-03   
79      7.876549e+03     9.319771e-01     1.000000e+00     1.156672e-03   
80      7.876549e+03     3.381916e-01     1.000000e+00     3.193588e-03   
81      7.876548e+03     9.334788e-01     1.000000e+00     1.158499e-03   
82      7.876547e+03     3.386194e-01     1.000000e+00     3.199745e-03   
83      7.876547e+03     9.349844e-01     1.000000e+00     1.160331e-03   
84      7.876546e+03     3.390481e-01     1.000000e+00     3.205922e-03   
85      7.876546e+03     9.364938e-01     1.000000e+00     1.162168e-03   
86      7.876545e+03     3.394775e-01     1.000000e+00     3.212118e-03   
87      7.876545e+03     9.380069e-01     1.000000e+00     1.164009e-03   
88      7.876544e+03     3.399078e-01     1.000000e+00     3.218332e-03   
89      7.876544e+03     9.395238e-01     1.000000e+00     1.165855e-03   
90      7.876543e+03     3.403389e-01     1.000000e+00     3.224564e-03   
91      7.876543e+03     9.410444e-01     1.000000e+00     1.167705e-03   
92      7.876542e+03     3.407708e-01     1.000000e+00     3.230813e-03   
93      7.876541e+03     9.425686e-01     1.000000e+00     1.169560e-03   
94      7.876541e+03     3.412035e-01     1.000000e+00     3.237080e-03   
95      7.876540e+03     9.440965e-01     1.000000e+00     1.171419e-03   
96      7.876540e+03     3.416371e-01     1.000000e+00     3.243365e-03   
97      7.876539e+03     9.456280e-01     1.000000e+00     1.173282e-03   
98      7.876539e+03     3.420715e-01     1.000000e+00     3.249667e-03   
99      7.876538e+03     9.471632e-01     1.000000e+00     1.175150e-03   
100     7.876538e+03     3.425067e-01     1.000000e+00     3.255986e-03   
101     7.876537e+03     9.487020e-01     1.000000e+00     1.177022e-03   
102     7.876536e+03     3.429427e-01     1.000000e+00     3.262322e-03   
103     7.876536e+03     9.502445e-01     1.000000e+00     1.178899e-03   
104     7.876535e+03     3.433797e-01     1.000000e+00     3.268676e-03   
105     7.876535e+03     9.517906e-01     1.000000e+00     1.180779e-03   
106     7.876534e+03     3.438174e-01     1.000000e+00     3.275047e-03   
107     7.876534e+03     9.533404e-01     1.000000e+00     1.182664e-03   
108     7.876533e+03     3.442560e-01     1.000000e+00     3.281436e-03   
109     7.876532e+03     9.548938e-01     1.000000e+00     1.184554e-03   
110     7.876532e+03     3.446954e-01     1.000000e+00     3.287841e-03   
111     7.876531e+03     9.564509e-01     1.000000e+00     1.186448e-03   
112     7.876531e+03     3.451357e-01     1.000000e+00     3.294264e-03   
113     7.876530e+03     9.580117e-01     1.000000e+00     1.188346e-03   
114     7.876530e+03     3.455769e-01     1.000000e+00     3.300704e-03   
115     7.876529e+03     9.595762e-01     1.000000e+00     1.190248e-03   
116     7.876529e+03     3.460189e-01     1.000000e+00     3.307162e-03   
117     7.876528e+03     9.611443e-01     1.000000e+00     1.192155e-03   
118     7.876527e+03     3.464618e-01     1.000000e+00     3.313637e-03   
119     7.876527e+03     9.627162e-01     1.000000e+00     1.194067e-03   
120     7.876526e+03     3.469055e-01     1.000000e+00     3.320129e-03   
121     7.876526e+03     9.642917e-01     1.000000e+00     1.195982e-03   
122     7.876525e+03     3.473501e-01     1.000000e+00     3.326638e-03   
123     7.876524e+03     9.658709e-01     1.000000e+00     1.197902e-03   
124     7.876524e+03     3.477955e-01     1.000000e+00     3.333165e-03   
125     7.876523e+03     9.674538e-01     1.000000e+00     1.199827e-03   
126     7.876523e+03     3.482419e-01     1.000000e+00     3.339709e-03   
127     7.876522e+03     9.690405e-01     1.000000e+00     1.201755e-03   
128     7.876522e+03     3.486891e-01     1.000000e+00     3.346270e-03   
129     7.876521e+03     9.706308e-01     1.000000e+00     1.203688e-03   
130     7.876520e+03     3.491371e-01     1.000000e+00     3.352849e-03   
131     7.876520e+03     9.722249e-01     1.000000e+00     1.205626e-03   
132     7.876519e+03     3.495861e-01     1.000000e+00     3.359445e-03   
133     7.876519e+03     9.738226e-01     1.000000e+00     1.207568e-03   
134     7.876518e+03     3.500359e-01     1.000000e+00     3.366058e-03   
135     7.876517e+03     9.754241e-01     1.000000e+00     1.209514e-03   
136     7.876517e+03     3.504867e-01     1.000000e+00     3.372688e-03   
137     7.876516e+03     9.770294e-01     1.000000e+00     1.211464e-03   
138     7.876516e+03     3.509383e-01     1.000000e+00     3.379336e-03   
139     7.876515e+03     9.786383e-01     1.000000e+00     1.213419e-03   
140     7.876514e+03     3.513908e-01     1.000000e+00     3.386001e-03   
141     7.876514e+03     9.802510e-01     1.000000e+00     1.215378e-03   
142     7.876513e+03     3.518442e-01     1.000000e+00     3.392683e-03   
143     7.876513e+03     9.818674e-01     1.000000e+00     1.217342e-03   
144     7.876512e+03     3.522984e-01     1.000000e+00     3.399383e-03   
145     7.876512e+03     9.834876e-01     1.000000e+00     1.219310e-03   
146     7.876511e+03     3.527536e-01     1.000000e+00     3.406099e-03   
147     7.876510e+03     9.851115e-01     1.000000e+00     1.221283e-03   
148     7.876510e+03     3.532097e-01     1.000000e+00     3.412833e-03   
149     7.876509e+03     9.867391e-01     1.000000e+00     1.223259e-03   
150     7.876508e+03     3.536667e-01     1.000000e+00     3.419584e-03   
151     7.876508e+03     9.883705e-01     1.000000e+00     1.225240e-03   
152     7.876507e+03     3.541246e-01     1.000000e+00     3.426353e-03   
153     7.876507e+03     9.900056e-01     1.000000e+00     1.227226e-03   
154     7.876506e+03     3.545834e-01     1.000000e+00     3.433138e-03   
155     7.876505e+03     9.916445e-01     1.000000e+00     1.229216e-03   
156     7.876505e+03     3.550431e-01     1.000000e+00     3.439940e-03   
157     7.876504e+03     9.932871e-01     1.000000e+00     1.231210e-03   
158     7.876504e+03     3.555037e-01     1.000000e+00     3.446760e-03   
159     7.876503e+03     9.949335e-01     1.000000e+00     1.233209e-03   
160     7.876502e+03     3.559653e-01     1.000000e+00     3.453596e-03   
161     7.876502e+03     9.965836e-01     1.000000e+00     1.235212e-03   
162     7.876501e+03     3.564277e-01     1.000000e+00     3.460450e-03   
163     7.876501e+03     9.982375e-01     1.000000e+00     1.237219e-03   
164     7.876500e+03     3.568911e-01     1.000000e+00     3.467320e-03   
165     7.876499e+03     9.998952e-01     1.000000e+00     1.239230e-03   
166     7.876499e+03     3.573554e-01     1.000000e+00     3.474208e-03   
167     7.876498e+03     1.001557e+00     1.000000e+00     1.241246e-03   
168     7.876497e+03     3.578207e-01     1.000000e+00     3.481112e-03   
169     7.876497e+03     1.003222e+00     1.000000e+00     1.243267e-03   
170     7.876496e+03     3.582868e-01     1.000000e+00     3.488033e-03   
