NewtonCG with backtrack line search.

CUTEst problem................: WOODSNE
Number of variables...........: 4000
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 1000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.873647
Subproblem time in seconds..............: 0.382330
Line search time in seconds.............: 0.230566
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
2       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
3       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
4       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
5       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
6       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
7       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
8       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
9       -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
10      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
11      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
12      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
13      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
14      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
15      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
16      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
17      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
18      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
19      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
20      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
21      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
22      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
23      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
24      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
25      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
26      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
27      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
28      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
29      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
30      -5.697900e+04    4.483525e+02     1.000000e+00     0.000000e+00   
