NewtonCG with backtrack line search.

CUTEst problem................: ARGLINB
Number of variables...........: 200
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 9.962547e+01
Gradient norm.........: 1.179721e-01
Total iterations......: 1000
Total time in seconds.: 2.263058
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 9986
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 1000
Subproblem time in seconds..............: 0.574912
How many times subproblem failed........: 0
Line search iterations..................: 8986
Line search time in seconds.............: 1.221124
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       9.962547e+01     1.410981e+15     1.000000e+00     1.226271e+01   
2       9.962547e+01     1.179721e-01     1.562500e-02     1.025285e-15   
3       9.962547e+01     1.179721e-01     7.812500e-03     1.025285e-15   
4       9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
5       9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
6       9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
7       9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
8       9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
9       9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
10      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
11      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
12      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
13      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
14      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
15      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
16      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
17      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
18      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
19      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
20      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
21      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
22      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
23      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
24      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
25      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
26      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
27      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
28      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
29      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
30      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
31      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
32      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
33      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
34      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
35      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
36      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
37      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
38      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
39      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
40      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
41      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
42      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
43      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
44      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
45      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
46      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
47      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
48      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
49      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
50      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
51      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
52      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
53      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
54      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
55      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
56      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
57      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
58      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
59      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
60      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
61      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
62      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
63      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
64      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
65      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
66      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
67      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
68      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
69      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
70      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
71      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
72      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
73      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
74      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
75      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
76      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
77      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
78      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
79      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
80      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
81      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
82      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
83      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
84      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
85      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
86      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
87      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
88      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
89      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
90      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
91      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
92      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
93      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
94      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
95      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
96      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
97      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
98      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
99      9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
100     9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
101     9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
102     9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
103     9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
104     9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
105     9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
106     9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
107     9.962547e+01     1.179721e-01     1.953125e-03     1.025285e-15   
