NewtonCholesky with backtrack line search.

CUTEst problem................: ARGTRIGLS
Number of variables...........: 200
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 200
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 20600000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 124.427652
Subproblem time in seconds..............: 4.107307
Line search time in seconds.............: 0.162128
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       6.584315e+01     2.508136e+03     1.000000e+00     5.028522e-03   
2       6.534481e+01     2.497809e+03     1.000000e+00     1.005104e-02   
3       6.480365e+01     2.487359e+03     1.000000e+00     2.010686e-02   
4       6.403839e+01     2.476473e+03     1.000000e+00     4.031182e-02   
5       6.203541e+01     2.462745e+03     1.000000e+00     8.158863e-02   
6       5.429263e+01     2.429864e+03     1.000000e+00     1.722983e-01   
7       2.311738e+01     2.297917e+03     1.000000e+00     4.649716e-01   
8       1.811393e+01     1.541021e+03     1.000000e+00     3.629298e-01   
9       1.576251e+01     7.568629e+02     1.000000e+00     1.121638e-01   
10      1.574919e+01     9.813589e+02     1.000000e+00     9.321960e-03   
11      1.574917e+01     1.001869e+03     1.000000e+00     7.672158e-05   
12      1.574915e+01     1.002038e+03     1.000000e+00     2.542811e-07   
13      1.574913e+01     1.002037e+03     1.000000e+00     2.542711e-07   
14      1.574912e+01     1.002037e+03     1.000000e+00     2.542708e-07   
15      1.574910e+01     1.002036e+03     1.000000e+00     2.542705e-07   
16      1.574908e+01     1.002036e+03     1.000000e+00     2.542703e-07   
17      1.574906e+01     1.002035e+03     1.000000e+00     2.542700e-07   
18      1.574905e+01     1.002035e+03     1.000000e+00     2.542698e-07   
19      1.574903e+01     1.002034e+03     1.000000e+00     2.542695e-07   
20      1.574901e+01     1.002034e+03     1.000000e+00     2.542693e-07   
21      1.574900e+01     1.002033e+03     1.000000e+00     2.542690e-07   
22      1.574898e+01     1.002033e+03     1.000000e+00     2.542687e-07   
23      1.574896e+01     1.002032e+03     1.000000e+00     2.542685e-07   
24      1.574894e+01     1.002031e+03     1.000000e+00     2.542682e-07   
25      1.574893e+01     1.002031e+03     1.000000e+00     2.542680e-07   
26      1.574891e+01     1.002030e+03     1.000000e+00     2.542677e-07   
27      1.574889e+01     1.002030e+03     1.000000e+00     2.542675e-07   
28      1.574887e+01     1.002029e+03     1.000000e+00     2.542672e-07   
29      1.574886e+01     1.002029e+03     1.000000e+00     2.542669e-07   
30      1.574884e+01     1.002028e+03     1.000000e+00     2.542667e-07   
31      1.574882e+01     1.002028e+03     1.000000e+00     2.542664e-07   
32      1.574880e+01     1.002027e+03     1.000000e+00     2.542662e-07   
33      1.574879e+01     1.002027e+03     1.000000e+00     2.542659e-07   
34      1.574877e+01     1.002026e+03     1.000000e+00     2.542657e-07   
35      1.574875e+01     1.002026e+03     1.000000e+00     2.542654e-07   
36      1.574873e+01     1.002025e+03     1.000000e+00     2.542651e-07   
37      1.574872e+01     1.002025e+03     1.000000e+00     2.542649e-07   
38      1.574870e+01     1.002024e+03     1.000000e+00     2.542646e-07   
39      1.574868e+01     1.002023e+03     1.000000e+00     2.542644e-07   
40      1.574866e+01     1.002023e+03     1.000000e+00     2.542641e-07   
41      1.574865e+01     1.002022e+03     1.000000e+00     2.542639e-07   
42      1.574863e+01     1.002022e+03     1.000000e+00     2.542636e-07   
43      1.574861e+01     1.002021e+03     1.000000e+00     2.542633e-07   
44      1.574859e+01     1.002021e+03     1.000000e+00     2.542631e-07   
45      1.574858e+01     1.002020e+03     1.000000e+00     2.542628e-07   
46      1.574856e+01     1.002020e+03     1.000000e+00     2.542626e-07   
47      1.574854e+01     1.002019e+03     1.000000e+00     2.542623e-07   
48      1.574853e+01     1.002019e+03     1.000000e+00     2.542621e-07   
49      1.574851e+01     1.002018e+03     1.000000e+00     2.542618e-07   
50      1.574849e+01     1.002018e+03     1.000000e+00     2.542615e-07   
51      1.574847e+01     1.002017e+03     1.000000e+00     2.542613e-07   
52      1.574846e+01     1.002017e+03     1.000000e+00     2.542610e-07   
53      1.574844e+01     1.002016e+03     1.000000e+00     2.542608e-07   
54      1.574842e+01     1.002015e+03     1.000000e+00     2.542605e-07   
55      1.574840e+01     1.002015e+03     1.000000e+00     2.542603e-07   
56      1.574839e+01     1.002014e+03     1.000000e+00     2.542600e-07   
57      1.574837e+01     1.002014e+03     1.000000e+00     2.542597e-07   
58      1.574835e+01     1.002013e+03     1.000000e+00     2.542595e-07   
59      1.574833e+01     1.002013e+03     1.000000e+00     2.542592e-07   
60      1.574832e+01     1.002012e+03     1.000000e+00     2.542590e-07   
61      1.574830e+01     1.002012e+03     1.000000e+00     2.542587e-07   
62      1.574828e+01     1.002011e+03     1.000000e+00     2.542585e-07   
63      1.574826e+01     1.002011e+03     1.000000e+00     2.542582e-07   
64      1.574825e+01     1.002010e+03     1.000000e+00     2.542579e-07   
65      1.574823e+01     1.002010e+03     1.000000e+00     2.542577e-07   
66      1.574821e+01     1.002009e+03     1.000000e+00     2.542574e-07   
67      1.574819e+01     1.002009e+03     1.000000e+00     2.542572e-07   
68      1.574818e+01     1.002008e+03     1.000000e+00     2.542569e-07   
69      1.574816e+01     1.002007e+03     1.000000e+00     2.542567e-07   
70      1.574814e+01     1.002007e+03     1.000000e+00     2.542564e-07   
71      1.574813e+01     1.002006e+03     1.000000e+00     2.542561e-07   
72      1.574811e+01     1.002006e+03     1.000000e+00     2.542559e-07   
