NewtonCholesky with backtrack line search.

CUTEst problem................: BARD
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 13500
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.021410
Subproblem time in seconds..............: 0.002040
Line search time in seconds.............: 0.003530
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       9.757732e+00     8.463082e+01     1.000000e+00     1.458857e+00   
2       9.757731e+00     3.221623e+01     1.000000e+00     6.859788e-08   
3       9.757729e+00     3.221622e+01     1.000000e+00     7.078391e-08   
4       9.757728e+00     3.221622e+01     1.000000e+00     7.078391e-08   
5       9.757726e+00     3.221622e+01     1.000000e+00     7.078391e-08   
6       9.757725e+00     3.221621e+01     1.000000e+00     7.078391e-08   
7       9.757723e+00     3.221621e+01     1.000000e+00     7.078391e-08   
8       9.757722e+00     3.221620e+01     1.000000e+00     7.078390e-08   
9       9.757720e+00     3.221620e+01     1.000000e+00     7.078390e-08   
10      9.757719e+00     3.221619e+01     1.000000e+00     7.078390e-08   
11      9.757717e+00     3.221619e+01     1.000000e+00     7.078390e-08   
12      9.757716e+00     3.221618e+01     1.000000e+00     7.078390e-08   
13      9.757715e+00     3.221618e+01     1.000000e+00     7.078390e-08   
14      9.757713e+00     3.221618e+01     1.000000e+00     7.078390e-08   
15      9.757712e+00     3.221617e+01     1.000000e+00     7.078390e-08   
16      9.757710e+00     3.221617e+01     1.000000e+00     7.078389e-08   
17      9.757709e+00     3.221616e+01     1.000000e+00     7.078389e-08   
18      9.757707e+00     3.221616e+01     1.000000e+00     7.078389e-08   
19      9.757706e+00     3.221615e+01     1.000000e+00     7.078389e-08   
20      9.757704e+00     3.221615e+01     1.000000e+00     7.078389e-08   
21      9.757703e+00     3.221614e+01     1.000000e+00     7.078389e-08   
22      9.757701e+00     3.221614e+01     1.000000e+00     7.078389e-08   
23      9.757700e+00     3.221614e+01     1.000000e+00     7.078389e-08   
24      9.757698e+00     3.221613e+01     1.000000e+00     7.078388e-08   
25      9.757697e+00     3.221613e+01     1.000000e+00     7.078388e-08   
26      9.757696e+00     3.221612e+01     1.000000e+00     7.078388e-08   
27      9.757694e+00     3.221612e+01     1.000000e+00     7.078388e-08   
28      9.757693e+00     3.221611e+01     1.000000e+00     7.078388e-08   
29      9.757691e+00     3.221611e+01     1.000000e+00     7.078388e-08   
30      9.757690e+00     3.221610e+01     1.000000e+00     7.078388e-08   
31      9.757688e+00     3.221610e+01     1.000000e+00     7.078387e-08   
32      9.757687e+00     3.221609e+01     1.000000e+00     7.078387e-08   
33      9.757685e+00     3.221609e+01     1.000000e+00     7.078387e-08   
34      9.757684e+00     3.221609e+01     1.000000e+00     7.078387e-08   
35      9.757682e+00     3.221608e+01     1.000000e+00     7.078387e-08   
36      9.757681e+00     3.221608e+01     1.000000e+00     7.078387e-08   
37      9.757679e+00     3.221607e+01     1.000000e+00     7.078387e-08   
38      9.757678e+00     3.221607e+01     1.000000e+00     7.078387e-08   
39      9.757677e+00     3.221606e+01     1.000000e+00     7.078386e-08   
40      9.757675e+00     3.221606e+01     1.000000e+00     7.078386e-08   
41      9.757674e+00     3.221605e+01     1.000000e+00     7.078386e-08   
42      9.757672e+00     3.221605e+01     1.000000e+00     7.078386e-08   
43      9.757671e+00     3.221605e+01     1.000000e+00     7.078386e-08   
44      9.757669e+00     3.221604e+01     1.000000e+00     7.078386e-08   
45      9.757668e+00     3.221604e+01     1.000000e+00     7.078386e-08   
46      9.757666e+00     3.221603e+01     1.000000e+00     7.078386e-08   
47      9.757665e+00     3.221603e+01     1.000000e+00     7.078385e-08   
48      9.757663e+00     3.221602e+01     1.000000e+00     7.078385e-08   
49      9.757662e+00     3.221602e+01     1.000000e+00     7.078385e-08   
50      9.757660e+00     3.221601e+01     1.000000e+00     7.078385e-08   
51      9.757659e+00     3.221601e+01     1.000000e+00     7.078385e-08   
52      9.757658e+00     3.221601e+01     1.000000e+00     7.078385e-08   
53      9.757656e+00     3.221600e+01     1.000000e+00     7.078385e-08   
54      9.757655e+00     3.221600e+01     1.000000e+00     7.078384e-08   
55      9.757653e+00     3.221599e+01     1.000000e+00     7.078384e-08   
56      9.757652e+00     3.221599e+01     1.000000e+00     7.078384e-08   
57      9.757650e+00     3.221598e+01     1.000000e+00     7.078384e-08   
58      9.757649e+00     3.221598e+01     1.000000e+00     7.078384e-08   
59      9.757647e+00     3.221597e+01     1.000000e+00     7.078384e-08   
60      9.757646e+00     3.221597e+01     1.000000e+00     7.078384e-08   
61      9.757644e+00     3.221596e+01     1.000000e+00     7.078384e-08   
62      9.757643e+00     3.221596e+01     1.000000e+00     7.078383e-08   
63      9.757641e+00     3.221596e+01     1.000000e+00     7.078383e-08   
64      9.757640e+00     3.221595e+01     1.000000e+00     7.078383e-08   
65      9.757639e+00     3.221595e+01     1.000000e+00     7.078383e-08   
66      9.757637e+00     3.221594e+01     1.000000e+00     7.078383e-08   
67      9.757636e+00     3.221594e+01     1.000000e+00     7.078383e-08   
68      9.757634e+00     3.221593e+01     1.000000e+00     7.078383e-08   
69      9.757633e+00     3.221593e+01     1.000000e+00     7.078382e-08   
70      9.757631e+00     3.221592e+01     1.000000e+00     7.078382e-08   
71      9.757630e+00     3.221592e+01     1.000000e+00     7.078382e-08   
72      9.757628e+00     3.221592e+01     1.000000e+00     7.078382e-08   
73      9.757627e+00     3.221591e+01     1.000000e+00     7.078382e-08   
74      9.757625e+00     3.221591e+01     1.000000e+00     7.078382e-08   
75      9.757624e+00     3.221590e+01     1.000000e+00     7.078382e-08   
76      9.757622e+00     3.221590e+01     1.000000e+00     7.078382e-08   
77      9.757621e+00     3.221589e+01     1.000000e+00     7.078381e-08   
78      9.757620e+00     3.221589e+01     1.000000e+00     7.078381e-08   
79      9.757618e+00     3.221588e+01     1.000000e+00     7.078381e-08   
80      9.757617e+00     3.221588e+01     1.000000e+00     7.078381e-08   
81      9.757615e+00     3.221588e+01     1.000000e+00     7.078381e-08   
82      9.757614e+00     3.221587e+01     1.000000e+00     7.078381e-08   
83      9.757612e+00     3.221587e+01     1.000000e+00     7.078381e-08   
84      9.757611e+00     3.221586e+01     1.000000e+00     7.078381e-08   
85      9.757609e+00     3.221586e+01     1.000000e+00     7.078380e-08   
86      9.757608e+00     3.221585e+01     1.000000e+00     7.078380e-08   
87      9.757606e+00     3.221585e+01     1.000000e+00     7.078380e-08   
88      9.757605e+00     3.221584e+01     1.000000e+00     7.078380e-08   
89      9.757603e+00     3.221584e+01     1.000000e+00     7.078380e-08   
90      9.757602e+00     3.221583e+01     1.000000e+00     7.078380e-08   
91      9.757601e+00     3.221583e+01     1.000000e+00     7.078380e-08   
92      9.757599e+00     3.221583e+01     1.000000e+00     7.078379e-08   
93      9.757598e+00     3.221582e+01     1.000000e+00     7.078379e-08   
94      9.757596e+00     3.221582e+01     1.000000e+00     7.078379e-08   
95      9.757595e+00     3.221581e+01     1.000000e+00     7.078379e-08   
96      9.757593e+00     3.221581e+01     1.000000e+00     7.078379e-08   
97      9.757592e+00     3.221580e+01     1.000000e+00     7.078379e-08   
98      9.757590e+00     3.221580e+01     1.000000e+00     7.078379e-08   
99      9.757589e+00     3.221579e+01     1.000000e+00     7.078379e-08   
100     9.757587e+00     3.221579e+01     1.000000e+00     7.078378e-08   
101     9.757586e+00     3.221579e+01     1.000000e+00     7.078378e-08   
102     9.757584e+00     3.221578e+01     1.000000e+00     7.078378e-08   
103     9.757583e+00     3.221578e+01     1.000000e+00     7.078378e-08   
104     9.757582e+00     3.221577e+01     1.000000e+00     7.078378e-08   
105     9.757580e+00     3.221577e+01     1.000000e+00     7.078378e-08   
106     9.757579e+00     3.221576e+01     1.000000e+00     7.078378e-08   
107     9.757577e+00     3.221576e+01     1.000000e+00     7.078378e-08   
108     9.757576e+00     3.221575e+01     1.000000e+00     7.078377e-08   
109     9.757574e+00     3.221575e+01     1.000000e+00     7.078377e-08   
110     9.757573e+00     3.221575e+01     1.000000e+00     7.078377e-08   
111     9.757571e+00     3.221574e+01     1.000000e+00     7.078377e-08   
112     9.757570e+00     3.221574e+01     1.000000e+00     7.078377e-08   
113     9.757568e+00     3.221573e+01     1.000000e+00     7.078377e-08   
114     9.757567e+00     3.221573e+01     1.000000e+00     7.078377e-08   
115     9.757565e+00     3.221572e+01     1.000000e+00     7.078376e-08   
116     9.757564e+00     3.221572e+01     1.000000e+00     7.078376e-08   
117     9.757563e+00     3.221571e+01     1.000000e+00     7.078376e-08   
118     9.757561e+00     3.221571e+01     1.000000e+00     7.078376e-08   
119     9.757560e+00     3.221570e+01     1.000000e+00     7.078376e-08   
120     9.757558e+00     3.221570e+01     1.000000e+00     7.078376e-08   
121     9.757557e+00     3.221570e+01     1.000000e+00     7.078376e-08   
122     9.757555e+00     3.221569e+01     1.000000e+00     7.078376e-08   
123     9.757554e+00     3.221569e+01     1.000000e+00     7.078375e-08   
124     9.757552e+00     3.221568e+01     1.000000e+00     7.078375e-08   
125     9.757551e+00     3.221568e+01     1.000000e+00     7.078375e-08   
126     9.757549e+00     3.221567e+01     1.000000e+00     7.078375e-08   
127     9.757548e+00     3.221567e+01     1.000000e+00     7.078375e-08   
128     9.757546e+00     3.221566e+01     1.000000e+00     7.078375e-08   
129     9.757545e+00     3.221566e+01     1.000000e+00     7.078375e-08   
130     9.757544e+00     3.221566e+01     1.000000e+00     7.078375e-08   
131     9.757542e+00     3.221565e+01     1.000000e+00     7.078374e-08   
132     9.757541e+00     3.221565e+01     1.000000e+00     7.078374e-08   
133     9.757539e+00     3.221564e+01     1.000000e+00     7.078374e-08   
134     9.757538e+00     3.221564e+01     1.000000e+00     7.078374e-08   
135     9.757536e+00     3.221563e+01     1.000000e+00     7.078374e-08   
136     9.757535e+00     3.221563e+01     1.000000e+00     7.078374e-08   
137     9.757533e+00     3.221562e+01     1.000000e+00     7.078374e-08   
138     9.757532e+00     3.221562e+01     1.000000e+00     7.078373e-08   
139     9.757530e+00     3.221562e+01     1.000000e+00     7.078373e-08   
140     9.757529e+00     3.221561e+01     1.000000e+00     7.078373e-08   
141     9.757527e+00     3.221561e+01     1.000000e+00     7.078373e-08   
142     9.757526e+00     3.221560e+01     1.000000e+00     7.078373e-08   
143     9.757525e+00     3.221560e+01     1.000000e+00     7.078373e-08   
144     9.757523e+00     3.221559e+01     1.000000e+00     7.078373e-08   
145     9.757522e+00     3.221559e+01     1.000000e+00     7.078373e-08   
146     9.757520e+00     3.221558e+01     1.000000e+00     7.078372e-08   
147     9.757519e+00     3.221558e+01     1.000000e+00     7.078372e-08   
148     9.757517e+00     3.221557e+01     1.000000e+00     7.078372e-08   
149     9.757516e+00     3.221557e+01     1.000000e+00     7.078372e-08   
150     9.757514e+00     3.221557e+01     1.000000e+00     7.078372e-08   
151     9.757513e+00     3.221556e+01     1.000000e+00     7.078372e-08   
152     9.757511e+00     3.221556e+01     1.000000e+00     7.078372e-08   
153     9.757510e+00     3.221555e+01     1.000000e+00     7.078371e-08   
154     9.757508e+00     3.221555e+01     1.000000e+00     7.078371e-08   
155     9.757507e+00     3.221554e+01     1.000000e+00     7.078371e-08   
156     9.757506e+00     3.221554e+01     1.000000e+00     7.078371e-08   
157     9.757504e+00     3.221553e+01     1.000000e+00     7.078371e-08   
158     9.757503e+00     3.221553e+01     1.000000e+00     7.078371e-08   
159     9.757501e+00     3.221553e+01     1.000000e+00     7.078371e-08   
160     9.757500e+00     3.221552e+01     1.000000e+00     7.078371e-08   
161     9.757498e+00     3.221552e+01     1.000000e+00     7.078370e-08   
162     9.757497e+00     3.221551e+01     1.000000e+00     7.078370e-08   
163     9.757495e+00     3.221551e+01     1.000000e+00     7.078370e-08   
164     9.757494e+00     3.221550e+01     1.000000e+00     7.078370e-08   
165     9.757492e+00     3.221550e+01     1.000000e+00     7.078370e-08   
166     9.757491e+00     3.221549e+01     1.000000e+00     7.078370e-08   
167     9.757489e+00     3.221549e+01     1.000000e+00     7.078370e-08   
