NewtonCholesky with backtrack line search.

CUTEst problem................: BEALE
Number of variables...........: 2
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 2
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 8000
Line search iterations..................: 41798
Number of objective function evaluations: 42798
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.066691
Subproblem time in seconds..............: 0.006912
Line search time in seconds.............: 0.055774
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       1.420312e+01     2.775000e+01     1.000000e+00     3.603604e-08   
2       1.419282e+01     2.775000e+01     1.000000e+00     9.999999e+01   
3       4.523609e-01     2.801685e+03     5.000000e-01     1.019615e+04   
4       4.523596e-01     9.881514e+02     3.906250e-03     3.593821e+03   
5       4.523596e-01     9.892333e+02     1.862645e-09     3.578448e+03   
6       4.523596e-01     9.892333e+02     1.164153e-10     3.578448e+03   
7       4.523596e-01     9.892333e+02     5.820766e-11     3.578448e+03   
8       4.523596e-01     9.892333e+02     2.910383e-11     3.578448e+03   
9       4.523596e-01     9.892333e+02     3.637979e-12     3.578448e+03   
10      4.523596e-01     9.892333e+02     9.094947e-13     3.578448e+03   
11      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
12      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
13      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
14      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
15      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
16      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
17      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
18      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
19      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
20      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
21      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
22      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
23      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
24      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
25      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
26      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
27      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
28      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
29      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
30      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
31      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
32      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
33      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
34      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
35      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
36      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
37      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
38      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
39      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
40      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
41      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
42      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
43      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
44      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
45      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
46      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
47      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
48      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
49      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
50      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
51      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
52      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
53      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
54      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
55      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
56      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
57      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
58      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
59      4.523596e-01     9.892333e+02     2.273737e-13     3.578448e+03   
