NewtonCholesky with backtrack line search.

CUTEst problem................: BIGGS6
Number of variables...........: 6
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 6
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 36000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.042381
Subproblem time in seconds..............: 0.004262
Line search time in seconds.............: 0.006779
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       7.753920e-01     2.553901e+00     1.000000e+00     4.743861e-02   
2       7.753680e-01     2.807000e+00     1.000000e+00     2.800527e-03   
3       7.753547e-01     2.821852e+00     1.000000e+00     1.972797e-05   
4       7.753415e-01     2.821851e+00     1.000000e+00     1.147467e-05   
5       7.753282e-01     2.821803e+00     1.000000e+00     1.147509e-05   
6       7.753149e-01     2.821755e+00     1.000000e+00     1.147503e-05   
7       7.753017e-01     2.821707e+00     1.000000e+00     1.147497e-05   
8       7.752884e-01     2.821659e+00     1.000000e+00     1.147491e-05   
9       7.752752e-01     2.821611e+00     1.000000e+00     1.147485e-05   
10      7.752619e-01     2.821563e+00     1.000000e+00     1.147479e-05   
11      7.752486e-01     2.821515e+00     1.000000e+00     1.147473e-05   
12      7.752354e-01     2.821467e+00     1.000000e+00     1.147467e-05   
13      7.752221e-01     2.821419e+00     1.000000e+00     1.147461e-05   
14      7.752088e-01     2.821371e+00     1.000000e+00     1.147455e-05   
15      7.751956e-01     2.821323e+00     1.000000e+00     1.147449e-05   
16      7.751823e-01     2.821275e+00     1.000000e+00     1.147443e-05   
17      7.751691e-01     2.821227e+00     1.000000e+00     1.147437e-05   
18      7.751558e-01     2.821179e+00     1.000000e+00     1.147431e-05   
19      7.751425e-01     2.821131e+00     1.000000e+00     1.147425e-05   
20      7.751293e-01     2.821083e+00     1.000000e+00     1.147419e-05   
21      7.751160e-01     2.821035e+00     1.000000e+00     1.147413e-05   
22      7.751028e-01     2.820987e+00     1.000000e+00     1.147407e-05   
23      7.750895e-01     2.820939e+00     1.000000e+00     1.147401e-05   
24      7.750763e-01     2.820891e+00     1.000000e+00     1.147395e-05   
25      7.750630e-01     2.820843e+00     1.000000e+00     1.147389e-05   
26      7.750497e-01     2.820795e+00     1.000000e+00     1.147383e-05   
27      7.750365e-01     2.820747e+00     1.000000e+00     1.147377e-05   
28      7.750232e-01     2.820699e+00     1.000000e+00     1.147372e-05   
29      7.750100e-01     2.820651e+00     1.000000e+00     1.147366e-05   
30      7.749967e-01     2.820603e+00     1.000000e+00     1.147360e-05   
31      7.749835e-01     2.820555e+00     1.000000e+00     1.147354e-05   
32      7.749702e-01     2.820507e+00     1.000000e+00     1.147348e-05   
33      7.749569e-01     2.820459e+00     1.000000e+00     1.147342e-05   
34      7.749437e-01     2.820411e+00     1.000000e+00     1.147336e-05   
35      7.749304e-01     2.820363e+00     1.000000e+00     1.147330e-05   
36      7.749172e-01     2.820315e+00     1.000000e+00     1.147324e-05   
37      7.749039e-01     2.820267e+00     1.000000e+00     1.147318e-05   
38      7.748907e-01     2.820219e+00     1.000000e+00     1.147312e-05   
39      7.748774e-01     2.820171e+00     1.000000e+00     1.147306e-05   
40      7.748642e-01     2.820123e+00     1.000000e+00     1.147300e-05   
41      7.748509e-01     2.820075e+00     1.000000e+00     1.147294e-05   
42      7.748377e-01     2.820027e+00     1.000000e+00     1.147288e-05   
43      7.748244e-01     2.819979e+00     1.000000e+00     1.147282e-05   
44      7.748112e-01     2.819931e+00     1.000000e+00     1.147276e-05   
45      7.747979e-01     2.819883e+00     1.000000e+00     1.147270e-05   
46      7.747847e-01     2.819835e+00     1.000000e+00     1.147264e-05   
47      7.747714e-01     2.819787e+00     1.000000e+00     1.147258e-05   
48      7.747582e-01     2.819739e+00     1.000000e+00     1.147252e-05   
49      7.747449e-01     2.819691e+00     1.000000e+00     1.147247e-05   
50      7.747317e-01     2.819643e+00     1.000000e+00     1.147241e-05   
51      7.747184e-01     2.819595e+00     1.000000e+00     1.147235e-05   
52      7.747052e-01     2.819547e+00     1.000000e+00     1.147229e-05   
53      7.746919e-01     2.819499e+00     1.000000e+00     1.147223e-05   
54      7.746787e-01     2.819451e+00     1.000000e+00     1.147217e-05   
55      7.746654e-01     2.819403e+00     1.000000e+00     1.147211e-05   
56      7.746522e-01     2.819355e+00     1.000000e+00     1.147205e-05   
57      7.746389e-01     2.819307e+00     1.000000e+00     1.147199e-05   
58      7.746257e-01     2.819259e+00     1.000000e+00     1.147193e-05   
59      7.746124e-01     2.819211e+00     1.000000e+00     1.147187e-05   
60      7.745992e-01     2.819163e+00     1.000000e+00     1.147181e-05   
61      7.745859e-01     2.819115e+00     1.000000e+00     1.147175e-05   
62      7.745727e-01     2.819067e+00     1.000000e+00     1.147169e-05   
63      7.745595e-01     2.819019e+00     1.000000e+00     1.147163e-05   
64      7.745462e-01     2.818972e+00     1.000000e+00     1.147157e-05   
65      7.745330e-01     2.818924e+00     1.000000e+00     1.147151e-05   
66      7.745197e-01     2.818876e+00     1.000000e+00     1.147146e-05   
67      7.745065e-01     2.818828e+00     1.000000e+00     1.147140e-05   
68      7.744932e-01     2.818780e+00     1.000000e+00     1.147134e-05   
69      7.744800e-01     2.818732e+00     1.000000e+00     1.147128e-05   
70      7.744667e-01     2.818684e+00     1.000000e+00     1.147122e-05   
71      7.744535e-01     2.818636e+00     1.000000e+00     1.147116e-05   
72      7.744403e-01     2.818588e+00     1.000000e+00     1.147110e-05   
73      7.744270e-01     2.818540e+00     1.000000e+00     1.147104e-05   
74      7.744138e-01     2.818492e+00     1.000000e+00     1.147098e-05   
75      7.744005e-01     2.818444e+00     1.000000e+00     1.147092e-05   
76      7.743873e-01     2.818396e+00     1.000000e+00     1.147086e-05   
77      7.743741e-01     2.818348e+00     1.000000e+00     1.147080e-05   
78      7.743608e-01     2.818300e+00     1.000000e+00     1.147074e-05   
79      7.743476e-01     2.818252e+00     1.000000e+00     1.147068e-05   
80      7.743343e-01     2.818204e+00     1.000000e+00     1.147062e-05   
81      7.743211e-01     2.818156e+00     1.000000e+00     1.147056e-05   
82      7.743079e-01     2.818108e+00     1.000000e+00     1.147051e-05   
83      7.742946e-01     2.818060e+00     1.000000e+00     1.147045e-05   
84      7.742814e-01     2.818012e+00     1.000000e+00     1.147039e-05   
85      7.742681e-01     2.817964e+00     1.000000e+00     1.147033e-05   
86      7.742549e-01     2.817916e+00     1.000000e+00     1.147027e-05   
87      7.742417e-01     2.817868e+00     1.000000e+00     1.147021e-05   
88      7.742284e-01     2.817820e+00     1.000000e+00     1.147015e-05   
89      7.742152e-01     2.817772e+00     1.000000e+00     1.147009e-05   
90      7.742020e-01     2.817724e+00     1.000000e+00     1.147003e-05   
91      7.741887e-01     2.817677e+00     1.000000e+00     1.146997e-05   
92      7.741755e-01     2.817629e+00     1.000000e+00     1.146991e-05   
93      7.741623e-01     2.817581e+00     1.000000e+00     1.146985e-05   
94      7.741490e-01     2.817533e+00     1.000000e+00     1.146979e-05   
95      7.741358e-01     2.817485e+00     1.000000e+00     1.146973e-05   
96      7.741226e-01     2.817437e+00     1.000000e+00     1.146968e-05   
97      7.741093e-01     2.817389e+00     1.000000e+00     1.146962e-05   
98      7.740961e-01     2.817341e+00     1.000000e+00     1.146956e-05   
99      7.740829e-01     2.817293e+00     1.000000e+00     1.146950e-05   
100     7.740696e-01     2.817245e+00     1.000000e+00     1.146944e-05   
101     7.740564e-01     2.817197e+00     1.000000e+00     1.146938e-05   
102     7.740432e-01     2.817149e+00     1.000000e+00     1.146932e-05   
103     7.740299e-01     2.817101e+00     1.000000e+00     1.146926e-05   
104     7.740167e-01     2.817053e+00     1.000000e+00     1.146920e-05   
105     7.740035e-01     2.817005e+00     1.000000e+00     1.146914e-05   
106     7.739902e-01     2.816957e+00     1.000000e+00     1.146908e-05   
107     7.739770e-01     2.816909e+00     1.000000e+00     1.146902e-05   
108     7.739638e-01     2.816861e+00     1.000000e+00     1.146897e-05   
109     7.739505e-01     2.816813e+00     1.000000e+00     1.146891e-05   
