NewtonCholesky with backtrack line search.

CUTEst problem................: BROWNAL
Number of variables...........: 200
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 200
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 20600000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 121.397574
Subproblem time in seconds..............: 4.096325
Line search time in seconds.............: 0.134840
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       9.898935e+03     5.684997e+05     1.000000e+00     9.950496e+01   
2       9.896956e+03     2.751268e+03     1.000000e+00     9.909593e-03   
3       9.894977e+03     2.750912e+03     1.000000e+00     9.922859e-03   
4       9.892998e+03     2.750638e+03     1.000000e+00     9.921867e-03   
5       9.891020e+03     2.750363e+03     1.000000e+00     9.920875e-03   
6       9.889042e+03     2.750088e+03     1.000000e+00     9.919883e-03   
7       9.887065e+03     2.749813e+03     1.000000e+00     9.918891e-03   
8       9.885088e+03     2.749538e+03     1.000000e+00     9.917899e-03   
9       9.883111e+03     2.749264e+03     1.000000e+00     9.916907e-03   
10      9.881135e+03     2.748989e+03     1.000000e+00     9.915915e-03   
11      9.879159e+03     2.748714e+03     1.000000e+00     9.914924e-03   
12      9.877184e+03     2.748440e+03     1.000000e+00     9.913932e-03   
13      9.875209e+03     2.748165e+03     1.000000e+00     9.912941e-03   
14      9.873234e+03     2.747891e+03     1.000000e+00     9.911950e-03   
15      9.871260e+03     2.747616e+03     1.000000e+00     9.910959e-03   
16      9.869286e+03     2.747341e+03     1.000000e+00     9.909968e-03   
17      9.867312e+03     2.747067e+03     1.000000e+00     9.908977e-03   
18      9.865339e+03     2.746793e+03     1.000000e+00     9.907986e-03   
19      9.863366e+03     2.746518e+03     1.000000e+00     9.906995e-03   
20      9.861394e+03     2.746244e+03     1.000000e+00     9.906004e-03   
21      9.859422e+03     2.745969e+03     1.000000e+00     9.905014e-03   
22      9.857451e+03     2.745695e+03     1.000000e+00     9.904023e-03   
23      9.855480e+03     2.745421e+03     1.000000e+00     9.903033e-03   
24      9.853509e+03     2.745146e+03     1.000000e+00     9.902043e-03   
25      9.851539e+03     2.744872e+03     1.000000e+00     9.901053e-03   
26      9.849569e+03     2.744598e+03     1.000000e+00     9.900063e-03   
27      9.847599e+03     2.744324e+03     1.000000e+00     9.899073e-03   
28      9.845630e+03     2.744049e+03     1.000000e+00     9.898083e-03   
29      9.843661e+03     2.743775e+03     1.000000e+00     9.897093e-03   
30      9.841693e+03     2.743501e+03     1.000000e+00     9.896103e-03   
31      9.839725e+03     2.743227e+03     1.000000e+00     9.895114e-03   
32      9.837757e+03     2.742953e+03     1.000000e+00     9.894124e-03   
33      9.835790e+03     2.742679e+03     1.000000e+00     9.893135e-03   
34      9.833823e+03     2.742405e+03     1.000000e+00     9.892146e-03   
35      9.831857e+03     2.742131e+03     1.000000e+00     9.891157e-03   
36      9.829891e+03     2.741857e+03     1.000000e+00     9.890168e-03   
37      9.827925e+03     2.741583e+03     1.000000e+00     9.889179e-03   
38      9.825960e+03     2.741309e+03     1.000000e+00     9.888190e-03   
39      9.823995e+03     2.741035e+03     1.000000e+00     9.887201e-03   
40      9.822031e+03     2.740761e+03     1.000000e+00     9.886212e-03   
41      9.820067e+03     2.740487e+03     1.000000e+00     9.885224e-03   
42      9.818103e+03     2.740214e+03     1.000000e+00     9.884235e-03   
43      9.816140e+03     2.739940e+03     1.000000e+00     9.883247e-03   
44      9.814177e+03     2.739666e+03     1.000000e+00     9.882259e-03   
45      9.812215e+03     2.739392e+03     1.000000e+00     9.881271e-03   
46      9.810253e+03     2.739119e+03     1.000000e+00     9.880283e-03   
47      9.808291e+03     2.738845e+03     1.000000e+00     9.879295e-03   
48      9.806330e+03     2.738571e+03     1.000000e+00     9.878307e-03   
49      9.804369e+03     2.738298e+03     1.000000e+00     9.877319e-03   
50      9.802408e+03     2.738024e+03     1.000000e+00     9.876331e-03   
51      9.800448e+03     2.737750e+03     1.000000e+00     9.875344e-03   
52      9.798488e+03     2.737477e+03     1.000000e+00     9.874356e-03   
53      9.796529e+03     2.737203e+03     1.000000e+00     9.873369e-03   
54      9.794570e+03     2.736930e+03     1.000000e+00     9.872382e-03   
55      9.792612e+03     2.736656e+03     1.000000e+00     9.871395e-03   
56      9.790653e+03     2.736383e+03     1.000000e+00     9.870408e-03   
57      9.788696e+03     2.736110e+03     1.000000e+00     9.869421e-03   
58      9.786738e+03     2.735836e+03     1.000000e+00     9.868434e-03   
59      9.784781e+03     2.735563e+03     1.000000e+00     9.867447e-03   
60      9.782825e+03     2.735290e+03     1.000000e+00     9.866460e-03   
61      9.780868e+03     2.735016e+03     1.000000e+00     9.865474e-03   
62      9.778913e+03     2.734743e+03     1.000000e+00     9.864487e-03   
63      9.776957e+03     2.734470e+03     1.000000e+00     9.863501e-03   
64      9.775002e+03     2.734197e+03     1.000000e+00     9.862515e-03   
65      9.773048e+03     2.733923e+03     1.000000e+00     9.861529e-03   
66      9.771093e+03     2.733650e+03     1.000000e+00     9.860543e-03   
67      9.769139e+03     2.733377e+03     1.000000e+00     9.859557e-03   
68      9.767186e+03     2.733104e+03     1.000000e+00     9.858571e-03   
69      9.765233e+03     2.732831e+03     1.000000e+00     9.857585e-03   
70      9.763280e+03     2.732558e+03     1.000000e+00     9.856599e-03   
71      9.761328e+03     2.732285e+03     1.000000e+00     9.855614e-03   
72      9.759376e+03     2.732012e+03     1.000000e+00     9.854628e-03   
73      9.757425e+03     2.731739e+03     1.000000e+00     9.853643e-03   
74      9.755473e+03     2.731466e+03     1.000000e+00     9.852658e-03   
75      9.753523e+03     2.731193e+03     1.000000e+00     9.851672e-03   
76      9.751572e+03     2.730920e+03     1.000000e+00     9.850687e-03   
77      9.749622e+03     2.730647e+03     1.000000e+00     9.849702e-03   
78      9.747673e+03     2.730375e+03     1.000000e+00     9.848718e-03   
79      9.745724e+03     2.730102e+03     1.000000e+00     9.847733e-03   
80      9.743775e+03     2.729829e+03     1.000000e+00     9.846748e-03   
81      9.741827e+03     2.729556e+03     1.000000e+00     9.845764e-03   
82      9.739879e+03     2.729283e+03     1.000000e+00     9.844779e-03   
83      9.737931e+03     2.729011e+03     1.000000e+00     9.843795e-03   
84      9.735984e+03     2.728738e+03     1.000000e+00     9.842810e-03   
85      9.734037e+03     2.728465e+03     1.000000e+00     9.841826e-03   
86      9.732090e+03     2.728193e+03     1.000000e+00     9.840842e-03   
87      9.730144e+03     2.727920e+03     1.000000e+00     9.839858e-03   
88      9.728199e+03     2.727648e+03     1.000000e+00     9.838874e-03   
89      9.726253e+03     2.727375e+03     1.000000e+00     9.837891e-03   
90      9.724309e+03     2.727103e+03     1.000000e+00     9.836907e-03   
91      9.722364e+03     2.726830e+03     1.000000e+00     9.835923e-03   
92      9.720420e+03     2.726558e+03     1.000000e+00     9.834940e-03   
93      9.718476e+03     2.726285e+03     1.000000e+00     9.833957e-03   
94      9.716533e+03     2.726013e+03     1.000000e+00     9.832973e-03   
95      9.714590e+03     2.725741e+03     1.000000e+00     9.831990e-03   
96      9.712647e+03     2.725468e+03     1.000000e+00     9.831007e-03   
97      9.710705e+03     2.725196e+03     1.000000e+00     9.830024e-03   
98      9.708763e+03     2.724924e+03     1.000000e+00     9.829041e-03   
99      9.706822e+03     2.724651e+03     1.000000e+00     9.828058e-03   
100     9.704881e+03     2.724379e+03     1.000000e+00     9.827076e-03   
101     9.702940e+03     2.724107e+03     1.000000e+00     9.826093e-03   
102     9.701000e+03     2.723835e+03     1.000000e+00     9.825111e-03   
103     9.699060e+03     2.723563e+03     1.000000e+00     9.824128e-03   
104     9.697121e+03     2.723291e+03     1.000000e+00     9.823146e-03   
105     9.695182e+03     2.723018e+03     1.000000e+00     9.822164e-03   
106     9.693243e+03     2.722746e+03     1.000000e+00     9.821182e-03   
107     9.691305e+03     2.722474e+03     1.000000e+00     9.820200e-03   
108     9.689367e+03     2.722202e+03     1.000000e+00     9.819218e-03   
109     9.687429e+03     2.721930e+03     1.000000e+00     9.818236e-03   
110     9.685492e+03     2.721658e+03     1.000000e+00     9.817254e-03   
111     9.683556e+03     2.721386e+03     1.000000e+00     9.816273e-03   
112     9.681619e+03     2.721115e+03     1.000000e+00     9.815291e-03   
113     9.679683e+03     2.720843e+03     1.000000e+00     9.814310e-03   
114     9.677748e+03     2.720571e+03     1.000000e+00     9.813329e-03   
115     9.675812e+03     2.720299e+03     1.000000e+00     9.812347e-03   
116     9.673878e+03     2.720027e+03     1.000000e+00     9.811366e-03   
117     9.671943e+03     2.719755e+03     1.000000e+00     9.810385e-03   
118     9.670009e+03     2.719484e+03     1.000000e+00     9.809404e-03   
119     9.668076e+03     2.719212e+03     1.000000e+00     9.808424e-03   
120     9.666142e+03     2.718940e+03     1.000000e+00     9.807443e-03   
121     9.664209e+03     2.718669e+03     1.000000e+00     9.806462e-03   
122     9.662277e+03     2.718397e+03     1.000000e+00     9.805482e-03   
123     9.660345e+03     2.718125e+03     1.000000e+00     9.804501e-03   
124     9.658413e+03     2.717854e+03     1.000000e+00     9.803521e-03   
125     9.656482e+03     2.717582e+03     1.000000e+00     9.802541e-03   
126     9.654551e+03     2.717311e+03     1.000000e+00     9.801561e-03   
127     9.652620e+03     2.717039e+03     1.000000e+00     9.800581e-03   
128     9.650690e+03     2.716768e+03     1.000000e+00     9.799601e-03   
129     9.648760e+03     2.716496e+03     1.000000e+00     9.798621e-03   
130     9.646831e+03     2.716225e+03     1.000000e+00     9.797641e-03   
131     9.644902e+03     2.715954e+03     1.000000e+00     9.796662e-03   
132     9.642973e+03     2.715682e+03     1.000000e+00     9.795682e-03   
133     9.641045e+03     2.715411e+03     1.000000e+00     9.794703e-03   
134     9.639117e+03     2.715140e+03     1.000000e+00     9.793724e-03   
135     9.637190e+03     2.714868e+03     1.000000e+00     9.792744e-03   
136     9.635263e+03     2.714597e+03     1.000000e+00     9.791765e-03   
137     9.633336e+03     2.714326e+03     1.000000e+00     9.790786e-03   
138     9.631410e+03     2.714055e+03     1.000000e+00     9.789807e-03   
139     9.629484e+03     2.713783e+03     1.000000e+00     9.788828e-03   
140     9.627558e+03     2.713512e+03     1.000000e+00     9.787850e-03   
141     9.625633e+03     2.713241e+03     1.000000e+00     9.786871e-03   
142     9.623708e+03     2.712970e+03     1.000000e+00     9.785893e-03   
143     9.621784e+03     2.712699e+03     1.000000e+00     9.784914e-03   
144     9.619860e+03     2.712428e+03     1.000000e+00     9.783936e-03   
145     9.617936e+03     2.712157e+03     1.000000e+00     9.782958e-03   
146     9.616013e+03     2.711886e+03     1.000000e+00     9.781980e-03   
147     9.614090e+03     2.711615e+03     1.000000e+00     9.781002e-03   
148     9.612168e+03     2.711344e+03     1.000000e+00     9.780024e-03   
149     9.610246e+03     2.711073e+03     1.000000e+00     9.779046e-03   
150     9.608324e+03     2.710802e+03     1.000000e+00     9.778068e-03   
151     9.606403e+03     2.710532e+03     1.000000e+00     9.777090e-03   
152     9.604482e+03     2.710261e+03     1.000000e+00     9.776113e-03   
153     9.602561e+03     2.709990e+03     1.000000e+00     9.775135e-03   
154     9.600641e+03     2.709719e+03     1.000000e+00     9.774158e-03   
155     9.598721e+03     2.709448e+03     1.000000e+00     9.773181e-03   
156     9.596802e+03     2.709178e+03     1.000000e+00     9.772204e-03   
157     9.594883e+03     2.708907e+03     1.000000e+00     9.771227e-03   
158     9.592964e+03     2.708636e+03     1.000000e+00     9.770250e-03   
159     9.591046e+03     2.708366e+03     1.000000e+00     9.769273e-03   
160     9.589128e+03     2.708095e+03     1.000000e+00     9.768296e-03   
161     9.587211e+03     2.707825e+03     1.000000e+00     9.767320e-03   
162     9.585293e+03     2.707554e+03     1.000000e+00     9.766343e-03   
163     9.583377e+03     2.707283e+03     1.000000e+00     9.765367e-03   
164     9.581460e+03     2.707013e+03     1.000000e+00     9.764390e-03   
165     9.579544e+03     2.706743e+03     1.000000e+00     9.763414e-03   
166     9.577629e+03     2.706472e+03     1.000000e+00     9.762438e-03   
167     9.575714e+03     2.706202e+03     1.000000e+00     9.761462e-03   
168     9.573799e+03     2.705931e+03     1.000000e+00     9.760486e-03   
169     9.571885e+03     2.705661e+03     1.000000e+00     9.759510e-03   
170     9.569970e+03     2.705391e+03     1.000000e+00     9.758534e-03   
