NewtonCholesky with backtrack line search.

CUTEst problem................: BROWNBS
Number of variables...........: 2
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 2
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 8000
Line search iterations..................: 39638
Number of objective function evaluations: 40638
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.057849
Subproblem time in seconds..............: 0.007820
Line search time in seconds.............: 0.045533
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       6.201066e+11     2.000000e+06     3.725290e-09     2.000000e+14   
2       5.288506e+11     1.110225e+12     3.725290e-09     9.802367e+13   
3       5.069294e+11     2.886355e+11     3.725290e-09     4.804318e+13   
4       5.016636e+11     6.246639e+11     3.725290e-09     2.354683e+13   
5       5.003987e+11     4.439606e+11     3.725290e-09     1.154072e+13   
6       5.000948e+11     5.286807e+11     3.725290e-09     5.656316e+12   
7       5.000218e+11     4.862340e+11     3.725290e-09     2.772263e+12   
8       5.000043e+11     5.068160e+11     3.725290e-09     1.358736e+12   
9       5.000001e+11     4.966751e+11     3.725290e-09     6.659409e+11   
10      4.999991e+11     5.016325e+11     3.725290e-09     3.263896e+11   
11      4.999988e+11     4.991997e+11     3.725290e-09     1.599694e+11   
12      4.999988e+11     5.003913e+11     3.725290e-09     7.840390e+10   
13      4.999988e+11     4.998071e+11     3.725290e-09     3.842716e+10   
14      4.999988e+11     5.000934e+11     3.725290e-09     1.883384e+10   
15      4.999988e+11     4.999531e+11     3.725290e-09     9.230806e+09   
16      4.999988e+11     5.000219e+11     3.725290e-09     4.524184e+09   
17      4.999988e+11     4.999882e+11     3.725290e-09     2.217384e+09   
18      4.999988e+11     5.000047e+11     3.725290e-09     1.086780e+09   
19      4.999988e+11     4.999966e+11     3.725290e-09     5.326504e+08   
20      4.999988e+11     5.000005e+11     3.725290e-09     2.610616e+08   
21      4.999988e+11     4.999986e+11     3.725290e-09     1.279510e+08   
22      4.999988e+11     4.999996e+11     1.862645e-09     6.271108e+07   
23      4.999988e+11     4.999993e+11     7.275958e-12     1.598762e+07   
24      4.999988e+11     4.999993e+11     5.820766e-11     1.594109e+07   
25      4.999988e+11     4.999993e+11     7.275958e-12     1.556994e+07   
26      4.999988e+11     4.999993e+11     7.275958e-12     1.552462e+07   
27      4.999988e+11     4.999993e+11     1.455192e-11     1.547944e+07   
28      4.999988e+11     4.999993e+11     2.910383e-11     1.538934e+07   
29      4.999988e+11     4.999993e+11     1.455192e-11     1.521018e+07   
30      4.999988e+11     4.999993e+11     2.910383e-11     1.512165e+07   
31      4.999988e+11     4.999993e+11     1.455192e-11     1.494561e+07   
32      4.999988e+11     4.999993e+11     1.455192e-11     1.485861e+07   
33      4.999988e+11     4.999993e+11     1.455192e-11     1.477212e+07   
34      4.999988e+11     4.999993e+11     2.910383e-11     1.468614e+07   
35      4.999988e+11     4.999993e+11     2.910383e-11     1.451517e+07   
36      4.999988e+11     4.999993e+11     1.455192e-11     1.434619e+07   
37      4.999988e+11     4.999993e+11     1.455192e-11     1.426268e+07   
38      4.999988e+11     4.999993e+11     2.910383e-11     1.417966e+07   
39      4.999988e+11     4.999993e+11     1.455192e-11     1.401459e+07   
40      4.999988e+11     4.999993e+11     2.910383e-11     1.393301e+07   
41      4.999988e+11     4.999993e+11     1.455192e-11     1.377081e+07   
42      4.999988e+11     4.999993e+11     1.455192e-11     1.369066e+07   
43      4.999988e+11     4.999993e+11     1.455192e-11     1.361097e+07   
44      4.999988e+11     4.999993e+11     1.455192e-11     1.353174e+07   
45      4.999988e+11     4.999993e+11     2.910383e-11     1.345297e+07   
46      4.999988e+11     4.999993e+11     1.455192e-11     1.329636e+07   
47      4.999988e+11     4.999993e+11     1.455192e-11     1.321897e+07   
48      4.999988e+11     4.999993e+11     1.455192e-11     1.314202e+07   
49      4.999988e+11     4.999993e+11     1.455192e-11     1.306552e+07   
50      4.999988e+11     4.999993e+11     1.455192e-11     1.298947e+07   
