NewtonCholesky with backtrack line search.

CUTEst problem................: BROWNDEN
Number of variables...........: 4
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 4
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 20000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.030702
Subproblem time in seconds..............: 0.002127
Line search time in seconds.............: 0.004720
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       1.896181e+06     2.140491e+06     1.000000e+00     8.760221e+00   
2       9.140866e+05     5.501394e+05     1.000000e+00     5.243560e+00   
3       8.533536e+05     1.321708e+05     1.000000e+00     1.726488e+00   
4       8.530708e+05     2.272412e+05     1.000000e+00     1.284830e-01   
5       8.530708e+05     2.367538e+05     1.000000e+00     5.782665e-04   
6       8.530708e+05     2.367969e+05     1.000000e+00     1.134529e-08   
7       8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
8       8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
9       8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
10      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
11      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
12      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
13      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
14      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
15      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
16      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
17      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
18      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
19      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
20      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
21      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
22      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
23      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
24      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
