NewtonCholesky with backtrack line search.

CUTEst problem................: GAUSSIAN
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 13500
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.023655
Subproblem time in seconds..............: 0.001969
Line search time in seconds.............: 0.004175
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       4.984460e-07     7.451533e-03     1.000000e+00     1.679399e-03   
2       1.130514e-08     7.414341e-04     1.000000e+00     1.313846e-03   
3       1.130503e-08     2.848379e-06     1.000000e+00     4.626689e-07   
4       1.130502e-08     2.695105e-06     1.000000e+00     2.158436e-07   
5       1.130502e-08     2.692351e-06     1.000000e+00     5.411484e-12   
6       1.130502e-08     2.692351e-06     1.000000e+00     5.411021e-12   
7       1.130502e-08     2.692350e-06     1.000000e+00     5.411011e-12   
8       1.130502e-08     2.692349e-06     1.000000e+00     5.411009e-12   
9       1.130502e-08     2.692348e-06     1.000000e+00     5.411010e-12   
10      1.130502e-08     2.692348e-06     1.000000e+00     5.411010e-12   
11      1.130502e-08     2.692347e-06     1.000000e+00     5.411005e-12   
12      1.130502e-08     2.692346e-06     1.000000e+00     5.411007e-12   
13      1.130502e-08     2.692345e-06     1.000000e+00     5.410999e-12   
14      1.130502e-08     2.692345e-06     1.000000e+00     5.411007e-12   
15      1.130502e-08     2.692344e-06     1.000000e+00     5.411000e-12   
16      1.130502e-08     2.692343e-06     1.000000e+00     5.411002e-12   
17      1.130502e-08     2.692342e-06     1.000000e+00     5.410996e-12   
18      1.130502e-08     2.692342e-06     1.000000e+00     5.410995e-12   
19      1.130502e-08     2.692341e-06     1.000000e+00     5.410996e-12   
20      1.130502e-08     2.692340e-06     1.000000e+00     5.410989e-12   
21      1.130502e-08     2.692339e-06     1.000000e+00     5.410991e-12   
22      1.130502e-08     2.692339e-06     1.000000e+00     5.410993e-12   
23      1.130502e-08     2.692338e-06     1.000000e+00     5.410987e-12   
24      1.130502e-08     2.692337e-06     1.000000e+00     5.410988e-12   
25      1.130502e-08     2.692336e-06     1.000000e+00     5.410981e-12   
26      1.130502e-08     2.692336e-06     1.000000e+00     5.410981e-12   
27      1.130502e-08     2.692335e-06     1.000000e+00     5.410980e-12   
28      1.130502e-08     2.692334e-06     1.000000e+00     5.410982e-12   
29      1.130502e-08     2.692333e-06     1.000000e+00     5.410984e-12   
30      1.130502e-08     2.692333e-06     1.000000e+00     5.410976e-12   
31      1.130502e-08     2.692332e-06     1.000000e+00     5.410976e-12   
32      1.130502e-08     2.692331e-06     1.000000e+00     5.410975e-12   
33      1.130502e-08     2.692330e-06     1.000000e+00     5.410977e-12   
34      1.130502e-08     2.692329e-06     1.000000e+00     5.410974e-12   
35      1.130502e-08     2.692329e-06     1.000000e+00     5.410965e-12   
36      1.130502e-08     2.692328e-06     1.000000e+00     5.410974e-12   
37      1.130502e-08     2.692327e-06     1.000000e+00     5.410967e-12   
38      1.130502e-08     2.692326e-06     1.000000e+00     5.410967e-12   
39      1.130502e-08     2.692326e-06     1.000000e+00     5.410964e-12   
40      1.130502e-08     2.692325e-06     1.000000e+00     5.410959e-12   
41      1.130502e-08     2.692324e-06     1.000000e+00     5.410959e-12   
42      1.130502e-08     2.692323e-06     1.000000e+00     5.410956e-12   
43      1.130502e-08     2.692323e-06     1.000000e+00     5.410956e-12   
44      1.130502e-08     2.692322e-06     1.000000e+00     5.410953e-12   
45      1.130502e-08     2.692321e-06     1.000000e+00     5.410950e-12   
46      1.130502e-08     2.692320e-06     1.000000e+00     5.410955e-12   
47      1.130502e-08     2.692320e-06     1.000000e+00     5.410947e-12   
48      1.130502e-08     2.692319e-06     1.000000e+00     5.410951e-12   
49      1.130502e-08     2.692318e-06     1.000000e+00     5.410948e-12   
50      1.130502e-08     2.692317e-06     1.000000e+00     5.410944e-12   
51      1.130502e-08     2.692317e-06     1.000000e+00     5.410945e-12   
52      1.130502e-08     2.692316e-06     1.000000e+00     5.410941e-12   
53      1.130502e-08     2.692315e-06     1.000000e+00     5.410940e-12   
54      1.130502e-08     2.692314e-06     1.000000e+00     5.410937e-12   
55      1.130502e-08     2.692314e-06     1.000000e+00     5.410936e-12   
56      1.130502e-08     2.692313e-06     1.000000e+00     5.410935e-12   
57      1.130502e-08     2.692312e-06     1.000000e+00     5.410930e-12   
58      1.130502e-08     2.692311e-06     1.000000e+00     5.410937e-12   
59      1.130502e-08     2.692310e-06     1.000000e+00     5.410927e-12   
60      1.130502e-08     2.692310e-06     1.000000e+00     5.410930e-12   
61      1.130502e-08     2.692309e-06     1.000000e+00     5.410931e-12   
62      1.130502e-08     2.692308e-06     1.000000e+00     5.410928e-12   
63      1.130502e-08     2.692307e-06     1.000000e+00     5.410927e-12   
64      1.130502e-08     2.692307e-06     1.000000e+00     5.410922e-12   
65      1.130502e-08     2.692306e-06     1.000000e+00     5.410921e-12   
66      1.130502e-08     2.692305e-06     1.000000e+00     5.410919e-12   
67      1.130502e-08     2.692304e-06     1.000000e+00     5.410925e-12   
68      1.130502e-08     2.692304e-06     1.000000e+00     5.410916e-12   
69      1.130502e-08     2.692303e-06     1.000000e+00     5.410914e-12   
70      1.130502e-08     2.692302e-06     1.000000e+00     5.410917e-12   
71      1.130502e-08     2.692301e-06     1.000000e+00     5.410913e-12   
72      1.130502e-08     2.692301e-06     1.000000e+00     5.410913e-12   
73      1.130502e-08     2.692300e-06     1.000000e+00     5.410910e-12   
74      1.130502e-08     2.692299e-06     1.000000e+00     5.410909e-12   
75      1.130502e-08     2.692298e-06     1.000000e+00     5.410908e-12   
76      1.130502e-08     2.692298e-06     1.000000e+00     5.410904e-12   
77      1.130502e-08     2.692297e-06     1.000000e+00     5.410902e-12   
78      1.130502e-08     2.692296e-06     1.000000e+00     5.410905e-12   
79      1.130502e-08     2.692295e-06     1.000000e+00     5.410903e-12   
80      1.130502e-08     2.692295e-06     1.000000e+00     5.410904e-12   
81      1.130502e-08     2.692294e-06     1.000000e+00     5.410894e-12   
82      1.130502e-08     2.692293e-06     1.000000e+00     5.410900e-12   
83      1.130502e-08     2.692292e-06     1.000000e+00     5.410891e-12   
84      1.130502e-08     2.692291e-06     1.000000e+00     5.410895e-12   
85      1.130502e-08     2.692291e-06     1.000000e+00     5.410893e-12   
86      1.130502e-08     2.692290e-06     1.000000e+00     5.410892e-12   
87      1.130502e-08     2.692289e-06     1.000000e+00     5.410889e-12   
88      1.130502e-08     2.692288e-06     1.000000e+00     5.410886e-12   
89      1.130502e-08     2.692288e-06     1.000000e+00     5.410884e-12   
90      1.130502e-08     2.692287e-06     1.000000e+00     5.410886e-12   
91      1.130502e-08     2.692286e-06     1.000000e+00     5.410885e-12   
92      1.130502e-08     2.692285e-06     1.000000e+00     5.410886e-12   
93      1.130502e-08     2.692285e-06     1.000000e+00     5.410876e-12   
94      1.130502e-08     2.692284e-06     1.000000e+00     5.410881e-12   
95      1.130502e-08     2.692283e-06     1.000000e+00     5.410878e-12   
96      1.130502e-08     2.692282e-06     1.000000e+00     5.410877e-12   
97      1.130502e-08     2.692282e-06     1.000000e+00     5.410875e-12   
98      1.130502e-08     2.692281e-06     1.000000e+00     5.410871e-12   
99      1.130502e-08     2.692280e-06     1.000000e+00     5.410873e-12   
100     1.130502e-08     2.692279e-06     1.000000e+00     5.410867e-12   
101     1.130502e-08     2.692279e-06     1.000000e+00     5.410873e-12   
102     1.130502e-08     2.692278e-06     1.000000e+00     5.410865e-12   
103     1.130502e-08     2.692277e-06     1.000000e+00     5.410861e-12   
104     1.130502e-08     2.692276e-06     1.000000e+00     5.410866e-12   
105     1.130502e-08     2.692276e-06     1.000000e+00     5.410863e-12   
106     1.130502e-08     2.692275e-06     1.000000e+00     5.410862e-12   
107     1.130502e-08     2.692274e-06     1.000000e+00     5.410859e-12   
108     1.130502e-08     2.692273e-06     1.000000e+00     5.410858e-12   
109     1.130502e-08     2.692272e-06     1.000000e+00     5.410856e-12   
110     1.130502e-08     2.692272e-06     1.000000e+00     5.410852e-12   
111     1.130502e-08     2.692271e-06     1.000000e+00     5.410858e-12   
112     1.130502e-08     2.692270e-06     1.000000e+00     5.410851e-12   
113     1.130502e-08     2.692269e-06     1.000000e+00     5.410847e-12   
114     1.130502e-08     2.692269e-06     1.000000e+00     5.410853e-12   
115     1.130502e-08     2.692268e-06     1.000000e+00     5.410844e-12   
116     1.130502e-08     2.692267e-06     1.000000e+00     5.410847e-12   
117     1.130502e-08     2.692266e-06     1.000000e+00     5.410844e-12   
118     1.130502e-08     2.692266e-06     1.000000e+00     5.410843e-12   
119     1.130502e-08     2.692265e-06     1.000000e+00     5.410842e-12   
120     1.130502e-08     2.692264e-06     1.000000e+00     5.410839e-12   
121     1.130502e-08     2.692263e-06     1.000000e+00     5.410838e-12   
122     1.130502e-08     2.692263e-06     1.000000e+00     5.410836e-12   
123     1.130502e-08     2.692262e-06     1.000000e+00     5.410832e-12   
124     1.130502e-08     2.692261e-06     1.000000e+00     5.410835e-12   
125     1.130502e-08     2.692260e-06     1.000000e+00     5.410836e-12   
126     1.130502e-08     2.692260e-06     1.000000e+00     5.410828e-12   
127     1.130502e-08     2.692259e-06     1.000000e+00     5.410830e-12   
128     1.130502e-08     2.692258e-06     1.000000e+00     5.410830e-12   
129     1.130502e-08     2.692257e-06     1.000000e+00     5.410824e-12   
130     1.130502e-08     2.692257e-06     1.000000e+00     5.410825e-12   
131     1.130502e-08     2.692256e-06     1.000000e+00     5.410825e-12   
132     1.130502e-08     2.692255e-06     1.000000e+00     5.410820e-12   
133     1.130502e-08     2.692254e-06     1.000000e+00     5.410819e-12   
134     1.130502e-08     2.692254e-06     1.000000e+00     5.410816e-12   
135     1.130502e-08     2.692253e-06     1.000000e+00     5.410821e-12   
136     1.130502e-08     2.692252e-06     1.000000e+00     5.410813e-12   
137     1.130502e-08     2.692251e-06     1.000000e+00     5.410810e-12   
138     1.130502e-08     2.692250e-06     1.000000e+00     5.410817e-12   
139     1.130502e-08     2.692250e-06     1.000000e+00     5.410806e-12   
140     1.130502e-08     2.692249e-06     1.000000e+00     5.410810e-12   
141     1.130502e-08     2.692248e-06     1.000000e+00     5.410808e-12   
142     1.130502e-08     2.692247e-06     1.000000e+00     5.410807e-12   
143     1.130502e-08     2.692247e-06     1.000000e+00     5.410805e-12   
144     1.130502e-08     2.692246e-06     1.000000e+00     5.410803e-12   
145     1.130502e-08     2.692245e-06     1.000000e+00     5.410803e-12   
146     1.130502e-08     2.692244e-06     1.000000e+00     5.410797e-12   
147     1.130502e-08     2.692244e-06     1.000000e+00     5.410803e-12   
148     1.130502e-08     2.692243e-06     1.000000e+00     5.410795e-12   
149     1.130502e-08     2.692242e-06     1.000000e+00     5.410790e-12   
150     1.130502e-08     2.692241e-06     1.000000e+00     5.410796e-12   
151     1.130502e-08     2.692241e-06     1.000000e+00     5.410795e-12   
152     1.130502e-08     2.692240e-06     1.000000e+00     5.410792e-12   
153     1.130502e-08     2.692239e-06     1.000000e+00     5.410788e-12   
154     1.130502e-08     2.692238e-06     1.000000e+00     5.410788e-12   
155     1.130502e-08     2.692238e-06     1.000000e+00     5.410788e-12   
156     1.130502e-08     2.692237e-06     1.000000e+00     5.410782e-12   
157     1.130502e-08     2.692236e-06     1.000000e+00     5.410790e-12   
158     1.130502e-08     2.692235e-06     1.000000e+00     5.410779e-12   
159     1.130502e-08     2.692235e-06     1.000000e+00     5.410784e-12   
160     1.130502e-08     2.692234e-06     1.000000e+00     5.410781e-12   
161     1.130502e-08     2.692233e-06     1.000000e+00     5.410780e-12   
162     1.130502e-08     2.692232e-06     1.000000e+00     5.410778e-12   
163     1.130502e-08     2.692231e-06     1.000000e+00     5.410775e-12   
164     1.130502e-08     2.692231e-06     1.000000e+00     5.410774e-12   
165     1.130502e-08     2.692230e-06     1.000000e+00     5.410772e-12   
166     1.130502e-08     2.692229e-06     1.000000e+00     5.410769e-12   
167     1.130502e-08     2.692228e-06     1.000000e+00     5.410768e-12   
168     1.130502e-08     2.692228e-06     1.000000e+00     5.410766e-12   
169     1.130502e-08     2.692227e-06     1.000000e+00     5.410762e-12   
170     1.130502e-08     2.692226e-06     1.000000e+00     5.410766e-12   
171     1.130502e-08     2.692225e-06     1.000000e+00     5.410766e-12   
172     1.130502e-08     2.692225e-06     1.000000e+00     5.410758e-12   
173     1.130502e-08     2.692224e-06     1.000000e+00     5.410760e-12   
174     1.130502e-08     2.692223e-06     1.000000e+00     5.410760e-12   
175     1.130502e-08     2.692222e-06     1.000000e+00     5.410755e-12   
176     1.130502e-08     2.692222e-06     1.000000e+00     5.410756e-12   
177     1.130502e-08     2.692221e-06     1.000000e+00     5.410753e-12   
178     1.130502e-08     2.692220e-06     1.000000e+00     5.410751e-12   
179     1.130502e-08     2.692219e-06     1.000000e+00     5.410749e-12   
180     1.130502e-08     2.692219e-06     1.000000e+00     5.410746e-12   
181     1.130502e-08     2.692218e-06     1.000000e+00     5.410752e-12   
182     1.130502e-08     2.692217e-06     1.000000e+00     5.410743e-12   
183     1.130502e-08     2.692216e-06     1.000000e+00     5.410747e-12   
184     1.130502e-08     2.692216e-06     1.000000e+00     5.410739e-12   
185     1.130502e-08     2.692215e-06     1.000000e+00     5.410741e-12   
186     1.130502e-08     2.692214e-06     1.000000e+00     5.410739e-12   
187     1.130502e-08     2.692213e-06     1.000000e+00     5.410735e-12   
188     1.130502e-08     2.692212e-06     1.000000e+00     5.410736e-12   
189     1.130502e-08     2.692212e-06     1.000000e+00     5.410731e-12   
190     1.130502e-08     2.692211e-06     1.000000e+00     5.410733e-12   
191     1.130502e-08     2.692210e-06     1.000000e+00     5.410728e-12   
192     1.130502e-08     2.692209e-06     1.000000e+00     5.410729e-12   
193     1.130502e-08     2.692209e-06     1.000000e+00     5.410725e-12   
194     1.130502e-08     2.692208e-06     1.000000e+00     5.410726e-12   
195     1.130502e-08     2.692207e-06     1.000000e+00     5.410721e-12   
196     1.130502e-08     2.692206e-06     1.000000e+00     5.410724e-12   
197     1.130502e-08     2.692206e-06     1.000000e+00     5.410718e-12   
198     1.130502e-08     2.692205e-06     1.000000e+00     5.410721e-12   
199     1.130502e-08     2.692204e-06     1.000000e+00     5.410716e-12   
200     1.130502e-08     2.692203e-06     1.000000e+00     5.410719e-12   
