NewtonCholesky with backtrack line search.

CUTEst problem................: GULF
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 13500
Line search iterations..................: 14
Number of objective function evaluations: 1014
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.247796
Subproblem time in seconds..............: 0.002503
Line search time in seconds.............: 0.057672
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       7.576725e+00     3.973160e+01     2.500000e-01     9.280218e+00   
2       7.466668e+00     1.199960e+01     1.000000e+00     3.111803e-01   
3       7.453363e+00     1.303002e+00     1.000000e+00     7.408943e-02   
4       7.451845e+00     3.887037e+00     1.000000e+00     5.158488e-03   
5       7.450289e+00     3.957326e+00     1.000000e+00     3.144050e-03   
6       7.448733e+00     3.951971e+00     1.000000e+00     3.289329e-03   
7       7.447175e+00     3.951709e+00     1.000000e+00     3.289177e-03   
8       7.445614e+00     3.951085e+00     1.000000e+00     3.299363e-03   
9       7.444052e+00     3.950485e+00     1.000000e+00     3.308877e-03   
10      7.442486e+00     3.949881e+00     1.000000e+00     3.318498e-03   
11      7.440919e+00     3.949276e+00     1.000000e+00     3.328172e-03   
12      7.439349e+00     3.948668e+00     1.000000e+00     3.337903e-03   
13      7.437777e+00     3.948059e+00     1.000000e+00     3.347691e-03   
14      7.436203e+00     3.947448e+00     1.000000e+00     3.357537e-03   
15      7.434626e+00     3.946836e+00     1.000000e+00     3.367442e-03   
16      7.433047e+00     3.946221e+00     1.000000e+00     3.377405e-03   
17      7.431465e+00     3.945605e+00     1.000000e+00     3.387427e-03   
18      7.429881e+00     3.944987e+00     1.000000e+00     3.397510e-03   
19      7.428294e+00     3.944367e+00     1.000000e+00     3.407652e-03   
20      7.426705e+00     3.943745e+00     1.000000e+00     3.417856e-03   
21      7.425114e+00     3.943121e+00     1.000000e+00     3.428121e-03   
22      7.423520e+00     3.942495e+00     1.000000e+00     3.438448e-03   
23      7.421924e+00     3.941867e+00     1.000000e+00     3.448838e-03   
24      7.420325e+00     3.941237e+00     1.000000e+00     3.459291e-03   
25      7.418723e+00     3.940606e+00     1.000000e+00     3.469807e-03   
26      7.417119e+00     3.939972e+00     1.000000e+00     3.480388e-03   
27      7.415513e+00     3.939336e+00     1.000000e+00     3.491034e-03   
28      7.413903e+00     3.938699e+00     1.000000e+00     3.501745e-03   
29      7.412292e+00     3.938059e+00     1.000000e+00     3.512523e-03   
30      7.410677e+00     3.937417e+00     1.000000e+00     3.523367e-03   
31      7.409060e+00     3.936773e+00     1.000000e+00     3.534279e-03   
32      7.407441e+00     3.936127e+00     1.000000e+00     3.545258e-03   
33      7.405819e+00     3.935479e+00     1.000000e+00     3.556306e-03   
34      7.404194e+00     3.934829e+00     1.000000e+00     3.567424e-03   
35      7.402566e+00     3.934177e+00     1.000000e+00     3.578611e-03   
36      7.400936e+00     3.933523e+00     1.000000e+00     3.589869e-03   
37      7.399303e+00     3.932866e+00     1.000000e+00     3.601198e-03   
38      7.397667e+00     3.932208e+00     1.000000e+00     3.612599e-03   
39      7.396029e+00     3.931547e+00     1.000000e+00     3.624072e-03   
40      7.394388e+00     3.930884e+00     1.000000e+00     3.635619e-03   
41      7.392744e+00     3.930219e+00     1.000000e+00     3.647240e-03   
42      7.391097e+00     3.929551e+00     1.000000e+00     3.658936e-03   
43      7.389447e+00     3.928882e+00     1.000000e+00     3.670706e-03   
44      7.387795e+00     3.928210e+00     1.000000e+00     3.682553e-03   
45      7.386139e+00     3.927535e+00     1.000000e+00     3.694477e-03   
46      7.384481e+00     3.926859e+00     1.000000e+00     3.706479e-03   
47      7.382820e+00     3.926180e+00     1.000000e+00     3.718559e-03   
48      7.381156e+00     3.925499e+00     1.000000e+00     3.730718e-03   
49      7.379489e+00     3.924815e+00     1.000000e+00     3.742957e-03   
50      7.377820e+00     3.924129e+00     1.000000e+00     3.755277e-03   
51      7.376147e+00     3.923441e+00     1.000000e+00     3.767678e-03   
52      7.374471e+00     3.922750e+00     1.000000e+00     3.780161e-03   
53      7.372792e+00     3.922057e+00     1.000000e+00     3.792728e-03   
54      7.371111e+00     3.921361e+00     1.000000e+00     3.805379e-03   
55      7.369426e+00     3.920663e+00     1.000000e+00     3.818114e-03   
56      7.367738e+00     3.919962e+00     1.000000e+00     3.830936e-03   
57      7.366047e+00     3.919259e+00     1.000000e+00     3.843843e-03   
58      7.364353e+00     3.918553e+00     1.000000e+00     3.856838e-03   
59      7.362656e+00     3.917845e+00     1.000000e+00     3.869922e-03   
60      7.360956e+00     3.917134e+00     1.000000e+00     3.883094e-03   
61      7.359252e+00     3.916421e+00     1.000000e+00     3.896357e-03   
62      7.357546e+00     3.915705e+00     1.000000e+00     3.909711e-03   
63      7.355836e+00     3.914986e+00     1.000000e+00     3.923156e-03   
64      7.354123e+00     3.914265e+00     1.000000e+00     3.936695e-03   
65      7.352407e+00     3.913541e+00     1.000000e+00     3.950327e-03   
66      7.350687e+00     3.912814e+00     1.000000e+00     3.964055e-03   
67      7.348965e+00     3.912084e+00     1.000000e+00     3.977878e-03   
68      7.347239e+00     3.911352e+00     1.000000e+00     3.991798e-03   
69      7.345509e+00     3.910617e+00     1.000000e+00     4.005816e-03   
70      7.343776e+00     3.909879e+00     1.000000e+00     4.019933e-03   
71      7.342040e+00     3.909138e+00     1.000000e+00     4.034149e-03   
72      7.340301e+00     3.908395e+00     1.000000e+00     4.048467e-03   
73      7.338558e+00     3.907648e+00     1.000000e+00     4.062887e-03   
74      7.336812e+00     3.906899e+00     1.000000e+00     4.077410e-03   
75      7.335062e+00     3.906147e+00     1.000000e+00     4.092037e-03   
76      7.333309e+00     3.905391e+00     1.000000e+00     4.106770e-03   
77      7.331552e+00     3.904633e+00     1.000000e+00     4.121609e-03   
78      7.329792e+00     3.903872e+00     1.000000e+00     4.136556e-03   
79      7.328028e+00     3.903108e+00     1.000000e+00     4.151611e-03   
80      7.326260e+00     3.902340e+00     1.000000e+00     4.166777e-03   
81      7.324489e+00     3.901570e+00     1.000000e+00     4.182054e-03   
82      7.322715e+00     3.900796e+00     1.000000e+00     4.197444e-03   
83      7.320936e+00     3.900020e+00     1.000000e+00     4.212947e-03   
84      7.319154e+00     3.899240e+00     1.000000e+00     4.228565e-03   
85      7.317369e+00     3.898457e+00     1.000000e+00     4.244300e-03   
86      7.315579e+00     3.897670e+00     1.000000e+00     4.260152e-03   
87      7.313786e+00     3.896881e+00     1.000000e+00     4.276123e-03   
88      7.311989e+00     3.896088e+00     1.000000e+00     4.292214e-03   
89      7.310188e+00     3.895292e+00     1.000000e+00     4.308426e-03   
90      7.308384e+00     3.894492e+00     1.000000e+00     4.324762e-03   
91      7.306575e+00     3.893689e+00     1.000000e+00     4.341222e-03   
92      7.304763e+00     3.892883e+00     1.000000e+00     4.357808e-03   
93      7.302946e+00     3.892073e+00     1.000000e+00     4.374521e-03   
94      7.301126e+00     3.891260e+00     1.000000e+00     4.391362e-03   
95      7.299302e+00     3.890443e+00     1.000000e+00     4.408334e-03   
96      7.297474e+00     3.889622e+00     1.000000e+00     4.425438e-03   
97      7.295642e+00     3.888798e+00     1.000000e+00     4.442674e-03   
98      7.293805e+00     3.887971e+00     1.000000e+00     4.460045e-03   
99      7.291965e+00     3.887140e+00     1.000000e+00     4.477553e-03   
100     7.290120e+00     3.886305e+00     1.000000e+00     4.495199e-03   
101     7.288272e+00     3.885466e+00     1.000000e+00     4.512984e-03   
102     7.286419e+00     3.884624e+00     1.000000e+00     4.530910e-03   
103     7.284562e+00     3.883778e+00     1.000000e+00     4.548979e-03   
104     7.282700e+00     3.882928e+00     1.000000e+00     4.567193e-03   
105     7.280835e+00     3.882074e+00     1.000000e+00     4.585553e-03   
106     7.278965e+00     3.881216e+00     1.000000e+00     4.604061e-03   
107     7.277091e+00     3.880354e+00     1.000000e+00     4.622719e-03   
108     7.275212e+00     3.879488e+00     1.000000e+00     4.641529e-03   
109     7.273329e+00     3.878619e+00     1.000000e+00     4.660492e-03   
110     7.271441e+00     3.877745e+00     1.000000e+00     4.679611e-03   
111     7.269549e+00     3.876867e+00     1.000000e+00     4.698887e-03   
112     7.267653e+00     3.875985e+00     1.000000e+00     4.718322e-03   
113     7.265752e+00     3.875098e+00     1.000000e+00     4.737919e-03   
114     7.263846e+00     3.874208e+00     1.000000e+00     4.757678e-03   
115     7.261936e+00     3.873313e+00     1.000000e+00     4.777603e-03   
116     7.260021e+00     3.872414e+00     1.000000e+00     4.797696e-03   
117     7.258102e+00     3.871510e+00     1.000000e+00     4.817957e-03   
118     7.256177e+00     3.870602e+00     1.000000e+00     4.838391e-03   
119     7.254248e+00     3.869690e+00     1.000000e+00     4.858998e-03   
120     7.252314e+00     3.868773e+00     1.000000e+00     4.879781e-03   
121     7.250376e+00     3.867852e+00     1.000000e+00     4.900742e-03   
122     7.248432e+00     3.866926e+00     1.000000e+00     4.921884e-03   
123     7.246484e+00     3.865995e+00     1.000000e+00     4.943208e-03   
124     7.244530e+00     3.865059e+00     1.000000e+00     4.964718e-03   
125     7.242572e+00     3.864119e+00     1.000000e+00     4.986415e-03   
126     7.240608e+00     3.863174e+00     1.000000e+00     5.008303e-03   
127     7.238640e+00     3.862224e+00     1.000000e+00     5.030383e-03   
128     7.236666e+00     3.861269e+00     1.000000e+00     5.052658e-03   
129     7.234687e+00     3.860310e+00     1.000000e+00     5.075130e-03   
130     7.232703e+00     3.859345e+00     1.000000e+00     5.097803e-03   
131     7.230714e+00     3.858375e+00     1.000000e+00     5.120679e-03   
132     7.228719e+00     3.857400e+00     1.000000e+00     5.143760e-03   
133     7.226719e+00     3.856420e+00     1.000000e+00     5.167050e-03   
134     7.224714e+00     3.855434e+00     1.000000e+00     5.190551e-03   
135     7.222703e+00     3.854444e+00     1.000000e+00     5.214267e-03   
136     7.220687e+00     3.853448e+00     1.000000e+00     5.238199e-03   
137     7.218665e+00     3.852446e+00     1.000000e+00     5.262351e-03   
138     7.216638e+00     3.851439e+00     1.000000e+00     5.286726e-03   
139     7.214605e+00     3.850426e+00     1.000000e+00     5.311328e-03   
140     7.212566e+00     3.849408e+00     1.000000e+00     5.336158e-03   
141     7.210522e+00     3.848384e+00     1.000000e+00     5.361221e-03   
142     7.208472e+00     3.847355e+00     1.000000e+00     5.386520e-03   
143     7.206416e+00     3.846319e+00     1.000000e+00     5.412057e-03   
144     7.204355e+00     3.845278e+00     1.000000e+00     5.437837e-03   
145     7.202287e+00     3.844230e+00     1.000000e+00     5.463863e-03   
146     7.200213e+00     3.843177e+00     1.000000e+00     5.490138e-03   
147     7.198134e+00     3.842118e+00     1.000000e+00     5.516666e-03   
148     7.196048e+00     3.841052e+00     1.000000e+00     5.543450e-03   
149     7.193956e+00     3.839980e+00     1.000000e+00     5.570494e-03   
150     7.191858e+00     3.838902e+00     1.000000e+00     5.597803e-03   
151     7.189754e+00     3.837817e+00     1.000000e+00     5.625379e-03   
152     7.187644e+00     3.836726e+00     1.000000e+00     5.653227e-03   
153     7.185527e+00     3.835628e+00     1.000000e+00     5.681351e-03   
154     7.183404e+00     3.834524e+00     1.000000e+00     5.709754e-03   
155     7.181274e+00     3.833413e+00     1.000000e+00     5.738441e-03   
156     7.179138e+00     3.832295e+00     1.000000e+00     5.767417e-03   
157     7.176995e+00     3.831171e+00     1.000000e+00     5.796685e-03   
158     7.174845e+00     3.830039e+00     1.000000e+00     5.826250e-03   
159     7.172689e+00     3.828900e+00     1.000000e+00     5.856116e-03   
160     7.170526e+00     3.827754e+00     1.000000e+00     5.886288e-03   
161     7.168356e+00     3.826601e+00     1.000000e+00     5.916771e-03   
162     7.166180e+00     3.825440e+00     1.000000e+00     5.947569e-03   
163     7.163996e+00     3.824272e+00     1.000000e+00     5.978688e-03   
164     7.161805e+00     3.823097e+00     1.000000e+00     6.010131e-03   
165     7.159608e+00     3.821914e+00     1.000000e+00     6.041905e-03   
166     7.157403e+00     3.820723e+00     1.000000e+00     6.074015e-03   
167     7.155191e+00     3.819524e+00     1.000000e+00     6.106465e-03   
168     7.152971e+00     3.818318e+00     1.000000e+00     6.139261e-03   
169     7.150744e+00     3.817103e+00     1.000000e+00     6.172409e-03   
170     7.148510e+00     3.815880e+00     1.000000e+00     6.205915e-03   
171     7.146268e+00     3.814649e+00     1.000000e+00     6.239783e-03   
172     7.144019e+00     3.813409e+00     1.000000e+00     6.274020e-03   
173     7.141761e+00     3.812161e+00     1.000000e+00     6.308632e-03   
174     7.139497e+00     3.810905e+00     1.000000e+00     6.343624e-03   
175     7.137224e+00     3.809639e+00     1.000000e+00     6.379004e-03   
176     7.134943e+00     3.808365e+00     1.000000e+00     6.414777e-03   
177     7.132655e+00     3.807082e+00     1.000000e+00     6.450951e-03   
178     7.130358e+00     3.805790e+00     1.000000e+00     6.487531e-03   
179     7.128053e+00     3.804488e+00     1.000000e+00     6.524524e-03   
180     7.125740e+00     3.803177e+00     1.000000e+00     6.561938e-03   
181     7.123419e+00     3.801857e+00     1.000000e+00     6.599779e-03   
182     7.121089e+00     3.800527e+00     1.000000e+00     6.638055e-03   
183     7.118750e+00     3.799187e+00     1.000000e+00     6.676774e-03   
184     7.116403e+00     3.797837e+00     1.000000e+00     6.715942e-03   
185     7.114048e+00     3.796478e+00     1.000000e+00     6.755567e-03   
186     7.111683e+00     3.795108e+00     1.000000e+00     6.795658e-03   
187     7.109310e+00     3.793727e+00     1.000000e+00     6.836223e-03   
188     7.106928e+00     3.792337e+00     1.000000e+00     6.877269e-03   
189     7.104537e+00     3.790935e+00     1.000000e+00     6.918806e-03   
190     7.102136e+00     3.789523e+00     1.000000e+00     6.960842e-03   
191     7.099726e+00     3.788100e+00     1.000000e+00     7.003386e-03   
192     7.097307e+00     3.786665e+00     1.000000e+00     7.046446e-03   
193     7.094879e+00     3.785220e+00     1.000000e+00     7.090034e-03   
194     7.092440e+00     3.783762e+00     1.000000e+00     7.134157e-03   
195     7.089993e+00     3.782293e+00     1.000000e+00     7.178825e-03   
196     7.087535e+00     3.780813e+00     1.000000e+00     7.224050e-03   
197     7.085067e+00     3.779320e+00     1.000000e+00     7.269840e-03   
198     7.082590e+00     3.777815e+00     1.000000e+00     7.316206e-03   
199     7.080102e+00     3.776297e+00     1.000000e+00     7.363160e-03   
200     7.077604e+00     3.774767e+00     1.000000e+00     7.410712e-03   
201     7.075096e+00     3.773224e+00     1.000000e+00     7.458873e-03   
202     7.072577e+00     3.771668e+00     1.000000e+00     7.507655e-03   
203     7.070048e+00     3.770099e+00     1.000000e+00     7.557070e-03   
204     7.067508e+00     3.768516e+00     1.000000e+00     7.607129e-03   
205     7.064957e+00     3.766920e+00     1.000000e+00     7.657846e-03   
206     7.062395e+00     3.765310e+00     1.000000e+00     7.709233e-03   
207     7.059821e+00     3.763685e+00     1.000000e+00     7.761303e-03   
208     7.057237e+00     3.762047e+00     1.000000e+00     7.814070e-03   
209     7.054641e+00     3.760393e+00     1.000000e+00     7.867547e-03   
210     7.052034e+00     3.758725e+00     1.000000e+00     7.921748e-03   
211     7.049415e+00     3.757042e+00     1.000000e+00     7.976688e-03   
212     7.046784e+00     3.755343e+00     1.000000e+00     8.032382e-03   
213     7.044141e+00     3.753628e+00     1.000000e+00     8.088844e-03   
214     7.041486e+00     3.751898e+00     1.000000e+00     8.146092e-03   
215     7.038819e+00     3.750152e+00     1.000000e+00     8.204140e-03   
216     7.036139e+00     3.748389e+00     1.000000e+00     8.263005e-03   
