NewtonCholesky with backtrack line search.

CUTEst problem................: HELIX
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 13500
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.009901
Subproblem time in seconds..............: 0.001740
Line search time in seconds.............: 0.002187
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
2       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
3       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
4       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
5       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
6       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
7       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
8       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
9       2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
10      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
11      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
12      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
13      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
14      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
15      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
16      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
17      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
18      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
19      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
20      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
21      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
22      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
23      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
24      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
25      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
26      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
27      2.500000e+03     1.879635e+03     1.000000e+00     1.108169e-08   
28      2.499999e+03     1.879635e+03     1.000000e+00     1.108169e-08   
29      2.499999e+03     1.879635e+03     1.000000e+00     1.108169e-08   
30      2.499999e+03     1.879635e+03     1.000000e+00     1.108169e-08   
31      2.499999e+03     1.879635e+03     1.000000e+00     1.108169e-08   
32      2.499999e+03     1.879635e+03     1.000000e+00     1.108169e-08   
33      2.499999e+03     1.879635e+03     1.000000e+00     1.108169e-08   
34      2.499999e+03     1.879635e+03     1.000000e+00     1.108169e-08   
35      2.499999e+03     1.879635e+03     1.000000e+00     1.108168e-08   
36      2.499999e+03     1.879635e+03     1.000000e+00     1.108168e-08   
37      2.499999e+03     1.879635e+03     1.000000e+00     1.108168e-08   
