NewtonCholesky with backtrack line search.

CUTEst problem................: JENSMP
Number of variables...........: 2
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 2
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 8000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.021197
Subproblem time in seconds..............: 0.001406
Line search time in seconds.............: 0.004610
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       2.591171e+03     9.370882e+04     1.000000e+00     7.300335e-02   
2       1.916435e+03     6.946171e+04     1.000000e+00     8.073131e-02   
3       1.636263e+03     5.801218e+04     1.000000e+00     8.766464e-02   
4       1.526466e+03     5.258893e+04     1.000000e+00     9.158836e-02   
5       1.486538e+03     5.012706e+04     1.000000e+00     9.105894e-02   
6       1.473370e+03     4.905245e+04     1.000000e+00     8.495145e-02   
7       1.469697e+03     4.859056e+04     1.000000e+00     7.122581e-02   
8       1.468977e+03     4.839303e+04     1.000000e+00     4.780860e-02   
9       1.468913e+03     4.831289e+04     1.000000e+00     1.949998e-02   
10      1.468910e+03     4.828816e+04     1.000000e+00     2.754680e-03   
11      1.468908e+03     4.828492e+04     1.000000e+00     4.895028e-05   
12      1.468906e+03     4.828482e+04     1.000000e+00     1.690530e-07   
13      1.468905e+03     4.828476e+04     1.000000e+00     1.840057e-07   
14      1.468903e+03     4.828471e+04     1.000000e+00     1.840051e-07   
15      1.468901e+03     4.828466e+04     1.000000e+00     1.840045e-07   
16      1.468899e+03     4.828461e+04     1.000000e+00     1.840039e-07   
17      1.468898e+03     4.828456e+04     1.000000e+00     1.840034e-07   
18      1.468896e+03     4.828451e+04     1.000000e+00     1.840028e-07   
19      1.468894e+03     4.828446e+04     1.000000e+00     1.840023e-07   
20      1.468892e+03     4.828440e+04     1.000000e+00     1.840017e-07   
21      1.468890e+03     4.828435e+04     1.000000e+00     1.840011e-07   
22      1.468889e+03     4.828430e+04     1.000000e+00     1.840006e-07   
23      1.468887e+03     4.828425e+04     1.000000e+00     1.840000e-07   
24      1.468885e+03     4.828420e+04     1.000000e+00     1.839994e-07   
25      1.468883e+03     4.828415e+04     1.000000e+00     1.839989e-07   
26      1.468881e+03     4.828409e+04     1.000000e+00     1.839983e-07   
27      1.468880e+03     4.828404e+04     1.000000e+00     1.839977e-07   
28      1.468878e+03     4.828399e+04     1.000000e+00     1.839972e-07   
29      1.468876e+03     4.828394e+04     1.000000e+00     1.839966e-07   
30      1.468874e+03     4.828389e+04     1.000000e+00     1.839960e-07   
31      1.468873e+03     4.828384e+04     1.000000e+00     1.839955e-07   
32      1.468871e+03     4.828378e+04     1.000000e+00     1.839949e-07   
33      1.468869e+03     4.828373e+04     1.000000e+00     1.839943e-07   
34      1.468867e+03     4.828368e+04     1.000000e+00     1.839938e-07   
35      1.468865e+03     4.828363e+04     1.000000e+00     1.839932e-07   
36      1.468864e+03     4.828358e+04     1.000000e+00     1.839926e-07   
37      1.468862e+03     4.828353e+04     1.000000e+00     1.839921e-07   
38      1.468860e+03     4.828348e+04     1.000000e+00     1.839915e-07   
39      1.468858e+03     4.828342e+04     1.000000e+00     1.839909e-07   
40      1.468856e+03     4.828337e+04     1.000000e+00     1.839904e-07   
41      1.468855e+03     4.828332e+04     1.000000e+00     1.839898e-07   
42      1.468853e+03     4.828327e+04     1.000000e+00     1.839892e-07   
43      1.468851e+03     4.828322e+04     1.000000e+00     1.839887e-07   
44      1.468849e+03     4.828317e+04     1.000000e+00     1.839881e-07   
45      1.468848e+03     4.828311e+04     1.000000e+00     1.839876e-07   
46      1.468846e+03     4.828306e+04     1.000000e+00     1.839870e-07   
47      1.468844e+03     4.828301e+04     1.000000e+00     1.839864e-07   
48      1.468842e+03     4.828296e+04     1.000000e+00     1.839859e-07   
49      1.468840e+03     4.828291e+04     1.000000e+00     1.839853e-07   
50      1.468839e+03     4.828286e+04     1.000000e+00     1.839847e-07   
51      1.468837e+03     4.828281e+04     1.000000e+00     1.839842e-07   
52      1.468835e+03     4.828275e+04     1.000000e+00     1.839836e-07   
53      1.468833e+03     4.828270e+04     1.000000e+00     1.839830e-07   
54      1.468831e+03     4.828265e+04     1.000000e+00     1.839825e-07   
55      1.468830e+03     4.828260e+04     1.000000e+00     1.839819e-07   
56      1.468828e+03     4.828255e+04     1.000000e+00     1.839813e-07   
57      1.468826e+03     4.828250e+04     1.000000e+00     1.839808e-07   
58      1.468824e+03     4.828244e+04     1.000000e+00     1.839802e-07   
59      1.468823e+03     4.828239e+04     1.000000e+00     1.839796e-07   
60      1.468821e+03     4.828234e+04     1.000000e+00     1.839791e-07   
61      1.468819e+03     4.828229e+04     1.000000e+00     1.839785e-07   
62      1.468817e+03     4.828224e+04     1.000000e+00     1.839779e-07   
63      1.468815e+03     4.828219e+04     1.000000e+00     1.839774e-07   
64      1.468814e+03     4.828214e+04     1.000000e+00     1.839768e-07   
65      1.468812e+03     4.828208e+04     1.000000e+00     1.839762e-07   
66      1.468810e+03     4.828203e+04     1.000000e+00     1.839757e-07   
67      1.468808e+03     4.828198e+04     1.000000e+00     1.839751e-07   
68      1.468807e+03     4.828193e+04     1.000000e+00     1.839746e-07   
69      1.468805e+03     4.828188e+04     1.000000e+00     1.839740e-07   
70      1.468803e+03     4.828183e+04     1.000000e+00     1.839734e-07   
71      1.468801e+03     4.828177e+04     1.000000e+00     1.839729e-07   
72      1.468799e+03     4.828172e+04     1.000000e+00     1.839723e-07   
73      1.468798e+03     4.828167e+04     1.000000e+00     1.839717e-07   
74      1.468796e+03     4.828162e+04     1.000000e+00     1.839712e-07   
75      1.468794e+03     4.828157e+04     1.000000e+00     1.839706e-07   
76      1.468792e+03     4.828152e+04     1.000000e+00     1.839700e-07   
77      1.468790e+03     4.828147e+04     1.000000e+00     1.839695e-07   
78      1.468789e+03     4.828141e+04     1.000000e+00     1.839689e-07   
79      1.468787e+03     4.828136e+04     1.000000e+00     1.839683e-07   
80      1.468785e+03     4.828131e+04     1.000000e+00     1.839678e-07   
81      1.468783e+03     4.828126e+04     1.000000e+00     1.839672e-07   
82      1.468782e+03     4.828121e+04     1.000000e+00     1.839666e-07   
83      1.468780e+03     4.828116e+04     1.000000e+00     1.839661e-07   
84      1.468778e+03     4.828110e+04     1.000000e+00     1.839655e-07   
85      1.468776e+03     4.828105e+04     1.000000e+00     1.839649e-07   
86      1.468774e+03     4.828100e+04     1.000000e+00     1.839644e-07   
87      1.468773e+03     4.828095e+04     1.000000e+00     1.839638e-07   
88      1.468771e+03     4.828090e+04     1.000000e+00     1.839633e-07   
89      1.468769e+03     4.828085e+04     1.000000e+00     1.839627e-07   
90      1.468767e+03     4.828080e+04     1.000000e+00     1.839621e-07   
91      1.468765e+03     4.828074e+04     1.000000e+00     1.839616e-07   
92      1.468764e+03     4.828069e+04     1.000000e+00     1.839610e-07   
93      1.468762e+03     4.828064e+04     1.000000e+00     1.839604e-07   
94      1.468760e+03     4.828059e+04     1.000000e+00     1.839599e-07   
95      1.468758e+03     4.828054e+04     1.000000e+00     1.839593e-07   
96      1.468757e+03     4.828049e+04     1.000000e+00     1.839587e-07   
97      1.468755e+03     4.828043e+04     1.000000e+00     1.839582e-07   
98      1.468753e+03     4.828038e+04     1.000000e+00     1.839576e-07   
99      1.468751e+03     4.828033e+04     1.000000e+00     1.839570e-07   
100     1.468749e+03     4.828028e+04     1.000000e+00     1.839565e-07   
101     1.468748e+03     4.828023e+04     1.000000e+00     1.839559e-07   
102     1.468746e+03     4.828018e+04     1.000000e+00     1.839553e-07   
103     1.468744e+03     4.828013e+04     1.000000e+00     1.839548e-07   
104     1.468742e+03     4.828007e+04     1.000000e+00     1.839542e-07   
105     1.468741e+03     4.828002e+04     1.000000e+00     1.839536e-07   
106     1.468739e+03     4.827997e+04     1.000000e+00     1.839531e-07   
107     1.468737e+03     4.827992e+04     1.000000e+00     1.839525e-07   
108     1.468735e+03     4.827987e+04     1.000000e+00     1.839520e-07   
109     1.468733e+03     4.827982e+04     1.000000e+00     1.839514e-07   
110     1.468732e+03     4.827976e+04     1.000000e+00     1.839508e-07   
111     1.468730e+03     4.827971e+04     1.000000e+00     1.839503e-07   
112     1.468728e+03     4.827966e+04     1.000000e+00     1.839497e-07   
113     1.468726e+03     4.827961e+04     1.000000e+00     1.839491e-07   
114     1.468724e+03     4.827956e+04     1.000000e+00     1.839486e-07   
115     1.468723e+03     4.827951e+04     1.000000e+00     1.839480e-07   
116     1.468721e+03     4.827946e+04     1.000000e+00     1.839474e-07   
117     1.468719e+03     4.827940e+04     1.000000e+00     1.839469e-07   
118     1.468717e+03     4.827935e+04     1.000000e+00     1.839463e-07   
119     1.468716e+03     4.827930e+04     1.000000e+00     1.839457e-07   
120     1.468714e+03     4.827925e+04     1.000000e+00     1.839452e-07   
121     1.468712e+03     4.827920e+04     1.000000e+00     1.839446e-07   
122     1.468710e+03     4.827915e+04     1.000000e+00     1.839440e-07   
123     1.468708e+03     4.827909e+04     1.000000e+00     1.839435e-07   
124     1.468707e+03     4.827904e+04     1.000000e+00     1.839429e-07   
125     1.468705e+03     4.827899e+04     1.000000e+00     1.839423e-07   
126     1.468703e+03     4.827894e+04     1.000000e+00     1.839418e-07   
127     1.468701e+03     4.827889e+04     1.000000e+00     1.839412e-07   
128     1.468699e+03     4.827884e+04     1.000000e+00     1.839407e-07   
129     1.468698e+03     4.827879e+04     1.000000e+00     1.839401e-07   
130     1.468696e+03     4.827873e+04     1.000000e+00     1.839395e-07   
131     1.468694e+03     4.827868e+04     1.000000e+00     1.839390e-07   
132     1.468692e+03     4.827863e+04     1.000000e+00     1.839384e-07   
