NewtonCholesky with backtrack line search.

CUTEst problem................: KOWOSB
Number of variables...........: 4
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 4
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 20000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.028435
Subproblem time in seconds..............: 0.002562
Line search time in seconds.............: 0.004212
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       3.748054e-03     1.343421e-01     1.000000e+00     2.365858e-02   
2       2.525592e-03     2.936373e-02     1.000000e+00     5.814183e-02   
3       2.420409e-03     3.661375e-02     1.000000e+00     5.192020e-03   
4       2.319715e-03     2.588114e-02     1.000000e+00     4.809087e-03   
5       2.250867e-03     2.533424e-02     1.000000e+00     3.318463e-03   
6       2.192446e-03     2.511456e-02     1.000000e+00     2.839975e-03   
7       2.142374e-03     2.489224e-02     1.000000e+00     2.453205e-03   
8       2.098438e-03     2.469529e-02     1.000000e+00     2.167901e-03   
9       2.059259e-03     2.451436e-02     1.000000e+00     1.945785e-03   
10      2.023883e-03     2.434659e-02     1.000000e+00     1.767736e-03   
11      1.991618e-03     2.418970e-02     1.000000e+00     1.621542e-03   
12      1.961952e-03     2.404201e-02     1.000000e+00     1.499164e-03   
13      1.934488e-03     2.390222e-02     1.000000e+00     1.395083e-03   
14      1.908919e-03     2.376934e-02     1.000000e+00     1.305379e-03   
15      1.884996e-03     2.364253e-02     1.000000e+00     1.227191e-03   
16      1.862520e-03     2.352114e-02     1.000000e+00     1.158379e-03   
17      1.841323e-03     2.340459e-02     1.000000e+00     1.097306e-03   
18      1.821269e-03     2.329242e-02     1.000000e+00     1.042703e-03   
19      1.802240e-03     2.318424e-02     1.000000e+00     9.935671e-04   
20      1.784138e-03     2.307970e-02     1.000000e+00     9.490940e-04   
21      1.766876e-03     2.297850e-02     1.000000e+00     9.086328e-04   
22      1.750381e-03     2.288038e-02     1.000000e+00     8.716497e-04   
23      1.734589e-03     2.278512e-02     1.000000e+00     8.377032e-04   
24      1.719444e-03     2.269250e-02     1.000000e+00     8.064242e-04   
25      1.704894e-03     2.260236e-02     1.000000e+00     7.775020e-04   
26      1.690897e-03     2.251453e-02     1.000000e+00     7.506731e-04   
27      1.677412e-03     2.242886e-02     1.000000e+00     7.257123e-04   
28      1.664405e-03     2.234523e-02     1.000000e+00     7.024262e-04   
29      1.651844e-03     2.226352e-02     1.000000e+00     6.806473e-04   
30      1.639700e-03     2.218362e-02     1.000000e+00     6.602303e-04   
31      1.627948e-03     2.210543e-02     1.000000e+00     6.410481e-04   
32      1.616563e-03     2.202886e-02     1.000000e+00     6.229893e-04   
33      1.605524e-03     2.195384e-02     1.000000e+00     6.059555e-04   
34      1.594812e-03     2.188028e-02     1.000000e+00     5.898597e-04   
35      1.584408e-03     2.180812e-02     1.000000e+00     5.746248e-04   
36      1.574297e-03     2.173729e-02     1.000000e+00     5.601817e-04   
37      1.564463e-03     2.166773e-02     1.000000e+00     5.464688e-04   
38      1.554891e-03     2.159939e-02     1.000000e+00     5.334309e-04   
39      1.545570e-03     2.153221e-02     1.000000e+00     5.210181e-04   
40      1.536486e-03     2.146614e-02     1.000000e+00     5.091855e-04   
41      1.527629e-03     2.140115e-02     1.000000e+00     4.978923e-04   
42      1.518988e-03     2.133719e-02     1.000000e+00     4.871018e-04   
43      1.510554e-03     2.127422e-02     1.000000e+00     4.767804e-04   
44      1.502317e-03     2.121220e-02     1.000000e+00     4.668973e-04   
45      1.494269e-03     2.115110e-02     1.000000e+00     4.574247e-04   
46      1.486402e-03     2.109088e-02     1.000000e+00     4.483369e-04   
47      1.478709e-03     2.103152e-02     1.000000e+00     4.396104e-04   
48      1.471182e-03     2.097298e-02     1.000000e+00     4.312237e-04   
49      1.463816e-03     2.091524e-02     1.000000e+00     4.231569e-04   
50      1.456603e-03     2.085826e-02     1.000000e+00     4.153916e-04   
51      1.449538e-03     2.080204e-02     1.000000e+00     4.079108e-04   
52      1.442615e-03     2.074654e-02     1.000000e+00     4.006990e-04   
53      1.435830e-03     2.069173e-02     1.000000e+00     3.937415e-04   
54      1.429177e-03     2.063761e-02     1.000000e+00     3.870248e-04   
55      1.422652e-03     2.058415e-02     1.000000e+00     3.805365e-04   
56      1.416249e-03     2.053132e-02     1.000000e+00     3.742648e-04   
57      1.409966e-03     2.047912e-02     1.000000e+00     3.681988e-04   
58      1.403798e-03     2.042752e-02     1.000000e+00     3.623284e-04   
59      1.397741e-03     2.037650e-02     1.000000e+00     3.566441e-04   
60      1.391791e-03     2.032606e-02     1.000000e+00     3.511370e-04   
61      1.385946e-03     2.027617e-02     1.000000e+00     3.457988e-04   
62      1.380201e-03     2.022683e-02     1.000000e+00     3.406217e-04   
63      1.374555e-03     2.017801e-02     1.000000e+00     3.355984e-04   
64      1.369003e-03     2.012970e-02     1.000000e+00     3.307220e-04   
65      1.363543e-03     2.008190e-02     1.000000e+00     3.259860e-04   
66      1.358172e-03     2.003458e-02     1.000000e+00     3.213843e-04   
67      1.352888e-03     1.998774e-02     1.000000e+00     3.169112e-04   
68      1.347688e-03     1.994136e-02     1.000000e+00     3.125613e-04   
69      1.342569e-03     1.989544e-02     1.000000e+00     3.083295e-04   
70      1.337530e-03     1.984997e-02     1.000000e+00     3.042110e-04   
71      1.332569e-03     1.980492e-02     1.000000e+00     3.002011e-04   
72      1.327682e-03     1.976030e-02     1.000000e+00     2.962955e-04   
73      1.322869e-03     1.971610e-02     1.000000e+00     2.924903e-04   
74      1.318126e-03     1.967230e-02     1.000000e+00     2.887814e-04   
75      1.313453e-03     1.962889e-02     1.000000e+00     2.851653e-04   
76      1.308848e-03     1.958588e-02     1.000000e+00     2.816383e-04   
77      1.304308e-03     1.954324e-02     1.000000e+00     2.781973e-04   
78      1.299833e-03     1.950097e-02     1.000000e+00     2.748390e-04   
79      1.295420e-03     1.945907e-02     1.000000e+00     2.715605e-04   
80      1.291068e-03     1.941753e-02     1.000000e+00     2.683589e-04   
81      1.286776e-03     1.937633e-02     1.000000e+00     2.652315e-04   
82      1.282541e-03     1.933548e-02     1.000000e+00     2.621757e-04   
83      1.278364e-03     1.929497e-02     1.000000e+00     2.591889e-04   
84      1.274242e-03     1.925478e-02     1.000000e+00     2.562690e-04   
85      1.270174e-03     1.921492e-02     1.000000e+00     2.534136e-04   
86      1.266158e-03     1.917537e-02     1.000000e+00     2.506206e-04   
87      1.262195e-03     1.913614e-02     1.000000e+00     2.478878e-04   
88      1.258282e-03     1.909721e-02     1.000000e+00     2.452135e-04   
89      1.254418e-03     1.905858e-02     1.000000e+00     2.425956e-04   
90      1.250602e-03     1.902024e-02     1.000000e+00     2.400324e-04   
91      1.246834e-03     1.898220e-02     1.000000e+00     2.375222e-04   
92      1.243112e-03     1.894444e-02     1.000000e+00     2.350633e-04   
93      1.239435e-03     1.890696e-02     1.000000e+00     2.326541e-04   
94      1.235803e-03     1.886975e-02     1.000000e+00     2.302931e-04   
95      1.232214e-03     1.883281e-02     1.000000e+00     2.279789e-04   
96      1.228667e-03     1.879614e-02     1.000000e+00     2.257101e-04   
97      1.225162e-03     1.875973e-02     1.000000e+00     2.234853e-04   
98      1.221697e-03     1.872358e-02     1.000000e+00     2.213033e-04   
99      1.218273e-03     1.868768e-02     1.000000e+00     2.191627e-04   
100     1.214887e-03     1.865202e-02     1.000000e+00     2.170625e-04   
101     1.211540e-03     1.861661e-02     1.000000e+00     2.150015e-04   
102     1.208231e-03     1.858145e-02     1.000000e+00     2.129785e-04   
103     1.204958e-03     1.854651e-02     1.000000e+00     2.109926e-04   
104     1.201722e-03     1.851182e-02     1.000000e+00     2.090426e-04   
