NewtonCholesky with backtrack line search.

CUTEst problem................: MEYER3
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 13500
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.024845
Subproblem time in seconds..............: 0.001862
Line search time in seconds.............: 0.004434
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       6.977343e+06     8.727669e+10     1.000000e+00     3.865021e-02   
2       6.977342e+06     1.023356e+06     1.000000e+00     1.067154e-07   
3       6.977342e+06     1.023354e+06     1.000000e+00     1.067152e-07   
4       6.977342e+06     1.023354e+06     1.000000e+00     1.067152e-07   
5       6.977342e+06     1.023354e+06     1.000000e+00     1.067152e-07   
6       6.977342e+06     1.023354e+06     1.000000e+00     1.067152e-07   
7       6.977342e+06     1.023354e+06     1.000000e+00     1.067152e-07   
8       6.977342e+06     1.023354e+06     1.000000e+00     1.067152e-07   
9       6.977342e+06     1.023354e+06     1.000000e+00     1.067152e-07   
10      6.977342e+06     1.023354e+06     1.000000e+00     1.067152e-07   
11      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
12      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
13      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
14      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
15      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
16      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
17      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
18      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
19      6.977341e+06     1.023354e+06     1.000000e+00     1.067152e-07   
20      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
21      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
22      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
23      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
24      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
25      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
26      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
27      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
28      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
29      6.977340e+06     1.023354e+06     1.000000e+00     1.067152e-07   
30      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
31      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
32      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
33      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
34      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
35      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
36      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
37      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
38      6.977339e+06     1.023354e+06     1.000000e+00     1.067152e-07   
39      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
40      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
41      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
42      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
43      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
44      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
45      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
46      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
47      6.977338e+06     1.023354e+06     1.000000e+00     1.067152e-07   
48      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
49      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
50      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
51      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
52      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
53      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
54      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
55      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
56      6.977337e+06     1.023354e+06     1.000000e+00     1.067152e-07   
57      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
58      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
59      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
60      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
61      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
62      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
63      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
64      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
65      6.977336e+06     1.023354e+06     1.000000e+00     1.067152e-07   
66      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
67      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
68      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
69      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
70      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
71      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
72      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
73      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
74      6.977335e+06     1.023354e+06     1.000000e+00     1.067152e-07   
75      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
76      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
77      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
78      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
79      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
80      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
81      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
82      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
83      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
84      6.977334e+06     1.023354e+06     1.000000e+00     1.067152e-07   
85      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
86      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
87      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
88      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
89      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
90      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
91      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
92      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
93      6.977333e+06     1.023354e+06     1.000000e+00     1.067152e-07   
94      6.977332e+06     1.023354e+06     1.000000e+00     1.067152e-07   
95      6.977332e+06     1.023353e+06     1.000000e+00     1.067152e-07   
96      6.977332e+06     1.023353e+06     1.000000e+00     1.067152e-07   
97      6.977332e+06     1.023353e+06     1.000000e+00     1.067152e-07   
98      6.977332e+06     1.023353e+06     1.000000e+00     1.067152e-07   
99      6.977332e+06     1.023353e+06     1.000000e+00     1.067152e-07   
100     6.977332e+06     1.023353e+06     1.000000e+00     1.067152e-07   
101     6.977332e+06     1.023353e+06     1.000000e+00     1.067152e-07   
102     6.977332e+06     1.023353e+06     1.000000e+00     1.067152e-07   
103     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
104     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
105     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
106     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
107     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
108     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
109     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
110     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
111     6.977331e+06     1.023353e+06     1.000000e+00     1.067152e-07   
112     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
113     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
114     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
115     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
116     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
117     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
118     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
119     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
120     6.977330e+06     1.023353e+06     1.000000e+00     1.067152e-07   
121     6.977329e+06     1.023353e+06     1.000000e+00     1.067152e-07   
122     6.977329e+06     1.023353e+06     1.000000e+00     1.067152e-07   
123     6.977329e+06     1.023353e+06     1.000000e+00     1.067151e-07   
124     6.977329e+06     1.023353e+06     1.000000e+00     1.067151e-07   
125     6.977329e+06     1.023353e+06     1.000000e+00     1.067151e-07   
126     6.977329e+06     1.023353e+06     1.000000e+00     1.067151e-07   
127     6.977329e+06     1.023353e+06     1.000000e+00     1.067151e-07   
128     6.977329e+06     1.023353e+06     1.000000e+00     1.067151e-07   
129     6.977329e+06     1.023353e+06     1.000000e+00     1.067151e-07   
130     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
131     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
132     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
133     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
134     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
135     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
136     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
137     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
138     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
139     6.977328e+06     1.023353e+06     1.000000e+00     1.067151e-07   
140     6.977327e+06     1.023353e+06     1.000000e+00     1.067151e-07   
141     6.977327e+06     1.023353e+06     1.000000e+00     1.067151e-07   
142     6.977327e+06     1.023353e+06     1.000000e+00     1.067151e-07   
143     6.977327e+06     1.023353e+06     1.000000e+00     1.067151e-07   
