NewtonCholesky with backtrack line search.

CUTEst problem................: MINMAXBD
Number of variables...........: 5
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 5
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 27500
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.024443
Subproblem time in seconds..............: 0.003275
Line search time in seconds.............: 0.004904
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       -9.999917e+07    1.000000e+00     1.000000e+00     1.000000e+08   
2       -1.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
3       -2.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
4       -3.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
5       -4.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
6       -5.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
7       -6.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
8       -7.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
9       -8.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
10      -9.999992e+08    1.000000e+00     1.000000e+00     1.000000e+08   
11      -1.099999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
12      -1.199999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
13      -1.299999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
14      -1.399999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
15      -1.499999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
16      -1.599999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
17      -1.699999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
18      -1.799999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
19      -1.899999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
20      -1.999999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
21      -2.099999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
22      -2.199999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
23      -2.299999e+09    1.000000e+00     1.000000e+00     1.000000e+08   
