NewtonCholesky with backtrack line search.

CUTEst problem................: OSBORNEA
Number of variables...........: 5
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 5
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 27500
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.074577
Subproblem time in seconds..............: 0.005290
Line search time in seconds.............: 0.012139
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       1.006327e-02     4.188115e+02     1.000000e+00     1.622720e-01   
2       1.006327e-02     6.584926e+00     1.000000e+00     2.066698e-06   
3       1.006326e-02     6.588575e+00     1.000000e+00     2.711707e-08   
4       1.006326e-02     6.588567e+00     1.000000e+00     2.714266e-08   
5       1.006326e-02     6.588559e+00     1.000000e+00     2.714262e-08   
6       1.006325e-02     6.588551e+00     1.000000e+00     2.714258e-08   
7       1.006325e-02     6.588544e+00     1.000000e+00     2.714254e-08   
8       1.006324e-02     6.588536e+00     1.000000e+00     2.714250e-08   
9       1.006324e-02     6.588528e+00     1.000000e+00     2.714246e-08   
10      1.006324e-02     6.588521e+00     1.000000e+00     2.714242e-08   
11      1.006323e-02     6.588513e+00     1.000000e+00     2.714238e-08   
12      1.006323e-02     6.588505e+00     1.000000e+00     2.714234e-08   
13      1.006322e-02     6.588497e+00     1.000000e+00     2.714230e-08   
14      1.006322e-02     6.588490e+00     1.000000e+00     2.714226e-08   
15      1.006322e-02     6.588482e+00     1.000000e+00     2.714222e-08   
16      1.006321e-02     6.588474e+00     1.000000e+00     2.714218e-08   
17      1.006321e-02     6.588466e+00     1.000000e+00     2.714215e-08   
18      1.006321e-02     6.588459e+00     1.000000e+00     2.714211e-08   
19      1.006320e-02     6.588451e+00     1.000000e+00     2.714207e-08   
20      1.006320e-02     6.588443e+00     1.000000e+00     2.714203e-08   
21      1.006319e-02     6.588436e+00     1.000000e+00     2.714199e-08   
22      1.006319e-02     6.588428e+00     1.000000e+00     2.714195e-08   
23      1.006319e-02     6.588420e+00     1.000000e+00     2.714191e-08   
24      1.006318e-02     6.588412e+00     1.000000e+00     2.714187e-08   
25      1.006318e-02     6.588405e+00     1.000000e+00     2.714183e-08   
26      1.006317e-02     6.588397e+00     1.000000e+00     2.714179e-08   
27      1.006317e-02     6.588389e+00     1.000000e+00     2.714175e-08   
28      1.006317e-02     6.588382e+00     1.000000e+00     2.714171e-08   
29      1.006316e-02     6.588374e+00     1.000000e+00     2.714167e-08   
30      1.006316e-02     6.588366e+00     1.000000e+00     2.714163e-08   
31      1.006315e-02     6.588358e+00     1.000000e+00     2.714159e-08   
32      1.006315e-02     6.588351e+00     1.000000e+00     2.714155e-08   
33      1.006315e-02     6.588343e+00     1.000000e+00     2.714151e-08   
34      1.006314e-02     6.588335e+00     1.000000e+00     2.714147e-08   
35      1.006314e-02     6.588327e+00     1.000000e+00     2.714143e-08   
36      1.006313e-02     6.588320e+00     1.000000e+00     2.714139e-08   
37      1.006313e-02     6.588312e+00     1.000000e+00     2.714135e-08   
38      1.006313e-02     6.588304e+00     1.000000e+00     2.714131e-08   
39      1.006312e-02     6.588297e+00     1.000000e+00     2.714128e-08   
40      1.006312e-02     6.588289e+00     1.000000e+00     2.714124e-08   
41      1.006312e-02     6.588281e+00     1.000000e+00     2.714120e-08   
42      1.006311e-02     6.588273e+00     1.000000e+00     2.714116e-08   
43      1.006311e-02     6.588266e+00     1.000000e+00     2.714112e-08   
44      1.006310e-02     6.588258e+00     1.000000e+00     2.714108e-08   
45      1.006310e-02     6.588250e+00     1.000000e+00     2.714104e-08   
46      1.006310e-02     6.588242e+00     1.000000e+00     2.714100e-08   
47      1.006309e-02     6.588235e+00     1.000000e+00     2.714096e-08   
48      1.006309e-02     6.588227e+00     1.000000e+00     2.714092e-08   
49      1.006308e-02     6.588219e+00     1.000000e+00     2.714088e-08   
50      1.006308e-02     6.588212e+00     1.000000e+00     2.714084e-08   
51      1.006308e-02     6.588204e+00     1.000000e+00     2.714080e-08   
52      1.006307e-02     6.588196e+00     1.000000e+00     2.714076e-08   
53      1.006307e-02     6.588188e+00     1.000000e+00     2.714072e-08   
54      1.006306e-02     6.588181e+00     1.000000e+00     2.714068e-08   
55      1.006306e-02     6.588173e+00     1.000000e+00     2.714064e-08   
56      1.006306e-02     6.588165e+00     1.000000e+00     2.714060e-08   
57      1.006305e-02     6.588158e+00     1.000000e+00     2.714056e-08   
58      1.006305e-02     6.588150e+00     1.000000e+00     2.714052e-08   
59      1.006304e-02     6.588142e+00     1.000000e+00     2.714048e-08   
60      1.006304e-02     6.588134e+00     1.000000e+00     2.714045e-08   
61      1.006304e-02     6.588127e+00     1.000000e+00     2.714041e-08   
62      1.006303e-02     6.588119e+00     1.000000e+00     2.714037e-08   
63      1.006303e-02     6.588111e+00     1.000000e+00     2.714033e-08   
64      1.006303e-02     6.588103e+00     1.000000e+00     2.714029e-08   
65      1.006302e-02     6.588096e+00     1.000000e+00     2.714025e-08   
66      1.006302e-02     6.588088e+00     1.000000e+00     2.714021e-08   
67      1.006301e-02     6.588080e+00     1.000000e+00     2.714017e-08   
68      1.006301e-02     6.588073e+00     1.000000e+00     2.714013e-08   
69      1.006301e-02     6.588065e+00     1.000000e+00     2.714009e-08   
70      1.006300e-02     6.588057e+00     1.000000e+00     2.714005e-08   
71      1.006300e-02     6.588049e+00     1.000000e+00     2.714001e-08   
72      1.006299e-02     6.588042e+00     1.000000e+00     2.713997e-08   
73      1.006299e-02     6.588034e+00     1.000000e+00     2.713993e-08   
74      1.006299e-02     6.588026e+00     1.000000e+00     2.713989e-08   
75      1.006298e-02     6.588018e+00     1.000000e+00     2.713985e-08   
76      1.006298e-02     6.588011e+00     1.000000e+00     2.713981e-08   
77      1.006297e-02     6.588003e+00     1.000000e+00     2.713977e-08   
78      1.006297e-02     6.587995e+00     1.000000e+00     2.713973e-08   
79      1.006297e-02     6.587988e+00     1.000000e+00     2.713969e-08   
80      1.006296e-02     6.587980e+00     1.000000e+00     2.713965e-08   
81      1.006296e-02     6.587972e+00     1.000000e+00     2.713961e-08   
82      1.006295e-02     6.587964e+00     1.000000e+00     2.713958e-08   
83      1.006295e-02     6.587957e+00     1.000000e+00     2.713954e-08   
84      1.006295e-02     6.587949e+00     1.000000e+00     2.713950e-08   
85      1.006294e-02     6.587941e+00     1.000000e+00     2.713946e-08   
86      1.006294e-02     6.587934e+00     1.000000e+00     2.713942e-08   
87      1.006294e-02     6.587926e+00     1.000000e+00     2.713938e-08   
88      1.006293e-02     6.587918e+00     1.000000e+00     2.713934e-08   
89      1.006293e-02     6.587910e+00     1.000000e+00     2.713930e-08   
90      1.006292e-02     6.587903e+00     1.000000e+00     2.713926e-08   
91      1.006292e-02     6.587895e+00     1.000000e+00     2.713922e-08   
92      1.006292e-02     6.587887e+00     1.000000e+00     2.713918e-08   
93      1.006291e-02     6.587879e+00     1.000000e+00     2.713914e-08   
94      1.006291e-02     6.587872e+00     1.000000e+00     2.713910e-08   
95      1.006290e-02     6.587864e+00     1.000000e+00     2.713906e-08   
96      1.006290e-02     6.587856e+00     1.000000e+00     2.713902e-08   
97      1.006290e-02     6.587849e+00     1.000000e+00     2.713898e-08   
