NewtonCholesky with backtrack line search.

CUTEst problem................: OSBORNEB
Number of variables...........: 11
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 11
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 93500
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.288158
Subproblem time in seconds..............: 0.009741
Line search time in seconds.............: 0.033584
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       3.162545e+00     6.487567e+00     1.000000e+00     1.962195e-02   
2       3.162048e+00     6.523042e+00     1.000000e+00     3.598262e-04   
3       3.161553e+00     6.522924e+00     1.000000e+00     3.596497e-04   
4       3.161058e+00     6.522814e+00     1.000000e+00     3.593587e-04   
5       3.160566e+00     6.522706e+00     1.000000e+00     3.590681e-04   
6       3.160074e+00     6.522599e+00     1.000000e+00     3.587779e-04   
7       3.159584e+00     6.522494e+00     1.000000e+00     3.584880e-04   
8       3.159095e+00     6.522392e+00     1.000000e+00     3.581985e-04   
9       3.158608e+00     6.522290e+00     1.000000e+00     3.579093e-04   
10      3.158122e+00     6.522191e+00     1.000000e+00     3.576206e-04   
11      3.157637e+00     6.522094e+00     1.000000e+00     3.573322e-04   
12      3.157154e+00     6.521998e+00     1.000000e+00     3.570441e-04   
13      3.156672e+00     6.521904e+00     1.000000e+00     3.567565e-04   
14      3.156191e+00     6.521811e+00     1.000000e+00     3.564692e-04   
15      3.155712e+00     6.521721e+00     1.000000e+00     3.561823e-04   
16      3.155234e+00     6.521632e+00     1.000000e+00     3.558958e-04   
17      3.154757e+00     6.521545e+00     1.000000e+00     3.556097e-04   
18      3.154281e+00     6.521460e+00     1.000000e+00     3.553240e-04   
19      3.153807e+00     6.521376e+00     1.000000e+00     3.550387e-04   
20      3.153334e+00     6.521294e+00     1.000000e+00     3.547537e-04   
21      3.152863e+00     6.521214e+00     1.000000e+00     3.544692e-04   
22      3.152393e+00     6.521135e+00     1.000000e+00     3.541850e-04   
23      3.151924e+00     6.521058e+00     1.000000e+00     3.539013e-04   
24      3.151456e+00     6.520983e+00     1.000000e+00     3.536179e-04   
25      3.150990e+00     6.520910e+00     1.000000e+00     3.533350e-04   
26      3.150525e+00     6.520838e+00     1.000000e+00     3.530524e-04   
27      3.150061e+00     6.520768e+00     1.000000e+00     3.527703e-04   
28      3.149598e+00     6.520699e+00     1.000000e+00     3.524886e-04   
29      3.149137e+00     6.520632e+00     1.000000e+00     3.522072e-04   
30      3.148677e+00     6.520567e+00     1.000000e+00     3.519263e-04   
31      3.148218e+00     6.520503e+00     1.000000e+00     3.516459e-04   
32      3.147761e+00     6.520441e+00     1.000000e+00     3.513658e-04   
33      3.147305e+00     6.520381e+00     1.000000e+00     3.510861e-04   
34      3.146850e+00     6.520322e+00     1.000000e+00     3.508069e-04   
35      3.146396e+00     6.520265e+00     1.000000e+00     3.505281e-04   
36      3.145944e+00     6.520209e+00     1.000000e+00     3.502497e-04   
37      3.145492e+00     6.520155e+00     1.000000e+00     3.499718e-04   
38      3.145042e+00     6.520103e+00     1.000000e+00     3.496943e-04   
39      3.144593e+00     6.520052e+00     1.000000e+00     3.494172e-04   
40      3.144146e+00     6.520002e+00     1.000000e+00     3.491405e-04   
41      3.143700e+00     6.519955e+00     1.000000e+00     3.488643e-04   
42      3.143254e+00     6.519908e+00     1.000000e+00     3.485885e-04   
43      3.142811e+00     6.519864e+00     1.000000e+00     3.483132e-04   
44      3.142368e+00     6.519820e+00     1.000000e+00     3.480383e-04   
