NewtonCholesky with backtrack line search.

CUTEst problem................: PENALTY2
Number of variables...........: 200
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 200
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 20600000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 5.521670
Subproblem time in seconds..............: 4.123186
Line search time in seconds.............: 0.070700
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       4.711630e+13     1.646956e+07     1.000000e+00     4.902461e-01   
2       4.711630e+13     1.618393e+07     1.000000e+00     9.771389e-03   
3       4.711630e+13     1.618381e+07     1.000000e+00     4.901974e-01   
4       4.711630e+13     1.590174e+07     1.000000e+00     9.818742e-03   
5       4.711630e+13     1.590162e+07     1.000000e+00     4.901489e-01   
6       4.711630e+13     1.562308e+07     1.000000e+00     9.866621e-03   
7       4.711630e+13     1.562296e+07     1.000000e+00     4.901000e-01   
8       4.711630e+13     1.534792e+07     1.000000e+00     9.914993e-03   
9       4.711630e+13     1.534781e+07     1.000000e+00     4.900506e-01   
10      4.711630e+13     1.507625e+07     1.000000e+00     9.963863e-03   
11      4.711630e+13     1.507614e+07     1.000000e+00     4.900007e-01   
12      4.711630e+13     1.480803e+07     1.000000e+00     1.001324e-02   
13      4.711630e+13     1.480791e+07     1.000000e+00     4.899503e-01   
14      4.711630e+13     1.454323e+07     1.000000e+00     1.006313e-02   
15      4.711630e+13     1.454312e+07     1.000000e+00     4.898994e-01   
16      4.711630e+13     1.428183e+07     1.000000e+00     1.011354e-02   
17      4.711630e+13     1.428172e+07     1.000000e+00     4.898480e-01   
18      4.711630e+13     1.402381e+07     1.000000e+00     1.016448e-02   
19      4.711630e+13     1.402369e+07     1.000000e+00     4.897961e-01   
20      4.711630e+13     1.376913e+07     1.000000e+00     1.021595e-02   
21      4.711630e+13     1.376902e+07     1.000000e+00     4.897437e-01   
22      4.711630e+13     1.351777e+07     1.000000e+00     1.026796e-02   
23      4.711630e+13     1.351766e+07     1.000000e+00     4.896907e-01   
24      4.711630e+13     1.326971e+07     1.000000e+00     1.032053e-02   
25      4.711630e+13     1.326960e+07     1.000000e+00     4.896371e-01   
26      4.711630e+13     1.302491e+07     1.000000e+00     1.037365e-02   
27      4.711630e+13     1.302480e+07     1.000000e+00     4.895830e-01   
28      4.711630e+13     1.278336e+07     1.000000e+00     1.042735e-02   
29      4.711630e+13     1.278325e+07     1.000000e+00     4.895284e-01   
30      4.711630e+13     1.254502e+07     1.000000e+00     1.048161e-02   
31      4.711630e+13     1.254492e+07     1.000000e+00     4.894732e-01   
32      4.711630e+13     1.230988e+07     1.000000e+00     1.053646e-02   
33      4.711630e+13     1.230977e+07     1.000000e+00     4.894174e-01   
34      4.711630e+13     1.207790e+07     1.000000e+00     1.059191e-02   
35      4.711629e+13     1.207779e+07     1.000000e+00     4.893610e-01   
36      4.711629e+13     1.184906e+07     1.000000e+00     1.064796e-02   
37      4.711629e+13     1.184895e+07     1.000000e+00     4.893040e-01   
38      4.711629e+13     1.162333e+07     1.000000e+00     1.070461e-02   
39      4.711629e+13     1.162322e+07     1.000000e+00     4.892463e-01   
40      4.711629e+13     1.140069e+07     1.000000e+00     1.076189e-02   
41      4.711629e+13     1.140059e+07     1.000000e+00     4.891881e-01   
42      4.711629e+13     1.118112e+07     1.000000e+00     1.081980e-02   
43      4.711629e+13     1.118101e+07     1.000000e+00     4.891293e-01   
