NewtonCholesky with backtrack line search.

CUTEst problem................: POWELLBSLS
Number of variables...........: 2
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 2
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 8000
Line search iterations..................: 79531
Number of objective function evaluations: 80531
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.099412
Subproblem time in seconds..............: 0.007664
Line search time in seconds.............: 0.087221
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       1.473382e-01     2.000074e+04     5.551115e-17     2.000074e+12   
2       1.353358e-01     2.204542e+03     5.551115e-17     2.204542e+11   
3       1.351900e-01     2.429915e+02     5.551115e-17     2.429913e+10   
4       1.351882e-01     2.678458e+01     5.551115e-17     2.678324e+09   
5       1.351882e-01     2.964519e+00     5.551115e-17     2.952130e+08   
6       1.351882e-01     4.230910e-01     5.551115e-17     3.253928e+07   
7       1.351882e-01     2.728212e-01     5.551115e-17     3.586578e+06   
8       1.351882e-01     2.704784e-01     5.551115e-17     3.953235e+05   
9       1.351882e-01     2.704503e-01     5.551115e-17     4.357376e+04   
10      1.351882e-01     2.704499e-01     5.551115e-17     4.802833e+03   
11      1.351882e-01     2.704499e-01     8.673617e-19     5.293830e+02   
12      1.351882e-01     2.704499e-01     5.551115e-17     5.201992e+02   
13      1.351882e-01     2.704499e-01     1.387779e-17     5.733790e+01   
14      1.351882e-01     2.704499e-01     2.168404e-19     4.142308e+01   
15      1.351882e-01     2.704499e-01     1.776357e-15     4.124367e+01   
16      1.351882e-01     2.704499e-01     5.551115e-17     1.424026e+03   
17      1.351882e-01     2.704499e-01     1.776357e-15     1.569609e+02   
18      1.351882e-01     2.704499e-01     4.235165e-22     5.419410e+03   
19      1.351882e-01     2.704499e-01     2.117582e-22     5.419364e+03   
20      1.351882e-01     2.704499e-01     1.058791e-22     5.419341e+03   
21      1.351882e-01     2.704499e-01     5.293956e-23     5.419330e+03   
22      1.351882e-01     2.704499e-01     6.617445e-24     5.419324e+03   
23      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
24      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
25      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
26      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
27      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
28      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
29      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
30      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
31      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
32      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
33      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
34      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
35      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
36      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
37      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
38      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
39      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
40      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
41      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
42      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
43      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
44      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
45      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
46      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
47      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
48      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
49      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
50      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
51      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
52      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
53      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
54      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
55      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
56      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
57      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
58      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
59      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
60      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
61      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
62      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
63      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
64      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
65      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
66      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
67      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
68      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
69      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
70      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
71      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
72      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
73      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
74      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
75      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
76      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
77      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
78      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
79      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
80      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
81      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
82      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
83      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
84      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
85      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
86      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
87      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
88      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
89      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
90      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
91      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
92      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
93      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
94      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
95      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
96      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
97      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
98      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
99      1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
100     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
101     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
102     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
103     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
104     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
105     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
106     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
107     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
108     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
109     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
110     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
111     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
112     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
113     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
114     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
115     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
116     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
117     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
118     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
119     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
120     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
121     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
122     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
123     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
124     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
125     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
126     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
127     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
128     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
129     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
130     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
131     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
132     1.351882e-01     2.704499e-01     8.271806e-25     5.419324e+03   
