NewtonCholesky with backtrack line search.

CUTEst problem................: ROSENBRTU
Number of variables...........: 2
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 2
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 566
Subproblem iterations...................: 4528
Line search iterations..................: 260
Number of objective function evaluations: 826
Number of gradient evaluations..........: 567
Number of hessian evaluations...........: 566
Total time in seconds...................: 0.014812
Subproblem time in seconds..............: 0.003812
Line search time in seconds.............: 0.001477
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       1.009816e+02     2.895551e-03     1.000000e+00     4.466998e+01   
2       1.009659e+02     7.636746e-03     1.000000e+00     2.978165e+01   
3       1.009307e+02     2.363749e-02     1.000000e+00     1.985692e+01   
4       1.008514e+02     7.763077e-02     1.000000e+00     1.324168e+01   
5       1.006729e+02     2.597868e-01     1.000000e+00     8.833400e+00   
6       1.002712e+02     8.740202e-01     1.000000e+00     5.897378e+00   
7       9.936665e+01     2.942921e+00     1.000000e+00     3.944347e+00   
8       9.732734e+01     9.893820e+00     1.000000e+00     2.649030e+00   
9       9.271864e+01     3.310891e+01     1.000000e+00     1.796362e+00   
10      8.224701e+01     1.095351e+02     1.000000e+00     1.247386e+00   
11      5.821908e+01     3.515118e+02     1.000000e+00     9.252251e-01   
12      7.295212e+00     1.016709e+03     1.000000e+00     8.973155e-01   
13      1.751957e+00     1.093775e+03     1.000000e+00     3.464714e-01   
14      9.949331e-01     4.134752e+02     1.000000e+00     8.980289e-02   
15      9.941237e-01     1.367148e+01     1.000000e+00     1.613954e-02   
16      9.941155e-01     3.452996e-03     1.220703e-04     3.052259e+03   
17      9.941020e-01     1.157180e+00     1.000000e+00     2.248359e-01   
18      9.940940e-01     4.226786e-01     5.000000e-01     6.196377e-01   
19      9.940811e-01     1.011347e+00     1.000000e+00     2.577945e-01   
20      9.940769e-01     5.560877e-01     1.000000e+00     4.707365e-01   
21      9.940566e-01     1.850237e+00     1.000000e+00     1.406959e-01   
22      9.940504e-01     1.674076e-01     2.500000e-01     1.589457e+00   
23      9.940346e-01     1.445929e+00     1.000000e+00     1.805809e-01   
24      9.940271e-01     2.750830e-01     2.500000e-01     9.609472e-01   
25      9.940168e-01     6.902424e-01     1.000000e+00     3.801934e-01   
26      9.940026e-01     1.214008e+00     1.000000e+00     2.157436e-01   
27      9.939946e-01     3.929250e-01     5.000000e-01     6.716913e-01   
28      9.939807e-01     1.144933e+00     1.000000e+00     2.291677e-01   
29      9.939723e-01     4.439564e-01     5.000000e-01     5.947710e-01   
