NewtonCholesky with backtrack line search.

CUTEst problem................: WATSON
Number of variables...........: 12
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 12
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 108000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.134166
Subproblem time in seconds..............: 0.006831
Line search time in seconds.............: 0.006926
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
1       3.000000e+01     2.135930e+02     1.000000e+00     2.182521e-08   
2       3.000000e+01     2.135930e+02     1.000000e+00     2.435272e-08   
3       2.999999e+01     2.135930e+02     1.000000e+00     2.435272e-08   
4       2.999999e+01     2.135929e+02     1.000000e+00     2.435272e-08   
5       2.999999e+01     2.135929e+02     1.000000e+00     2.435272e-08   
6       2.999999e+01     2.135929e+02     1.000000e+00     2.435272e-08   
7       2.999998e+01     2.135929e+02     1.000000e+00     2.435272e-08   
8       2.999998e+01     2.135929e+02     1.000000e+00     2.435272e-08   
9       2.999998e+01     2.135929e+02     1.000000e+00     2.435272e-08   
10      2.999998e+01     2.135929e+02     1.000000e+00     2.435272e-08   
11      2.999998e+01     2.135928e+02     1.000000e+00     2.435272e-08   
12      2.999997e+01     2.135928e+02     1.000000e+00     2.435272e-08   
13      2.999997e+01     2.135928e+02     1.000000e+00     2.435272e-08   
14      2.999997e+01     2.135928e+02     1.000000e+00     2.435272e-08   
15      2.999997e+01     2.135928e+02     1.000000e+00     2.435273e-08   
16      2.999996e+01     2.135928e+02     1.000000e+00     2.435273e-08   
17      2.999996e+01     2.135928e+02     1.000000e+00     2.435273e-08   
18      2.999996e+01     2.135927e+02     1.000000e+00     2.435273e-08   
19      2.999996e+01     2.135927e+02     1.000000e+00     2.435273e-08   
20      2.999996e+01     2.135927e+02     1.000000e+00     2.435273e-08   
21      2.999995e+01     2.135927e+02     1.000000e+00     2.435273e-08   
22      2.999995e+01     2.135927e+02     1.000000e+00     2.435273e-08   
23      2.999995e+01     2.135927e+02     1.000000e+00     2.435273e-08   
24      2.999995e+01     2.135927e+02     1.000000e+00     2.435273e-08   
25      2.999994e+01     2.135926e+02     1.000000e+00     2.435273e-08   
26      2.999994e+01     2.135926e+02     1.000000e+00     2.435273e-08   
27      2.999994e+01     2.135926e+02     1.000000e+00     2.435273e-08   
28      2.999994e+01     2.135926e+02     1.000000e+00     2.435273e-08   
29      2.999994e+01     2.135926e+02     1.000000e+00     2.435273e-08   
30      2.999993e+01     2.135926e+02     1.000000e+00     2.435273e-08   
31      2.999993e+01     2.135926e+02     1.000000e+00     2.435273e-08   
32      2.999993e+01     2.135925e+02     1.000000e+00     2.435273e-08   
33      2.999993e+01     2.135925e+02     1.000000e+00     2.435273e-08   
34      2.999992e+01     2.135925e+02     1.000000e+00     2.435273e-08   
35      2.999992e+01     2.135925e+02     1.000000e+00     2.435274e-08   
36      2.999992e+01     2.135925e+02     1.000000e+00     2.435274e-08   
37      2.999992e+01     2.135925e+02     1.000000e+00     2.435274e-08   
38      2.999992e+01     2.135925e+02     1.000000e+00     2.435274e-08   
39      2.999991e+01     2.135924e+02     1.000000e+00     2.435274e-08   
40      2.999991e+01     2.135924e+02     1.000000e+00     2.435274e-08   
41      2.999991e+01     2.135924e+02     1.000000e+00     2.435274e-08   
42      2.999991e+01     2.135924e+02     1.000000e+00     2.435274e-08   
43      2.999990e+01     2.135924e+02     1.000000e+00     2.435274e-08   
44      2.999990e+01     2.135924e+02     1.000000e+00     2.435274e-08   
45      2.999990e+01     2.135924e+02     1.000000e+00     2.435274e-08   
46      2.999990e+01     2.135923e+02     1.000000e+00     2.435274e-08   
47      2.999990e+01     2.135923e+02     1.000000e+00     2.435274e-08   
48      2.999989e+01     2.135923e+02     1.000000e+00     2.435274e-08   
49      2.999989e+01     2.135923e+02     1.000000e+00     2.435274e-08   
50      2.999989e+01     2.135923e+02     1.000000e+00     2.435274e-08   
51      2.999989e+01     2.135923e+02     1.000000e+00     2.435274e-08   
52      2.999988e+01     2.135923e+02     1.000000e+00     2.435274e-08   
53      2.999988e+01     2.135922e+02     1.000000e+00     2.435274e-08   
54      2.999988e+01     2.135922e+02     1.000000e+00     2.435275e-08   
