NewtonCholesky with backtrack line search.

CUTEst problem................: ARGLINB
Number of variables...........: 200
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 200
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: NaN
Gradient norm.........: NaN
Total iterations......: 1000
Total time in seconds.: 289.368172
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 0
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 20600000
Subproblem time in seconds..............: 288.572906
How many times subproblem failed........: 0
Line search iterations..................: 0
Line search time in seconds.............: 0.293455
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       NaN              1.410981e+15     1.000000e+00     NaN            
2       NaN              NaN              1.000000e+00     NaN            
3       NaN              NaN              1.000000e+00     NaN            
4       NaN              NaN              1.000000e+00     NaN            
5       NaN              NaN              1.000000e+00     NaN            
6       NaN              NaN              1.000000e+00     NaN            
7       NaN              NaN              1.000000e+00     NaN            
8       NaN              NaN              1.000000e+00     NaN            
9       NaN              NaN              1.000000e+00     NaN            
10      NaN              NaN              1.000000e+00     NaN            
11      NaN              NaN              1.000000e+00     NaN            
12      NaN              NaN              1.000000e+00     NaN            
13      NaN              NaN              1.000000e+00     NaN            
14      NaN              NaN              1.000000e+00     NaN            
15      NaN              NaN              1.000000e+00     NaN            
16      NaN              NaN              1.000000e+00     NaN            
17      NaN              NaN              1.000000e+00     NaN            
18      NaN              NaN              1.000000e+00     NaN            
19      NaN              NaN              1.000000e+00     NaN            
20      NaN              NaN              1.000000e+00     NaN            
21      NaN              NaN              1.000000e+00     NaN            
22      NaN              NaN              1.000000e+00     NaN            
23      NaN              NaN              1.000000e+00     NaN            
24      NaN              NaN              1.000000e+00     NaN            
25      NaN              NaN              1.000000e+00     NaN            
26      NaN              NaN              1.000000e+00     NaN            
27      NaN              NaN              1.000000e+00     NaN            
28      NaN              NaN              1.000000e+00     NaN            
29      NaN              NaN              1.000000e+00     NaN            
30      NaN              NaN              1.000000e+00     NaN            
31      NaN              NaN              1.000000e+00     NaN            
32      NaN              NaN              1.000000e+00     NaN            
33      NaN              NaN              1.000000e+00     NaN            
34      NaN              NaN              1.000000e+00     NaN            
35      NaN              NaN              1.000000e+00     NaN            
36      NaN              NaN              1.000000e+00     NaN            
37      NaN              NaN              1.000000e+00     NaN            
38      NaN              NaN              1.000000e+00     NaN            
39      NaN              NaN              1.000000e+00     NaN            
40      NaN              NaN              1.000000e+00     NaN            
41      NaN              NaN              1.000000e+00     NaN            
42      NaN              NaN              1.000000e+00     NaN            
43      NaN              NaN              1.000000e+00     NaN            
44      NaN              NaN              1.000000e+00     NaN            
45      NaN              NaN              1.000000e+00     NaN            
46      NaN              NaN              1.000000e+00     NaN            
47      NaN              NaN              1.000000e+00     NaN            
48      NaN              NaN              1.000000e+00     NaN            
