NewtonCholesky with backtrack line search.

CUTEst problem................: BARD
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 8.217351e-03
Gradient norm.........: 4.194591e-03
Total iterations......: 1000
Total time in seconds.: 0.021622
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 0
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 13500
Subproblem time in seconds..............: 0.012898
How many times subproblem failed........: 0
Line search iterations..................: 0
Line search time in seconds.............: 0.003265
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       1.376518e+01     8.463082e+01     1.000000e+00     5.916520e-01   
2       1.488038e+00     3.720247e+01     1.000000e+00     6.979263e-01   
3       2.703219e-01     8.270026e+00     1.000000e+00     3.744488e-01   
4       3.439862e-02     2.123819e+00     1.000000e+00     2.654784e-01   
5       1.509409e-02     5.189968e-01     1.000000e+00     9.505079e-02   
6       1.407780e-02     2.431347e-01     1.000000e+00     1.148400e-02   
7       1.395333e-02     1.201997e-01     1.000000e+00     3.142315e-03   
8       1.392610e-02     8.748547e-02     1.000000e+00     3.159507e-03   
9       1.391103e-02     8.228631e-02     1.000000e+00     3.202447e-03   
10      1.389780e-02     8.146317e-02     1.000000e+00     3.210204e-03   
11      1.388487e-02     8.132997e-02     1.000000e+00     3.211385e-03   
12      1.387198e-02     8.130575e-02     1.000000e+00     3.211499e-03   
13      1.385910e-02     8.129867e-02     1.000000e+00     3.211441e-03   
14      1.384622e-02     8.129421e-02     1.000000e+00     3.211351e-03   
15      1.383335e-02     8.129007e-02     1.000000e+00     3.211252e-03   
16      1.382048e-02     8.128588e-02     1.000000e+00     3.211148e-03   
17      1.380761e-02     8.128158e-02     1.000000e+00     3.211039e-03   
18      1.379474e-02     8.127716e-02     1.000000e+00     3.210925e-03   
19      1.378187e-02     8.127262e-02     1.000000e+00     3.210807e-03   
20      1.376901e-02     8.126796e-02     1.000000e+00     3.210685e-03   
21      1.375615e-02     8.126318e-02     1.000000e+00     3.210557e-03   
22      1.374329e-02     8.125828e-02     1.000000e+00     3.210425e-03   
23      1.373044e-02     8.125326e-02     1.000000e+00     3.210288e-03   
24      1.371758e-02     8.124811e-02     1.000000e+00     3.210146e-03   
25      1.370473e-02     8.124284e-02     1.000000e+00     3.210000e-03   
26      1.369188e-02     8.123744e-02     1.000000e+00     3.209849e-03   
27      1.367904e-02     8.123192e-02     1.000000e+00     3.209693e-03   
28      1.366620e-02     8.122628e-02     1.000000e+00     3.209532e-03   
29      1.365336e-02     8.122051e-02     1.000000e+00     3.209366e-03   
30      1.364052e-02     8.121461e-02     1.000000e+00     3.209195e-03   
31      1.362768e-02     8.120859e-02     1.000000e+00     3.209020e-03   
32      1.361485e-02     8.120244e-02     1.000000e+00     3.208839e-03   
33      1.360202e-02     8.119616e-02     1.000000e+00     3.208654e-03   
34      1.358919e-02     8.118975e-02     1.000000e+00     3.208463e-03   
35      1.357637e-02     8.118321e-02     1.000000e+00     3.208268e-03   
36      1.356355e-02     8.117654e-02     1.000000e+00     3.208067e-03   
37      1.355073e-02     8.116975e-02     1.000000e+00     3.207862e-03   
38      1.353792e-02     8.116282e-02     1.000000e+00     3.207651e-03   
39      1.352511e-02     8.115576e-02     1.000000e+00     3.207435e-03   
40      1.351230e-02     8.114856e-02     1.000000e+00     3.207214e-03   
41      1.349949e-02     8.114124e-02     1.000000e+00     3.206988e-03   
42      1.348669e-02     8.113377e-02     1.000000e+00     3.206757e-03   
43      1.347389e-02     8.112618e-02     1.000000e+00     3.206521e-03   
44      1.346109e-02     8.111845e-02     1.000000e+00     3.206279e-03   
45      1.344830e-02     8.111059e-02     1.000000e+00     3.206032e-03   
46      1.343551e-02     8.110259e-02     1.000000e+00     3.205780e-03   
47      1.342273e-02     8.109445e-02     1.000000e+00     3.205522e-03   
48      1.340995e-02     8.108617e-02     1.000000e+00     3.205260e-03   
49      1.339717e-02     8.107776e-02     1.000000e+00     3.204991e-03   
50      1.338439e-02     8.106921e-02     1.000000e+00     3.204718e-03   
51      1.337162e-02     8.106052e-02     1.000000e+00     3.204439e-03   
52      1.335885e-02     8.105169e-02     1.000000e+00     3.204154e-03   
53      1.334609e-02     8.104272e-02     1.000000e+00     3.203865e-03   
54      1.333333e-02     8.103361e-02     1.000000e+00     3.203569e-03   
55      1.332057e-02     8.102435e-02     1.000000e+00     3.203268e-03   
56      1.330782e-02     8.101496e-02     1.000000e+00     3.202962e-03   
57      1.329507e-02     8.100542e-02     1.000000e+00     3.202650e-03   
58      1.328232e-02     8.099574e-02     1.000000e+00     3.202332e-03   
59      1.326958e-02     8.098591e-02     1.000000e+00     3.202009e-03   
60      1.325684e-02     8.097594e-02     1.000000e+00     3.201681e-03   
61      1.324411e-02     8.096582e-02     1.000000e+00     3.201346e-03   
62      1.323138e-02     8.095555e-02     1.000000e+00     3.201006e-03   
63      1.321866e-02     8.094514e-02     1.000000e+00     3.200660e-03   
64      1.320594e-02     8.093459e-02     1.000000e+00     3.200309e-03   
65      1.319322e-02     8.092388e-02     1.000000e+00     3.199951e-03   
66      1.318051e-02     8.091302e-02     1.000000e+00     3.199588e-03   
67      1.316780e-02     8.090202e-02     1.000000e+00     3.199219e-03   
68      1.315509e-02     8.089086e-02     1.000000e+00     3.198844e-03   
69      1.314239e-02     8.087956e-02     1.000000e+00     3.198464e-03   
70      1.312970e-02     8.086810e-02     1.000000e+00     3.198077e-03   
71      1.311701e-02     8.085649e-02     1.000000e+00     3.197685e-03   
72      1.310432e-02     8.084473e-02     1.000000e+00     3.197286e-03   
73      1.309164e-02     8.083281e-02     1.000000e+00     3.196882e-03   
74      1.307897e-02     8.082074e-02     1.000000e+00     3.196471e-03   
75      1.306629e-02     8.080851e-02     1.000000e+00     3.196055e-03   
76      1.305363e-02     8.079613e-02     1.000000e+00     3.195632e-03   
77      1.304096e-02     8.078359e-02     1.000000e+00     3.195204e-03   
78      1.302831e-02     8.077090e-02     1.000000e+00     3.194769e-03   
79      1.301565e-02     8.075804e-02     1.000000e+00     3.194328e-03   
80      1.300301e-02     8.074503e-02     1.000000e+00     3.193881e-03   
81      1.299036e-02     8.073186e-02     1.000000e+00     3.193428e-03   
82      1.297772e-02     8.071853e-02     1.000000e+00     3.192968e-03   
83      1.296509e-02     8.070504e-02     1.000000e+00     3.192502e-03   
84      1.295246e-02     8.069139e-02     1.000000e+00     3.192030e-03   
85      1.293984e-02     8.067757e-02     1.000000e+00     3.191552e-03   
86      1.292722e-02     8.066360e-02     1.000000e+00     3.191067e-03   
87      1.291461e-02     8.064946e-02     1.000000e+00     3.190576e-03   
88      1.290201e-02     8.063515e-02     1.000000e+00     3.190079e-03   
89      1.288940e-02     8.062068e-02     1.000000e+00     3.189575e-03   
90      1.287681e-02     8.060605e-02     1.000000e+00     3.189064e-03   
91      1.286422e-02     8.059125e-02     1.000000e+00     3.188548e-03   
92      1.285163e-02     8.057628e-02     1.000000e+00     3.188024e-03   
93      1.283905e-02     8.056115e-02     1.000000e+00     3.187494e-03   
94      1.282648e-02     8.054584e-02     1.000000e+00     3.186958e-03   
95      1.281391e-02     8.053037e-02     1.000000e+00     3.186415e-03   
96      1.280135e-02     8.051473e-02     1.000000e+00     3.185865e-03   
97      1.278880e-02     8.049891e-02     1.000000e+00     3.185309e-03   
98      1.277624e-02     8.048293e-02     1.000000e+00     3.184745e-03   
99      1.276370e-02     8.046677e-02     1.000000e+00     3.184176e-03   
100     1.275116e-02     8.045044e-02     1.000000e+00     3.183599e-03   
101     1.273863e-02     8.043394e-02     1.000000e+00     3.183016e-03   
102     1.272610e-02     8.041726e-02     1.000000e+00     3.182426e-03   
103     1.271358e-02     8.040041e-02     1.000000e+00     3.181829e-03   
104     1.270107e-02     8.038338e-02     1.000000e+00     3.181225e-03   
105     1.268856e-02     8.036618e-02     1.000000e+00     3.180614e-03   
106     1.267606e-02     8.034880e-02     1.000000e+00     3.179996e-03   
107     1.266356e-02     8.033124e-02     1.000000e+00     3.179372e-03   
108     1.265107e-02     8.031350e-02     1.000000e+00     3.178740e-03   
109     1.263859e-02     8.029558e-02     1.000000e+00     3.178101e-03   
110     1.262611e-02     8.027748e-02     1.000000e+00     3.177456e-03   
111     1.261364e-02     8.025920e-02     1.000000e+00     3.176803e-03   
112     1.260118e-02     8.024074e-02     1.000000e+00     3.176143e-03   
113     1.258873e-02     8.022210e-02     1.000000e+00     3.175476e-03   
114     1.257628e-02     8.020327e-02     1.000000e+00     3.174802e-03   
115     1.256383e-02     8.018426e-02     1.000000e+00     3.174120e-03   
116     1.255140e-02     8.016506e-02     1.000000e+00     3.173432e-03   
117     1.253897e-02     8.014568e-02     1.000000e+00     3.172736e-03   
118     1.252655e-02     8.012611e-02     1.000000e+00     3.172032e-03   
119     1.251413e-02     8.010636e-02     1.000000e+00     3.171322e-03   
120     1.250172e-02     8.008642e-02     1.000000e+00     3.170604e-03   
121     1.248932e-02     8.006628e-02     1.000000e+00     3.169879e-03   
122     1.247693e-02     8.004596e-02     1.000000e+00     3.169146e-03   
123     1.246454e-02     8.002545e-02     1.000000e+00     3.168406e-03   
124     1.245216e-02     8.000475e-02     1.000000e+00     3.167658e-03   
125     1.243979e-02     7.998385e-02     1.000000e+00     3.166903e-03   
126     1.242742e-02     7.996277e-02     1.000000e+00     3.166140e-03   
127     1.241507e-02     7.994149e-02     1.000000e+00     3.165369e-03   
128     1.240272e-02     7.992001e-02     1.000000e+00     3.164592e-03   
129     1.239037e-02     7.989834e-02     1.000000e+00     3.163806e-03   
130     1.237804e-02     7.987647e-02     1.000000e+00     3.163013e-03   
131     1.236571e-02     7.985441e-02     1.000000e+00     3.162212e-03   
132     1.235339e-02     7.983215e-02     1.000000e+00     3.161403e-03   
133     1.234108e-02     7.980969e-02     1.000000e+00     3.160586e-03   
134     1.232878e-02     7.978704e-02     1.000000e+00     3.159762e-03   
135     1.231648e-02     7.976418e-02     1.000000e+00     3.158930e-03   
136     1.230419e-02     7.974112e-02     1.000000e+00     3.158090e-03   
137     1.229191e-02     7.971786e-02     1.000000e+00     3.157242e-03   
138     1.227964e-02     7.969440e-02     1.000000e+00     3.156386e-03   
139     1.226738e-02     7.967073e-02     1.000000e+00     3.155522e-03   
140     1.225512e-02     7.964686e-02     1.000000e+00     3.154650e-03   
141     1.224288e-02     7.962279e-02     1.000000e+00     3.153770e-03   
142     1.223064e-02     7.959851e-02     1.000000e+00     3.152882e-03   
143     1.221841e-02     7.957403e-02     1.000000e+00     3.151986e-03   
144     1.220619e-02     7.954933e-02     1.000000e+00     3.151082e-03   
145     1.219397e-02     7.952443e-02     1.000000e+00     3.150169e-03   
146     1.218177e-02     7.949932e-02     1.000000e+00     3.149248e-03   
147     1.216957e-02     7.947400e-02     1.000000e+00     3.148320e-03   
148     1.215738e-02     7.944847e-02     1.000000e+00     3.147382e-03   
149     1.214521e-02     7.942273e-02     1.000000e+00     3.146437e-03   
150     1.213304e-02     7.939678e-02     1.000000e+00     3.145483e-03   
151     1.212088e-02     7.937061e-02     1.000000e+00     3.144521e-03   
152     1.210872e-02     7.934423e-02     1.000000e+00     3.143550e-03   
153     1.209658e-02     7.931764e-02     1.000000e+00     3.142571e-03   
154     1.208445e-02     7.929083e-02     1.000000e+00     3.141584e-03   
155     1.207232e-02     7.926380e-02     1.000000e+00     3.140588e-03   
156     1.206021e-02     7.923655e-02     1.000000e+00     3.139583e-03   
157     1.204810e-02     7.920909e-02     1.000000e+00     3.138570e-03   
158     1.203600e-02     7.918141e-02     1.000000e+00     3.137548e-03   
159     1.202391e-02     7.915351e-02     1.000000e+00     3.136518e-03   
160     1.201184e-02     7.912539e-02     1.000000e+00     3.135479e-03   
161     1.199977e-02     7.909705e-02     1.000000e+00     3.134431e-03   
162     1.198771e-02     7.906848e-02     1.000000e+00     3.133374e-03   
163     1.197566e-02     7.903969e-02     1.000000e+00     3.132309e-03   
164     1.196362e-02     7.901068e-02     1.000000e+00     3.131235e-03   
165     1.195159e-02     7.898144e-02     1.000000e+00     3.130152e-03   
166     1.193957e-02     7.895198e-02     1.000000e+00     3.129060e-03   
167     1.192756e-02     7.892229e-02     1.000000e+00     3.127959e-03   
168     1.191556e-02     7.889237e-02     1.000000e+00     3.126849e-03   
169     1.190357e-02     7.886223e-02     1.000000e+00     3.125730e-03   
