NewtonCholesky with backtrack line search.

CUTEst problem................: BEALE
Number of variables...........: 2
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 2
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 3.645407e-16
Gradient norm.........: 7.583654e-08
Total iterations......: 1000
Total time in seconds.: 0.030822
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 2584
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 8000
Subproblem time in seconds..............: 0.016333
How many times subproblem failed........: 0
Line search iterations..................: 2584
Line search time in seconds.............: 0.007873
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       9.289286e+00     2.775000e+01     1.000000e+00     6.217026e-01   
2       7.585249e-01     9.423338e+00     5.000000e-01     6.891997e+00   
3       4.103390e-02     1.193716e+01     5.000000e-01     8.702817e-01   
4       3.943256e-02     1.309834e+00     1.250000e-01     6.757284e-01   
5       3.735380e-02     1.431545e-01     9.765625e-04     5.340973e+01   
6       3.728738e-02     6.637444e-01     1.250000e-01     1.772703e-01   
7       3.690805e-02     2.576886e-01     3.125000e-02     9.756350e-01   
8       3.662341e-02     6.939226e-01     6.250000e-02     2.206710e-01   
9       3.657898e-02     4.482587e-01     1.250000e-01     2.184339e-01   
10      3.606722e-02     7.916610e-01     6.250000e-02     3.334764e-01   
11      3.589655e-02     4.368211e-01     6.250000e-02     2.358457e-01   
12      3.573661e-02     6.249388e-01     1.250000e-01     1.338083e-01   
13      3.541170e-02     3.037321e-01     3.125000e-02     6.676474e-01   
14      3.518512e-02     5.974402e-01     1.250000e-01     9.673154e-02   
15      3.514171e-02     3.472839e-01     6.250000e-02     4.797431e-01   
16      3.467817e-02     7.614867e-01     6.250000e-02     3.081417e-01   
17      3.463230e-02     4.330158e-01     1.250000e-01     2.157542e-01   
18      3.412874e-02     7.709257e-01     6.250000e-02     3.199334e-01   
19      3.405800e-02     4.316155e-01     1.250000e-01     2.076823e-01   
20      3.358670e-02     7.543853e-01     6.250000e-02     3.054098e-01   
21      3.349614e-02     4.298365e-01     1.250000e-01     2.007490e-01   
22      3.305119e-02     7.396233e-01     6.250000e-02     2.925330e-01   
23      3.294159e-02     4.281796e-01     1.250000e-01     1.937071e-01   
24      3.252220e-02     7.248184e-01     6.250000e-02     2.794712e-01   
25      3.239466e-02     4.266063e-01     1.250000e-01     1.866548e-01   
26      3.199969e-02     7.101144e-01     6.250000e-02     2.663710e-01   
27      3.185530e-02     4.251182e-01     1.250000e-01     1.795920e-01   
28      3.148358e-02     6.955117e-01     6.250000e-02     2.532331e-01   
29      3.132345e-02     4.237153e-01     1.250000e-01     1.725213e-01   
30      3.097382e-02     6.810153e-01     6.250000e-02     2.400628e-01   
31      3.079905e-02     4.223974e-01     1.250000e-01     1.654464e-01   
32      3.079373e-02     6.666308e-01     1.250000e-01     2.268670e-01   
