NewtonCholesky with backtrack line search.

CUTEst problem................: BIGGS6
Number of variables...........: 6
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 6
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 4.580752e-02
Gradient norm.........: 1.846567e-02
Total iterations......: 1000
Total time in seconds.: 0.040690
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 415
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 36000
Subproblem time in seconds..............: 0.024477
How many times subproblem failed........: 0
Line search iterations..................: 415
Line search time in seconds.............: 0.006859
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       5.900318e-01     2.553901e+00     5.000000e-01     4.492736e-01   
2       5.310560e-01     1.483668e+00     1.000000e+00     3.314353e-01   
3       4.276141e-01     2.000579e+00     2.500000e-01     1.261032e+00   
4       4.201541e-01     1.080141e+00     1.000000e+00     2.867740e-01   
5       3.481141e-01     1.646354e+00     2.500000e-01     9.975779e-01   
6       3.293494e-01     6.196697e-01     1.000000e+00     1.411562e-01   
7       3.259949e-01     7.422605e-01     5.000000e-01     4.061525e-01   
8       3.082441e-01     8.711051e-01     5.000000e-01     3.250255e-01   
9       3.056943e-01     5.316693e-01     5.000000e-01     2.802354e-01   
10      2.964819e-01     5.709903e-01     5.000000e-01     2.107382e-01   
11      2.949416e-01     3.539544e-01     5.000000e-01     1.774349e-01   
12      2.902715e-01     3.570998e-01     5.000000e-01     1.254849e-01   
13      2.893948e-01     2.290356e-01     5.000000e-01     1.057105e-01   
14      2.883507e-01     2.223966e-01     1.000000e+00     7.055496e-02   
15      2.880786e-01     3.713699e-01     5.000000e-01     1.846016e-01   
16      2.847098e-01     3.098660e-01     5.000000e-01     1.278445e-01   
17      2.839985e-01     2.035276e-01     2.500000e-01     9.398032e-02   
18      2.834061e-01     9.111185e-02     1.000000e+00     2.102646e-02   
19      2.825656e-01     9.747961e-02     1.000000e+00     2.865783e-02   
20      2.822601e-01     1.599075e-01     2.500000e-01     6.819662e-02   
21      2.820144e-01     7.453711e-02     1.000000e+00     1.483241e-02   
22      2.813900e-01     7.785666e-02     1.000000e+00     2.367534e-02   
23      2.812292e-01     1.376369e-01     2.500000e-01     5.415886e-02   
24      2.810611e-01     6.963362e-02     1.000000e+00     1.149455e-02   
25      2.805047e-01     6.951374e-02     1.000000e+00     2.054021e-02   
26      2.804078e-01     1.236182e-01     2.500000e-01     4.511566e-02   
27      2.802442e-01     6.823137e-02     1.000000e+00     9.618532e-03   
28      2.797134e-01     6.579127e-02     1.000000e+00     1.827618e-02   
29      2.796491e-01     1.135242e-01     2.500000e-01     3.866645e-02   
30      2.794718e-01     6.766526e-02     1.000000e+00     8.500866e-03   
31      2.789552e-01     6.394497e-02     1.000000e+00     1.650382e-02   
32      2.789088e-01     1.056973e-01     2.500000e-01     3.375283e-02   
33      2.787152e-01     6.724995e-02     1.000000e+00     7.793097e-03   
34      2.782096e-01     6.291686e-02     1.000000e+00     1.505900e-02   
35      2.781734e-01     9.940021e-02     2.500000e-01     2.984260e-02   
36      2.779645e-01     6.685329e-02     1.000000e+00     7.321379e-03   
37      2.774688e-01     6.229261e-02     1.000000e+00     1.385849e-02   
38      2.774381e-01     9.424116e-02     2.500000e-01     2.664000e-02   
39      2.772157e-01     6.647057e-02     1.000000e+00     6.995112e-03   
40      2.767295e-01     6.189636e-02     1.000000e+00     1.285189e-02   
41      2.767014e-01     8.997400e-02     2.500000e-01     2.396607e-02   
42      2.764672e-01     6.611537e-02     1.000000e+00     6.763935e-03   
43      2.759897e-01     6.164386e-02     1.000000e+00     1.200396e-02   
44      2.759623e-01     8.642400e-02     2.500000e-01     2.170422e-02   
45      2.757177e-01     6.579694e-02     1.000000e+00     6.597924e-03   
46      2.752483e-01     6.148907e-02     1.000000e+00     1.128782e-02   
47      2.752203e-01     8.345813e-02     2.500000e-01     1.977361e-02   
48      2.749665e-01     6.551856e-02     1.000000e+00     6.478233e-03   
49      2.745045e-01     6.140385e-02     1.000000e+00     1.068196e-02   
50      2.744999e-01     8.097150e-02     5.000000e-01     1.811520e-02   
51      2.739980e-01     6.193797e-02     1.000000e+00     1.389442e-02   
52      2.739673e-01     9.303159e-02     2.500000e-01     2.620572e-02   
53      2.737398e-01     6.634199e-02     1.000000e+00     7.043088e-03   
54      2.732455e-01     6.165221e-02     1.000000e+00     1.298328e-02   
55      2.732166e-01     8.923974e-02     2.500000e-01     2.384346e-02   
56      2.729776e-01     6.601510e-02     1.000000e+00     6.867074e-03   
57      2.724904e-01     6.147769e-02     1.000000e+00     1.221320e-02   
58      2.724619e-01     8.607989e-02     2.500000e-01     2.181601e-02   
59      2.722127e-01     6.574537e-02     1.000000e+00     6.732961e-03   
60      2.717321e-01     6.138408e-02     1.000000e+00     1.156023e-02   
61      2.717029e-01     8.343423e-02     2.500000e-01     2.006692e-02   
62      2.714446e-01     6.552436e-02     1.000000e+00     6.631588e-03   
63      2.709701e-01     6.134998e-02     1.000000e+00     1.100511e-02   
64      2.709645e-01     8.120980e-02     5.000000e-01     1.855157e-02   
65      2.704508e-01     6.189633e-02     1.000000e+00     1.407591e-02   
66      2.704192e-01     9.246341e-02     2.500000e-01     2.619876e-02   
67      2.701861e-01     6.640412e-02     1.000000e+00     7.202190e-03   
68      2.696786e-01     6.169131e-02     1.000000e+00     1.325881e-02   
69      2.696484e-01     8.914329e-02     2.500000e-01     2.407801e-02   
70      2.694043e-01     6.615183e-02     1.000000e+00     7.043511e-03   
71      2.689026e-01     6.157723e-02     1.000000e+00     1.256309e-02   
72      2.688726e-01     8.635585e-02     2.500000e-01     2.224434e-02   
73      2.686187e-01     6.594955e-02     1.000000e+00     6.920188e-03   
74      2.681223e-01     6.153036e-02     1.000000e+00     1.196868e-02   
75      2.680918e-01     8.400500e-02     2.500000e-01     2.065120e-02   
76      2.678289e-01     6.578958e-02     1.000000e+00     6.825028e-03   
77      2.673373e-01     6.153362e-02     1.000000e+00     1.145935e-02   
78      2.673325e-01     8.201442e-02     5.000000e-01     1.926132e-02   
79      2.668028e-01     6.212100e-02     1.000000e+00     1.439981e-02   
80      2.667697e-01     9.253964e-02     2.500000e-01     2.647714e-02   
81      2.665313e-01     6.672105e-02     1.000000e+00     7.400509e-03   
82      2.660066e-01     6.197429e-02     1.000000e+00     1.366726e-02   
83      2.659748e-01     8.962971e-02     2.500000e-01     2.457467e-02   
84      2.657258e-01     6.653214e-02     1.000000e+00     7.254147e-03   
85      2.652057e-01     6.190243e-02     1.000000e+00     1.303808e-02   
86      2.651741e-01     8.716441e-02     2.500000e-01     2.291672e-02   
87      2.649155e-01     6.638556e-02     1.000000e+00     7.138258e-03   
88      2.643997e-01     6.188687e-02     1.000000e+00     1.249582e-02   
89      2.643676e-01     8.506709e-02     2.500000e-01     2.146518e-02   
90      2.641003e-01     6.627494e-02     1.000000e+00     7.046991e-03   
91      2.635882e-01     6.191398e-02     1.000000e+00     1.202713e-02   
92      2.635854e-01     8.327630e-02     5.000000e-01     2.018925e-02   
93      2.630366e-01     6.255161e-02     1.000000e+00     1.483099e-02   
94      2.630017e-01     9.308052e-02     2.500000e-01     2.695436e-02   
95      2.627581e-01     6.723764e-02     1.000000e+00     7.626788e-03   
96      2.622132e-01     6.244701e-02     1.000000e+00     1.417405e-02   
97      2.621794e-01     9.052485e-02     2.500000e-01     2.524917e-02   
98      2.619256e-01     6.709997e-02     1.000000e+00     7.490713e-03   
99      2.613843e-01     6.240438e-02     1.000000e+00     1.360467e-02   
100     2.613508e-01     8.833867e-02     2.500000e-01     2.375081e-02   
101     2.610878e-01     6.699792e-02     1.000000e+00     7.380932e-03   
102     2.605496e-01     6.240923e-02     1.000000e+00     1.310958e-02   
103     2.605158e-01     8.646149e-02     2.500000e-01     2.242850e-02   
104     2.602444e-01     6.692627e-02     1.000000e+00     7.292696e-03   
105     2.597090e-01     6.245068e-02     1.000000e+00     1.267788e-02   
106     2.597088e-01     8.484428e-02     5.000000e-01     2.125711e-02   
107     2.591387e-01     6.313024e-02     1.000000e+00     1.531881e-02   
108     2.591017e-01     9.386432e-02     2.500000e-01     2.751455e-02   
109     2.588528e-01     6.789445e-02     1.000000e+00     7.869150e-03   
110     2.582855e-01     6.305750e-02     1.000000e+00     1.473070e-02   
111     2.582495e-01     9.162014e-02     2.500000e-01     2.598910e-02   
112     2.579910e-01     6.779809e-02     1.000000e+00     7.742667e-03   
113     2.574264e-01     6.303603e-02     1.000000e+00     1.421636e-02   
114     2.573908e-01     8.968136e-02     2.500000e-01     2.463737e-02   
115     2.571233e-01     6.773147e-02     1.000000e+00     7.638774e-03   
116     2.565610e-01     6.305451e-02     1.000000e+00     1.376517e-02   
117     2.565252e-01     8.800067e-02     2.500000e-01     2.343478e-02   
118     2.562496e-01     6.769034e-02     1.000000e+00     7.553651e-03   
119     2.556891e-01     6.310429e-02     1.000000e+00     1.336832e-02   
120     2.556529e-01     8.653924e-02     2.500000e-01     2.236103e-02   
121     2.553696e-01     6.767114e-02     1.000000e+00     7.484212e-03   
122     2.548107e-01     6.317871e-02     1.000000e+00     1.301846e-02   
123     2.548049e-01     8.526505e-02     5.000000e-01     2.139920e-02   
124     2.542145e-01     6.374269e-02     1.000000e+00     1.524102e-02   
125     2.541764e-01     9.256457e-02     2.500000e-01     2.657585e-02   
126     2.539121e-01     6.855654e-02     1.000000e+00     7.985101e-03   
127     2.533236e-01     6.374020e-02     1.000000e+00     1.478157e-02   
128     2.532858e-01     9.086298e-02     2.500000e-01     2.536762e-02   
129     2.530130e-01     6.851919e-02     1.000000e+00     7.888662e-03   
130     2.524260e-01     6.377047e-02     1.000000e+00     1.437494e-02   
131     2.523882e-01     8.937332e-02     2.500000e-01     2.428372e-02   
132     2.521075e-01     6.850267e-02     1.000000e+00     7.808285e-03   
133     2.515218e-01     6.382679e-02     1.000000e+00     1.401415e-02   
134     2.514836e-01     8.806544e-02     2.500000e-01     2.330806e-02   
135     2.511954e-01     6.850412e-02     1.000000e+00     7.741492e-03   
136     2.506107e-01     6.390386e-02     1.000000e+00     1.369330e-02   
137     2.506068e-01     8.691416e-02     5.000000e-01     2.242710e-02   
138     2.499935e-01     6.445801e-02     1.000000e+00     1.566895e-02   
139     2.499534e-01     9.324017e-02     2.500000e-01     2.694038e-02   
140     2.496819e-01     6.933133e-02     1.000000e+00     8.205118e-03   
141     2.490699e-01     6.447279e-02     1.000000e+00     1.526269e-02   
142     2.490300e-01     9.176130e-02     2.500000e-01     2.586927e-02   
143     2.487505e-01     6.931722e-02     1.000000e+00     8.117535e-03   
144     2.481394e-01     6.451363e-02     1.000000e+00     1.489986e-02   
145     2.480994e-01     9.045344e-02     2.500000e-01     2.489995e-02   
146     2.478125e-01     6.931972e-02     1.000000e+00     8.043344e-03   
147     2.472020e-01     6.457541e-02     1.000000e+00     1.457501e-02   
148     2.471618e-01     8.929356e-02     2.500000e-01     2.401994e-02   
149     2.468677e-01     6.933648e-02     1.000000e+00     7.980623e-03   
150     2.462577e-01     6.465402e-02     1.000000e+00     1.428350e-02   
151     2.462540e-01     8.826218e-02     5.000000e-01     2.321862e-02   
152     2.456191e-01     6.515503e-02     1.000000e+00     1.595222e-02   
153     2.455771e-01     9.345767e-02     2.500000e-01     2.695807e-02   
154     2.452966e-01     7.007127e-02     1.000000e+00     8.382328e-03   
155     2.446624e-01     6.518657e-02     1.000000e+00     1.559802e-02   
156     2.446205e-01     9.219104e-02     2.500000e-01     2.601906e-02   
157     2.443325e-01     7.007550e-02     1.000000e+00     8.305084e-03   
158     2.436988e-01     6.523783e-02     1.000000e+00     1.527864e-02   
159     2.436568e-01     9.105891e-02     2.500000e-01     2.516136e-02   
160     2.433617e-01     7.009237e-02     1.000000e+00     8.238630e-03   
161     2.427282e-01     6.530503e-02     1.000000e+00     1.498992e-02   
162     2.426859e-01     9.004406e-02     2.500000e-01     2.437555e-02   
163     2.423841e-01     7.012002e-02     1.000000e+00     8.181537e-03   
164     2.417508e-01     6.538510e-02     1.000000e+00     1.472827e-02   
165     2.417446e-01     8.913182e-02     5.000000e-01     2.365351e-02   
166     2.410907e-01     6.579560e-02     1.000000e+00     1.603957e-02   
167     2.410471e-01     9.308543e-02     2.500000e-01     2.653381e-02   
168     2.407548e-01     7.073248e-02     1.000000e+00     8.498842e-03   
169     2.401011e-01     6.584329e-02     1.000000e+00     1.573622e-02   
170     2.400574e-01     9.202117e-02     2.500000e-01     2.572212e-02   
171     2.397582e-01     7.075069e-02     1.000000e+00     8.433258e-03   
172     2.391048e-01     6.590481e-02     1.000000e+00     1.545985e-02   
173     2.390608e-01     9.105911e-02     2.500000e-01     2.497329e-02   
174     2.387550e-01     7.077787e-02     1.000000e+00     8.375972e-03   
175     2.381016e-01     6.597749e-02     1.000000e+00     1.520736e-02   
176     2.380956e-01     9.018675e-02     5.000000e-01     2.428048e-02   
177     2.374251e-01     6.632685e-02     1.000000e+00     1.624893e-02   
178     2.373800e-01     9.324996e-02     2.500000e-01     2.652387e-02   
179     2.370805e-01     7.128708e-02     1.000000e+00     8.625234e-03   
180     2.364103e-01     6.637579e-02     1.000000e+00     1.596824e-02   
181     2.363650e-01     9.227788e-02     2.500000e-01     2.577238e-02   
182     2.360589e-01     7.130706e-02     1.000000e+00     8.563639e-03   
183     2.353887e-01     6.643572e-02     1.000000e+00     1.571035e-02   
184     2.353852e-01     9.139125e-02     5.000000e-01     2.507388e-02   
185     2.347007e-01     6.674682e-02     1.000000e+00     1.656378e-02   
186     2.346544e-01     9.385657e-02     2.500000e-01     2.687857e-02   
187     2.343521e-01     7.173669e-02     1.000000e+00     8.761795e-03   
188     2.336678e-01     6.678833e-02     1.000000e+00     1.628649e-02   
189     2.336214e-01     9.290385e-02     2.500000e-01     2.614157e-02   
190     2.333125e-01     7.175150e-02     1.000000e+00     8.698828e-03   
191     2.326284e-01     6.683989e-02     1.000000e+00     1.603022e-02   
192     2.326246e-01     9.202953e-02     5.000000e-01     2.545318e-02   
193     2.319291e-01     6.709093e-02     1.000000e+00     1.666782e-02   
194     2.318818e-01     9.382419e-02     2.500000e-01     2.676981e-02   
195     2.315739e-01     7.209051e-02     1.000000e+00     8.835448e-03   
196     2.308788e-01     6.713026e-02     1.000000e+00     1.640157e-02   
197     2.308773e-01     9.291880e-02     5.000000e-01     2.606418e-02   
198     2.301727e-01     6.735004e-02     1.000000e+00     1.691316e-02   
199     2.301246e-01     9.433181e-02     2.500000e-01     2.709737e-02   
200     2.298159e-01     7.237067e-02     1.000000e+00     8.933396e-03   
201     2.291116e-01     6.738090e-02     1.000000e+00     1.664276e-02   
202     2.291106e-01     9.341689e-02     5.000000e-01     2.638718e-02   
203     2.283988e-01     6.755959e-02     1.000000e+00     1.701575e-02   
204     2.283501e-01     9.441509e-02     2.500000e-01     2.711431e-02   
205     2.280387e-01     7.258846e-02     1.000000e+00     8.988599e-03   
206     2.273274e-01     6.758602e-02     1.000000e+00     1.674723e-02   
207     2.273248e-01     9.351246e-02     5.000000e-01     2.641282e-02   
208     2.266081e-01     6.771863e-02     1.000000e+00     1.697461e-02   
209     2.266076e-01     9.408219e-02     5.000000e-01     2.682284e-02   
210     2.258863e-01     6.783599e-02     1.000000e+00     1.714921e-02   
211     2.258368e-01     9.449764e-02     2.500000e-01     2.711817e-02   
212     2.255216e-01     7.287517e-02     1.000000e+00     9.060711e-03   
213     2.248009e-01     6.785526e-02     1.000000e+00     1.688158e-02   
214     2.247959e-01     9.360644e-02     5.000000e-01     2.642570e-02   
215     2.240729e-01     6.792553e-02     1.000000e+00     1.690757e-02   
216     2.240671e-01     9.359748e-02     5.000000e-01     2.640181e-02   
217     2.233425e-01     6.797840e-02     1.000000e+00     1.687626e-02   
218     2.233351e-01     9.342672e-02     5.000000e-01     2.625608e-02   
219     2.226099e-01     6.801464e-02     1.000000e+00     1.678798e-02   
220     2.225999e-01     9.309748e-02     5.000000e-01     2.598951e-02   
221     2.218749e-01     6.803577e-02     1.000000e+00     1.664400e-02   
222     2.218617e-01     9.261606e-02     5.000000e-01     2.560503e-02   
223     2.211378e-01     6.804403e-02     1.000000e+00     1.644655e-02   
224     2.211204e-01     9.199167e-02     5.000000e-01     2.510749e-02   
225     2.203986e-01     6.804226e-02     1.000000e+00     1.619875e-02   
226     2.203763e-01     9.123631e-02     5.000000e-01     2.450361e-02   
227     2.196573e-01     6.803376e-02     1.000000e+00     1.590462e-02   
228     2.196293e-01     9.036444e-02     5.000000e-01     2.380189e-02   
229     2.189141e-01     6.802211e-02     1.000000e+00     1.556899e-02   
230     2.188795e-01     8.939265e-02     5.000000e-01     2.301244e-02   
231     2.181690e-01     6.801097e-02     1.000000e+00     1.519739e-02   
232     2.181272e-01     8.833915e-02     5.000000e-01     2.214681e-02   
233     2.174221e-01     6.800391e-02     1.000000e+00     1.479593e-02   
234     2.173724e-01     8.722323e-02     5.000000e-01     2.121774e-02   
235     2.166735e-01     6.800419e-02     1.000000e+00     1.437116e-02   
236     2.166152e-01     8.606469e-02     5.000000e-01     2.023894e-02   
