NewtonCholesky with backtrack line search.

CUTEst problem................: BOX3
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 5.723741e-16
Gradient norm.........: 9.452048e-09
Total iterations......: 725
Total time in seconds.: 0.022388
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 78
Number of gradient evaluations..........: 726
Number of hessian evaluations...........: 725
Subproblem iterations...................: 9788
Subproblem time in seconds..............: 0.010427
How many times subproblem failed........: 0
Line search iterations..................: 78
Line search time in seconds.............: 0.003090
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       1.814588e-01     6.717702e+00     1.000000e+00     9.871898e-01   
2       2.212551e-02     1.299241e+00     1.000000e+00     3.790576e+00   
3       1.564183e-02     1.777791e-01     1.000000e+00     1.161335e+00   
4       1.283297e-02     1.346209e-01     1.000000e+00     4.761166e-01   
5       1.095639e-02     8.604936e-02     1.000000e+00     1.458227e-01   
6       9.501933e-03     7.172668e-02     1.000000e+00     4.335063e-01   
7       8.317054e-03     6.696961e-02     1.000000e+00     4.326439e-02   
8       7.328874e-03     5.703197e-02     1.000000e+00     3.280225e-01   
9       6.498331e-03     5.556434e-02     1.000000e+00     7.866294e-02   
10      5.790574e-03     4.841685e-02     1.000000e+00     2.480245e-01   
11      5.184856e-03     4.715547e-02     1.000000e+00     8.323623e-02   
12      4.661007e-03     4.193756e-02     1.000000e+00     1.937175e-01   
13      4.206346e-03     4.072474e-02     1.000000e+00     7.881531e-02   
14      3.808485e-03     3.677014e-02     1.000000e+00     1.564581e-01   
15      3.459248e-03     3.565223e-02     1.000000e+00     7.181929e-02   
16      3.150663e-03     3.254266e-02     1.000000e+00     1.300144e-01   
17      2.877259e-03     3.154833e-02     1.000000e+00     6.437960e-02   
18      2.633706e-03     2.902529e-02     1.000000e+00     1.105938e-01   
19      2.416233e-03     2.816118e-02     1.000000e+00     5.724472e-02   
20      2.221156e-03     2.605932e-02     1.000000e+00     9.591545e-02   
21      2.045811e-03     2.532094e-02     1.000000e+00     5.064928e-02   
22      1.887581e-03     2.352973e-02     1.000000e+00     8.457410e-02   
23      1.744545e-03     2.290851e-02     1.000000e+00     4.462200e-02   
24      1.614797e-03     2.135084e-02     1.000000e+00     7.567719e-02   
25      1.496926e-03     2.083778e-02     1.000000e+00     3.910735e-02   
26      1.389517e-03     1.945757e-02     1.000000e+00     6.864275e-02   
27      1.291516e-03     1.904490e-02     1.000000e+00     3.401603e-02   
28      1.201854e-03     1.779966e-02     1.000000e+00     6.308547e-02   
29      1.119733e-03     1.748164e-02     1.000000e+00     2.924556e-02   
30      1.044329e-03     1.633781e-02     1.000000e+00     5.875120e-02   
31      9.750326e-04     1.611119e-02     1.000000e+00     2.468746e-02   
32      9.112014e-04     1.504107e-02     1.000000e+00     5.547887e-02   
