NewtonCholesky with backtrack line search.

CUTEst problem................: BROWNAL
Number of variables...........: 10
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 10
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 1.469863e-03
Gradient norm.........: 7.518877e-02
Total iterations......: 1000
Total time in seconds.: 0.105503
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 17734
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 80000
Subproblem time in seconds..............: 0.069444
How many times subproblem failed........: 0
Line search iterations..................: 17734
Line search time in seconds.............: 0.028158
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       1.909080e-03     3.445424e+02     1.000000e+00     1.667754e+00   
2       1.863996e-03     1.428422e-01     6.250000e-02     1.882943e-02   
3       1.862248e-03     4.388791e-02     6.250000e-02     1.566885e-02   
4       1.852909e-03     2.066919e-02     3.051758e-05     1.093217e+03   
5       1.762029e-03     5.076603e-02     3.051758e-05     8.806014e+02   
6       1.625902e-03     6.281829e-02     3.814697e-06     5.664795e+03   
7       1.476557e-03     7.217378e-02     3.051758e-05     7.179784e+02   
8       1.475047e-03     7.845260e-02     3.814697e-06     1.453345e+03   
9       1.473795e-03     7.524865e-02     3.814697e-06     1.152577e+03   
10      1.473176e-03     7.766982e-02     3.814697e-06     8.986778e+02   
11      1.472718e-03     7.570443e-02     3.814697e-06     7.100402e+02   
12      1.472471e-03     7.720944e-02     3.814697e-06     5.551163e+02   
13      1.472300e-03     7.600155e-02     3.814697e-06     4.375837e+02   
14      1.472203e-03     7.693352e-02     3.814697e-06     3.426662e+02   
15      1.472137e-03     7.618998e-02     3.814697e-06     2.697312e+02   
16      1.472098e-03     7.676568e-02     3.814697e-06     2.114256e+02   
17      1.472072e-03     7.630733e-02     3.814697e-06     1.662809e+02   
18      1.472056e-03     7.666228e-02     3.814697e-06     1.304052e+02   
19      1.472045e-03     7.637934e-02     3.814697e-06     1.025093e+02   
20      1.472037e-03     7.659778e-02     3.814697e-06     8.041015e+01   
21      1.472031e-03     7.642282e-02     3.814697e-06     6.319429e+01   
22      1.472027e-03     7.655693e-02     3.814697e-06     4.956999e+01   
23      1.472023e-03     7.644849e-02     3.814697e-06     3.895663e+01   
24      1.472020e-03     7.653055e-02     3.814697e-06     3.055062e+01   
25      1.472017e-03     7.646310e-02     3.814697e-06     2.401497e+01   
26      1.472017e-03     7.651305e-02     7.629395e-06     1.882374e+01   
27      1.472013e-03     7.642876e-02     3.814697e-06     4.840545e+01   
28      1.472009e-03     7.653112e-02     3.814697e-06     3.795808e+01   
29      1.472006e-03     7.644772e-02     3.814697e-06     2.982771e+01   
30      1.472003e-03     7.651017e-02     3.814697e-06     2.338133e+01   
31      1.472003e-03     7.645816e-02     7.629395e-06     1.838035e+01   
32      1.471999e-03     7.653395e-02     3.814697e-06     4.719801e+01   
