NewtonCholesky with backtrack line search.

CUTEst problem................: BROWNDEN
Number of variables...........: 4
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 4
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 5.136087e+05
Gradient norm.........: 5.647020e+04
Total iterations......: 1000
Total time in seconds.: 0.065581
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 4558
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 20000
Subproblem time in seconds..............: 0.034434
How many times subproblem failed........: 0
Line search iterations..................: 4558
Line search time in seconds.............: 0.021177
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       6.568945e+06     2.140491e+06     3.125000e-02     5.589849e+02   
2       3.406642e+06     1.691442e+06     5.000000e-01     1.438041e+01   
3       2.767000e+06     4.312292e+05     6.250000e-02     1.488295e+02   
4       2.764991e+06     3.279201e+05     3.125000e-02     4.225356e+01   
5       2.754658e+06     3.279374e+05     6.250000e-02     1.748774e+01   
6       2.744745e+06     3.205357e+05     6.250000e-02     1.896204e+01   
7       2.735738e+06     3.165348e+05     6.250000e-02     1.929091e+01   
8       2.730325e+06     3.101332e+05     6.250000e-02     2.197667e+01   
9       2.722632e+06     3.083849e+05     6.250000e-02     2.362032e+01   
10      2.717053e+06     3.025772e+05     3.125000e-02     3.262966e+01   
11      2.712374e+06     3.024719e+05     1.250000e-01     1.128488e+01   
12      2.700788e+06     2.945885e+05     1.562500e-02     6.126129e+01   
13      2.589567e+06     2.939194e+05     1.000000e+00     2.953002e+00   
14      2.580417e+06     2.669528e+05     6.250000e-02     5.390491e+01   
15      2.563661e+06     2.539946e+05     3.125000e-02     6.713150e+01   
16      2.558700e+06     2.575130e+05     6.250000e-02     2.090266e+01   
17      2.554693e+06     2.531726e+05     3.125000e-02     3.095636e+01   
18      2.548708e+06     2.557986e+05     6.250000e-02     1.118645e+01   
19      2.543182e+06     2.532719e+05     6.250000e-02     1.342339e+01   
20      2.537665e+06     2.554047e+05     6.250000e-02     1.454423e+01   
21      2.534826e+06     2.524349e+05     6.250000e-02     1.789269e+01   
22      2.529952e+06     2.557621e+05     6.250000e-02     2.031144e+01   
23      2.525164e+06     2.520414e+05     3.125000e-02     2.848085e+01   
24      2.521654e+06     2.539856e+05     1.250000e-01     9.174256e+00   
25      2.518716e+06     2.515732e+05     1.953125e-03     3.416594e+02   
26      2.510105e+06     2.529476e+05     2.500000e-01     6.263516e+00   
27      2.505790e+06     2.574012e+05     6.250000e-02     3.817997e+01   
28      2.494820e+06     2.515929e+05     1.562500e-02     6.533081e+01   
29      2.391344e+06     2.521377e+05     1.000000e+00     1.374150e+00   
30      2.386990e+06     2.427449e+05     6.250000e-02     2.071843e+01   
31      2.381717e+06     2.395955e+05     3.125000e-02     2.804018e+01   
32      2.377612e+06     2.409991e+05     1.250000e-01     8.230995e+00   
