NewtonCholesky with backtrack line search.

CUTEst problem................: BRYBND
Number of variables...........: 10
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 10
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 1.271243e-05
Gradient norm.........: 2.594313e-03
Total iterations......: 1000
Total time in seconds.: 0.038567
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 0
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 80000
Subproblem time in seconds..............: 0.029053
How many times subproblem failed........: 0
Line search iterations..................: 0
Line search time in seconds.............: 0.003495
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       5.802679e+00     3.777301e+02     1.000000e+00     3.184462e+00   
2       3.770307e+00     2.465936e+01     1.000000e+00     1.354017e-01   
3       2.626529e+00     1.612071e+01     1.000000e+00     9.832046e-02   
4       1.583611e+00     1.220827e+01     1.000000e+00     1.033939e-01   
5       1.008780e+00     8.721673e+00     1.000000e+00     7.946913e-02   
6       5.912624e-01     6.635874e+00     1.000000e+00     7.369608e-02   
7       3.756729e-01     4.879736e+00     1.000000e+00     5.238468e-02   
8       2.262943e-01     3.805260e+00     1.000000e+00     4.595785e-02   
9       1.333309e-01     2.891805e+00     1.000000e+00     3.759386e-02   
10      7.811253e-02     2.176492e+00     1.000000e+00     2.972744e-02   
11      4.593922e-02     1.636260e+00     1.000000e+00     2.312530e-02   
12      2.720465e-02     1.235258e+00     1.000000e+00     1.792707e-02   
13      1.621641e-02     9.381283e-01     1.000000e+00     1.392229e-02   
14      9.715015e-03     7.165866e-01     1.000000e+00     1.084196e-02   
15      5.840097e-03     5.498968e-01     1.000000e+00     8.459899e-03   
16      4.638069e-03     4.233569e-01     1.000000e+00     6.062774e-03   
17      3.589216e-03     3.971224e-01     1.000000e+00     4.723519e-03   
18      2.896186e-03     3.604759e-01     1.000000e+00     4.142476e-03   
19      2.253185e-03     3.339867e-01     1.000000e+00     3.495480e-03   
20      1.745620e-03     2.998052e-01     1.000000e+00     3.045427e-03   
21      1.316729e-03     2.673913e-01     1.000000e+00     2.632669e-03   
22      9.818544e-04     2.338255e-01     1.000000e+00     2.275866e-03   
23      7.204579e-04     2.026339e-01     1.000000e+00     1.957659e-03   
24      5.244883e-04     1.735294e-01     1.000000e+00     1.673468e-03   
25      3.792971e-04     1.475652e-01     1.000000e+00     1.423529e-03   
26      2.741030e-04     1.246043e-01     1.000000e+00     1.204037e-03   
27      1.987072e-04     1.047422e-01     1.000000e+00     1.014282e-03   
28      1.453587e-04     8.771210e-02     1.000000e+00     8.510583e-04   
29      1.078923e-04     7.328852e-02     1.000000e+00     7.121786e-04   
30      8.176526e-05     6.115650e-02     1.000000e+00     5.946684e-04   
31      6.362009e-05     5.102806e-02     1.000000e+00     4.959769e-04   
32      5.105566e-05     4.261476e-02     1.000000e+00     4.135077e-04   
