NewtonCholesky with backtrack line search.

CUTEst problem................: CHEBYQAD
Number of variables...........: 10
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 10
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 4.772719e-03
Gradient norm.........: 5.903902e-05
Total iterations......: 1000
Total time in seconds.: 0.111405
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 0
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 80000
Subproblem time in seconds..............: 0.057105
How many times subproblem failed........: 0
Line search iterations..................: 0
Line search time in seconds.............: 0.021056
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       1.665925e-02     1.330073e+00     1.000000e+00     5.107752e-02   
2       1.459130e-02     6.675595e-01     1.000000e+00     1.619958e-02   
3       1.251516e-02     5.788678e-01     1.000000e+00     1.075196e-02   
4       1.153314e-02     3.801579e-01     1.000000e+00     5.729756e-03   
5       1.087107e-02     2.309668e-01     1.000000e+00     4.149740e-03   
6       1.043992e-02     1.744115e-01     1.000000e+00     3.123160e-03   
7       1.006508e-02     1.620762e-01     1.000000e+00     2.697704e-03   
8       9.759094e-03     1.472450e-01     1.000000e+00     2.353593e-03   
9       9.493916e-03     1.383140e-01     1.000000e+00     2.121976e-03   
10      9.266069e-03     1.292193e-01     1.000000e+00     1.928299e-03   
11      9.067489e-03     1.213790e-01     1.000000e+00     1.770517e-03   
12      8.894129e-03     1.140389e-01     1.000000e+00     1.633954e-03   
13      8.742015e-03     1.073196e-01     1.000000e+00     1.514946e-03   
14      8.604091e-03     1.010814e-01     1.000000e+00     1.935889e-03   
15      8.481001e-03     9.707191e-02     1.000000e+00     1.698158e-03   
16      8.374405e-03     9.076930e-02     1.000000e+00     1.556581e-03   
17      8.279937e-03     8.611242e-02     1.000000e+00     1.414329e-03   
18      8.196544e-03     8.128889e-02     1.000000e+00     1.302942e-03   
19      8.122471e-03     7.694999e-02     1.000000e+00     1.201790e-03   
20      8.056620e-03     7.280491e-02     1.000000e+00     1.114574e-03   
21      7.997928e-03     6.894333e-02     1.000000e+00     1.036117e-03   
22      7.945543e-03     6.530617e-02     1.000000e+00     9.659557e-04   
23      7.898707e-03     6.189597e-02     1.000000e+00     9.023211e-04   
24      7.856774e-03     5.869217e-02     1.000000e+00     8.444634e-04   
25      7.819176e-03     5.568518e-02     1.000000e+00     7.915410e-04   
26      7.785417e-03     5.286237e-02     1.000000e+00     7.429923e-04   
27      7.755060e-03     5.021362e-02     1.000000e+00     6.983167e-04   
28      7.727722e-03     4.772888e-02     1.000000e+00     6.571215e-04   
29      7.703063e-03     4.539905e-02     1.000000e+00     6.190707e-04   
30      7.680784e-03     4.321554e-02     1.000000e+00     5.838835e-04   
31      7.660620e-03     4.117033e-02     1.000000e+00     5.513183e-04   
32      7.642335e-03     3.925586e-02     1.000000e+00     5.211666e-04   
33      7.625722e-03     3.746505e-02     1.000000e+00     4.932462e-04   
34      7.610595e-03     3.579118e-02     1.000000e+00     4.673964e-04   
35      7.596791e-03     3.422792e-02     1.000000e+00     4.434745e-04   
36      7.584164e-03     3.276928e-02     1.000000e+00     4.213524e-04   
37      7.572583e-03     3.140956e-02     1.000000e+00     4.009145e-04   
38      7.561935e-03     3.014336e-02     1.000000e+00     3.820552e-04   
39      7.552117e-03     2.896552e-02     1.000000e+00     3.646781e-04   
40      7.543038e-03     2.787113e-02     1.000000e+00     3.486935e-04   
41      7.534616e-03     2.685549e-02     1.000000e+00     3.340180e-04   
42      7.526780e-03     2.591411e-02     1.000000e+00     3.205735e-04   
43      7.519466e-03     2.504270e-02     1.000000e+00     3.082859e-04   
44      7.512615e-03     2.423712e-02     1.000000e+00     2.970848e-04   
45      7.506178e-03     2.349341e-02     1.000000e+00     2.869028e-04   
46      7.500110e-03     2.280779e-02     1.000000e+00     2.776753e-04   
47      7.494369e-03     2.217661e-02     1.000000e+00     2.693400e-04   
48      7.488919e-03     2.159637e-02     1.000000e+00     2.618366e-04   
49      7.483729e-03     2.106373e-02     1.000000e+00     2.551070e-04   
50      7.478770e-03     2.057549e-02     1.000000e+00     2.490951e-04   
51      7.474017e-03     2.012859e-02     1.000000e+00     2.437467e-04   
52      7.469446e-03     1.972011e-02     1.000000e+00     2.390098e-04   
53      7.465038e-03     1.934729e-02     1.000000e+00     2.348347e-04   
54      7.460774e-03     1.900749e-02     1.000000e+00     2.311737e-04   
55      7.456638e-03     1.869824e-02     1.000000e+00     2.279819e-04   
56      7.452616e-03     1.841717e-02     1.000000e+00     2.252167e-04   
57      7.448695e-03     1.816208e-02     1.000000e+00     2.228380e-04   
58      7.444863e-03     1.793091e-02     1.000000e+00     2.208087e-04   
59      7.441110e-03     1.772172e-02     1.000000e+00     2.190939e-04   
60      7.437427e-03     1.753270e-02     1.000000e+00     2.176617e-04   
61      7.433806e-03     1.736217e-02     1.000000e+00     2.164824e-04   
62      7.430239e-03     1.720857e-02     1.000000e+00     2.155291e-04   
63      7.426719e-03     1.707047e-02     1.000000e+00     2.147771e-04   
64      7.423242e-03     1.694653e-02     1.000000e+00     2.142040e-04   
65      7.419801e-03     1.683553e-02     1.000000e+00     2.137896e-04   
66      7.416393e-03     1.673635e-02     1.000000e+00     2.135157e-04   
67      7.413011e-03     1.664796e-02     1.000000e+00     2.133659e-04   
68      7.409654e-03     1.656940e-02     1.000000e+00     2.133255e-04   
69      7.406317e-03     1.649982e-02     1.000000e+00     2.133814e-04   
70      7.402997e-03     1.643843e-02     1.000000e+00     2.135219e-04   
71      7.399692e-03     1.638451e-02     1.000000e+00     2.137368e-04   
72      7.396399e-03     1.633742e-02     1.000000e+00     2.140168e-04   
73      7.393116e-03     1.629656e-02     1.000000e+00     2.143539e-04   
74      7.389841e-03     1.626139e-02     1.000000e+00     2.147408e-04   
75      7.386572e-03     1.623142e-02     1.000000e+00     2.151714e-04   
76      7.383307e-03     1.620621e-02     1.000000e+00     2.156400e-04   
