NewtonCholesky with backtrack line search.

CUTEst problem................: GULF
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 5.540928e+00
Gradient norm.........: 2.956511e+00
Total iterations......: 1000
Total time in seconds.: 0.531104
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 7409
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 13500
Subproblem time in seconds..............: 0.142105
How many times subproblem failed........: 0
Line search iterations..................: 7409
Line search time in seconds.............: 0.285297
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       7.323865e+00     3.973160e+01     2.500000e-01     5.751879e+01   
2       7.235188e+00     1.229756e+01     5.000000e-01     9.898775e+00   
3       7.094233e+00     1.573250e+01     5.000000e-01     4.130554e+00   
4       6.936748e+00     7.700609e+00     2.500000e-01     7.528051e+00   
5       6.911177e+00     6.685990e+00     2.500000e-01     1.241189e+00   
6       6.903086e+00     3.195012e-01     7.812500e-03     3.554286e+01   
7       6.895712e+00     4.736506e+00     2.500000e-01     8.830659e-01   
8       6.887816e+00     4.710956e-01     3.906250e-03     6.318062e+01   
9       6.880622e+00     4.395229e+00     2.500000e-01     7.789926e-01   
10      6.872761e+00     7.485433e-01     4.882813e-04     3.146209e+02   
11      6.837143e+00     3.195546e+00     1.000000e+00     8.087618e-01   
12      6.821331e+00     6.023203e+00     2.500000e-01     1.182914e+00   
13      6.810140e+00     2.418305e-01     7.812500e-03     3.558894e+01   
14      6.802890e+00     4.387489e+00     2.500000e-01     7.534097e-01   
15      6.796559e+00     8.464949e-01     2.441406e-04     8.753965e+02   
16      6.787821e+00     4.035241e+00     2.500000e-01     6.118736e-01   
17      6.784651e+00     1.369752e+00     2.441406e-04     7.591528e+02   
18      6.776300e+00     4.091966e+00     2.500000e-01     6.297117e-01   
19      6.773723e+00     1.271971e+00     6.103516e-05     3.552498e+03   
20      6.766930e+00     4.415019e+00     2.500000e-01     7.658034e-01   
21      6.765917e+00     8.048543e-01     4.882813e-04     6.450992e+02   
22      6.757832e+00     5.302868e+00     2.500000e-01     1.076743e+00   
23      6.749605e+00     2.421465e-01     7.812500e-03     4.404242e+01   
24      6.742946e+00     5.087430e+00     2.500000e-01     1.027482e+00   
25      6.742029e+00     2.890797e-01     7.812500e-03     5.334731e+01   
26      6.728254e+00     6.046549e+00     2.500000e-01     1.286787e+00   
27      6.715241e+00     1.629450e-01     7.812500e-03     3.820118e+01   
28      6.708672e+00     4.249134e+00     2.500000e-01     7.059596e-01   
29      6.701993e+00     9.642942e-01     3.051758e-05     6.059661e+03   
30      6.657443e+00     3.508219e+00     1.000000e+00     4.968168e-01   
31      6.654914e+00     1.601159e+00     9.765625e-04     1.945853e+02   
32      6.647580e+00     4.100950e+00     2.500000e-01     6.200582e-01   
