NewtonCholesky with backtrack line search.

CUTEst problem................: JENSMP
Number of variables...........: 2
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 2
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 1.243622e+02
Gradient norm.........: 3.718569e-05
Total iterations......: 1000
Total time in seconds.: 0.069338
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 15858
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 8000
Subproblem time in seconds..............: 0.025223
How many times subproblem failed........: 0
Line search iterations..................: 15858
Line search time in seconds.............: 0.034397
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       1.127425e+03     9.370882e+04     1.000000e+00     5.577032e-02   
2       2.701375e+02     3.188290e+04     1.000000e+00     5.287046e-02   
3       1.413470e+02     8.646826e+03     1.000000e+00     5.048702e-02   
4       1.402591e+02     4.349001e+02     2.500000e-01     8.198431e-02   
5       1.376594e+02     1.320442e+03     5.000000e-01     1.886674e-02   
6       1.371161e+02     3.413256e+02     2.500000e-01     7.559638e-02   
7       1.349411e+02     1.223106e+03     5.000000e-01     2.078570e-02   
8       1.338143e+02     2.658986e+02     1.250000e-01     8.193616e-02   
9       1.323221e+02     6.796341e+02     1.000000e+00     4.707344e-03   
10      1.313522e+02     2.507824e+02     1.250000e-01     1.013096e-01   
11      1.306351e+02     7.293688e+02     5.000000e-01     1.227139e-02   
12      1.299204e+02     2.130094e+02     1.250000e-01     5.934653e-02   
13      1.292270e+02     4.855342e+02     1.000000e+00     3.996405e-03   
14      1.285370e+02     2.417288e+02     1.250000e-01     7.772830e-02   
15      1.282385e+02     5.434199e+02     5.000000e-01     1.068491e-02   
16      1.276997e+02     1.967536e+02     1.250000e-01     5.204799e-02   
17      1.273785e+02     3.855350e+02     5.000000e-01     4.693328e-03   
18      1.272192e+02     1.574445e+02     2.500000e-01     2.513084e-02   
19      1.271060e+02     4.575888e+02     5.000000e-01     1.041093e-02   
20      1.266420e+02     2.050063e+02     1.250000e-01     5.024927e-02   
21      1.264930e+02     3.409298e+02     5.000000e-01     5.963743e-03   
22      1.262265e+02     1.447708e+02     1.250000e-01     2.910774e-02   
23      1.258846e+02     2.343274e+02     1.000000e+00     2.424006e-03   
24      1.258338e+02     1.191681e+02     2.500000e-01     2.084643e-02   
25      1.255947e+02     3.578756e+02     2.500000e-01     1.034812e-02   
26      1.255412e+02     1.202130e+02     5.000000e-01     8.147528e-03   
27      1.253655e+02     3.089105e+02     2.500000e-01     8.998763e-03   
28      1.253403e+02     1.049072e+02     5.000000e-01     7.755684e-03   
29      1.251796e+02     2.920723e+02     2.500000e-01     9.068027e-03   
30      1.251228e+02     9.111251e+01     2.500000e-01     7.559673e-03   
31      1.250698e+02     1.706113e+02     5.000000e-01     2.751741e-03   
32      1.250326e+02     8.491055e+01     2.500000e-01     1.304355e-02   
