NewtonCholesky with backtrack line search.

CUTEst problem................: KOWOSB
Number of variables...........: 4
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 4
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 3.078009e-04
Gradient norm.........: 2.720007e-08
Total iterations......: 1000
Total time in seconds.: 0.040632
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 332
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 20000
Subproblem time in seconds..............: 0.027686
How many times subproblem failed........: 0
Line search iterations..................: 332
Line search time in seconds.............: 0.005165
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       2.350766e-03     1.343421e-01     2.500000e-01     9.784927e-01   
2       7.108645e-04     1.275349e-01     5.000000e-01     7.655228e-01   
3       3.404501e-04     7.919494e-02     1.000000e+00     1.059319e-01   
4       3.388544e-04     1.483132e-02     1.000000e+00     6.929383e-02   
5       3.130431e-04     4.880180e-03     5.000000e-01     9.784530e-02   
6       3.129141e-04     1.484054e-03     1.000000e+00     9.512349e-03   
7       3.126015e-04     4.022224e-04     5.000000e-01     1.089951e-02   
8       3.125007e-04     1.991868e-04     1.000000e+00     2.189709e-03   
9       3.124069e-04     1.571229e-04     1.000000e+00     2.238303e-03   
10      3.123238e-04     2.345134e-04     1.000000e+00     3.589185e-03   
11      3.122572e-04     1.879151e-04     1.000000e+00     4.148511e-03   
12      3.122243e-04     3.144155e-04     1.000000e+00     6.226442e-03   
13      3.120446e-04     2.987713e-04     5.000000e-01     7.774135e-03   
14      3.119542e-04     1.807614e-04     1.000000e+00     1.794576e-03   
15      3.118691e-04     1.469171e-04     1.000000e+00     1.768741e-03   
16      3.117919e-04     2.092432e-04     1.000000e+00     2.929639e-03   
17      3.117273e-04     1.667207e-04     1.000000e+00     3.364292e-03   
18      3.116876e-04     2.757373e-04     1.000000e+00     5.179665e-03   
19      3.116859e-04     2.556996e-04     1.000000e+00     6.507268e-03   
20      3.114749e-04     4.224520e-04     5.000000e-01     9.569328e-03   
21      3.114003e-04     1.423598e-04     1.000000e+00     1.712616e-03   
22      3.113337e-04     2.008368e-04     1.000000e+00     2.854795e-03   
23      3.112803e-04     1.627981e-04     1.000000e+00     3.362821e-03   
24      3.112541e-04     2.719247e-04     1.000000e+00     5.205583e-03   
25      3.111210e-04     2.622256e-04     5.000000e-01     6.686109e-03   
26      3.110512e-04     1.641223e-04     1.000000e+00     1.672418e-03   
27      3.109866e-04     1.338717e-04     1.000000e+00     1.752826e-03   
28      3.109308e-04     1.966015e-04     1.000000e+00     2.913584e-03   
29      3.108902e-04     1.636811e-04     1.000000e+00     3.541306e-03   
30      3.108819e-04     2.771145e-04     1.000000e+00     5.487633e-03   
31      3.107387e-04     2.822046e-04     5.000000e-01     7.219060e-03   
32      3.106786e-04     1.606742e-04     1.000000e+00     1.799541e-03   
