NewtonCholesky with backtrack line search.

CUTEst problem................: MEYER3
Number of variables...........: 3
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 3
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 1.127480e+05
Gradient norm.........: 3.763228e+04
Total iterations......: 1000
Total time in seconds.: 0.046362
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 6546
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 13500
Subproblem time in seconds..............: 0.017014
How many times subproblem failed........: 0
Line search iterations..................: 6546
Line search time in seconds.............: 0.022094
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       4.456854e+07     8.727669e+10     2.500000e-01     4.450993e+01   
2       2.562152e+07     1.566359e+10     6.250000e-02     3.078774e+01   
3       2.121543e+07     6.636379e+09     3.125000e-02     2.414412e+01   
4       1.990559e+07     2.586093e+08     6.250000e-02     2.584771e+01   
5       1.856405e+07     3.731457e+09     3.125000e-02     2.241991e+01   
6       1.785023e+07     2.089956e+09     3.906250e-03     9.174711e+01   
7       1.769387e+07     7.866111e+08     3.125000e-02     1.666006e+01   
8       1.769346e+07     2.154500e+09     7.812500e-03     8.312299e+01   
9       1.703034e+07     2.933297e+09     3.125000e-02     2.162580e+01   
10      1.645663e+07     2.357183e+09     7.812500e-03     7.026677e+01   
11      1.580679e+07     1.958554e+09     1.562500e-02     1.981181e+01   
12      1.552272e+07     3.483220e+08     3.125000e-02     2.773744e+01   
13      1.498740e+07     2.676432e+09     3.125000e-02     2.155941e+01   
14      1.436726e+07     2.273888e+09     7.812500e-03     6.874295e+01   
15      1.380630e+07     1.718131e+09     1.562500e-02     1.943999e+01   
16      1.352461e+07     4.010349e+08     1.562500e-02     3.042096e+01   
17      1.304392e+07     1.530462e+09     1.562500e-02     1.896331e+01   
18      1.299867e+07     4.646650e+08     1.562500e-02     3.515684e+01   
19      1.294700e+07     2.008884e+09     3.125000e-02     2.050091e+01   
20      1.206579e+07     2.317923e+09     7.812500e-03     6.271000e+01   
21      1.174066e+07     1.132547e+09     1.562500e-02     1.762138e+01   
22      1.161989e+07     5.709285e+08     7.812500e-03     4.792572e+01   
23      1.121061e+07     1.341573e+09     1.562500e-02     1.852754e+01   
24      1.101562e+07     4.840877e+08     7.812500e-03     3.799115e+01   
25      1.076017e+07     9.160738e+08     1.562500e-02     1.669017e+01   
26      1.074961e+07     5.893891e+08     7.812500e-03     5.276342e+01   
27      1.023181e+07     1.533016e+09     1.562500e-02     1.940997e+01   
28      1.010056e+07     3.616179e+08     1.562500e-02     2.795586e+01   
29      9.663467e+06     1.368612e+09     1.562500e-02     1.887794e+01   
30      9.485208e+06     4.197644e+08     7.812500e-03     3.271069e+01   
31      9.289783e+06     7.053836e+08     1.562500e-02     1.555641e+01   
32      9.110700e+06     5.667795e+08     3.906250e-03     5.240768e+01   
33      8.938866e+06     4.712187e+08     1.562500e-02     1.412857e+01   
34      8.873003e+06     5.090534e+08     7.812500e-03     4.371826e+01   
35      8.540488e+06     1.137238e+09     1.562500e-02     1.802107e+01   
36      8.444808e+06     4.750961e+08     7.812500e-03     3.967399e+01   
37      8.180707e+06     9.763612e+08     1.562500e-02     1.721356e+01   
38      8.171143e+06     5.126429e+08     7.812500e-03     4.570113e+01   
39      7.798076e+06     1.204933e+09     1.562500e-02     1.849893e+01   
40      7.683030e+06     4.246380e+08     7.812500e-03     3.444177e+01   
41      7.490275e+06     7.761055e+08     1.562500e-02     1.603931e+01   
42      7.339974e+06     5.287506e+08     3.906250e-03     5.025739e+01   
43      7.202492e+06     4.271249e+08     1.562500e-02     1.347684e+01   
44      7.171988e+06     4.708117e+08     7.812500e-03     4.114532e+01   
45      6.884657e+06     1.020942e+09     1.562500e-02     1.768738e+01   
46      6.856617e+06     4.614473e+08     7.812500e-03     4.033184e+01   
47      6.583430e+06     9.878496e+08     1.562500e-02     1.754741e+01   
48      6.575373e+06     4.622042e+08     7.812500e-03     4.100681e+01   
49      6.289830e+06     1.008904e+09     1.562500e-02     1.774074e+01   
50      6.270657e+06     4.461923e+08     7.812500e-03     3.915138e+01   
51      6.017596e+06     9.394283e+08     1.562500e-02     1.735561e+01   
52      5.892820e+06     4.586732e+08     3.906250e-03     4.162890e+01   
53      5.880195e+06     2.878749e+08     3.125000e-02     1.198332e+01   
54      5.534933e+06     1.022611e+09     9.765625e-04     3.151743e+02   
55      5.427306e+06     4.859240e+08     1.562500e-02     1.372243e+01   
56      5.309707e+06     4.681931e+08     3.906250e-03     4.480929e+01   
57      5.212012e+06     3.338068e+08     1.562500e-02     1.219498e+01   
58      5.185632e+06     4.024517e+08     7.812500e-03     3.475839e+01   
59      5.002039e+06     7.790343e+08     1.562500e-02     1.639511e+01   
60      4.891134e+06     4.653109e+08     3.906250e-03     4.558379e+01   
61      4.802632e+06     3.435905e+08     1.562500e-02     1.218214e+01   
62      4.800712e+06     4.040646e+08     7.812500e-03     3.567822e+01   
63      4.604527e+06     8.060881e+08     1.562500e-02     1.670694e+01   
64      4.499765e+06     4.484371e+08     3.906250e-03     4.359144e+01   
65      4.418840e+06     3.131927e+08     1.562500e-02     1.174562e+01   
66      4.406783e+06     3.826676e+08     7.812500e-03     3.330933e+01   
67      4.245513e+06     7.259308e+08     1.562500e-02     1.611059e+01   
68      4.146935e+06     4.523162e+08     3.906250e-03     4.562156e+01   
69      4.073915e+06     3.402820e+08     1.562500e-02     1.197094e+01   
70      3.980870e+06     3.945826e+08     3.906250e-03     3.571065e+01   
71      3.972872e+06     2.056072e+08     3.125000e-02     1.033569e+01   
72      3.727074e+06     7.853079e+08     3.051758e-05     6.593301e+03   
73      3.641565e+06     1.384230e+08     3.125000e-02     9.520137e+00   
74      3.500933e+06     5.725763e+08     1.953125e-03     9.437933e+01   
75      3.439346e+06     2.537637e+08     1.562500e-02     1.068218e+01   
76      3.418699e+06     3.338100e+08     7.812500e-03     2.834492e+01   
77      3.319833e+06     5.671892e+08     1.562500e-02     1.471361e+01   
78      3.237680e+06     4.383078e+08     3.906250e-03     4.650053e+01   
79      3.182777e+06     3.458198e+08     1.562500e-02     1.188384e+01   
80      3.101117e+06     3.866352e+08     3.906250e-03     3.666464e+01   
81      3.045918e+06     2.167866e+08     1.562500e-02     9.999900e+00   
82      3.015369e+06     3.011056e+08     7.812500e-03     2.491525e+01   
83      2.947579e+06     4.668236e+08     1.562500e-02     1.354637e+01   
84      2.870071e+06     4.203930e+08     3.906250e-03     4.421045e+01   
85      2.823843e+06     3.120287e+08     1.562500e-02     1.133415e+01   
86      2.748855e+06     3.652700e+08     3.906250e-03     3.407245e+01   
87      2.698870e+06     1.848917e+08     1.562500e-02     9.345606e+00   
88      2.663348e+06     2.696910e+08     7.812500e-03     2.182762e+01   
89      2.615663e+06     3.817371e+08     1.562500e-02     1.237613e+01   
90      2.541815e+06     3.925899e+08     3.906250e-03     3.977563e+01   
91      2.502358e+06     2.530718e+08     1.562500e-02     1.031954e+01   
92      2.437159e+06     3.253913e+08     3.906250e-03     2.875908e+01   
93      2.413512e+06     1.255749e+08     3.125000e-02     8.269348e+00   
94      2.290062e+06     5.246374e+08     1.953125e-03     8.860268e+01   
95      2.253421e+06     2.030876e+08     1.562500e-02     9.372206e+00   
96      2.240484e+06     2.839246e+08     7.812500e-03     2.380530e+01   
97      2.189113e+06     4.355935e+08     1.562500e-02     1.323655e+01   
98      2.123927e+06     3.985152e+08     3.906250e-03     4.314597e+01   
99      2.093752e+06     2.913127e+08     1.562500e-02     1.087806e+01   
