NewtonCholesky with backtrack line search.

CUTEst problem................: OSBORNEA
Number of variables...........: 5
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 5
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 3.882328e-02
Gradient norm.........: 1.138670e+00
Total iterations......: 1000
Total time in seconds.: 0.060892
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 0
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 27500
Subproblem time in seconds..............: 0.034797
How many times subproblem failed........: 0
Line search iterations..................: 0
Line search time in seconds.............: 0.008239
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       2.533041e-01     4.188115e+02     1.000000e+00     2.842066e-03   
2       1.697039e-01     1.129398e+02     1.000000e+00     1.367981e-03   
3       1.628615e-01     2.124708e+01     1.000000e+00     6.709753e-04   
4       1.603302e-01     7.229031e+00     1.000000e+00     4.846680e-04   
5       1.578986e-01     7.277200e+00     1.000000e+00     4.817574e-04   
6       1.555323e-01     7.018832e+00     1.000000e+00     4.898964e-04   
7       1.532510e-01     6.726147e+00     1.000000e+00     4.963896e-04   
8       1.510742e-01     6.421155e+00     1.000000e+00     5.004686e-04   
9       1.490196e-01     6.108193e+00     1.000000e+00     5.018332e-04   
10      1.471019e-01     5.791289e+00     1.000000e+00     5.002452e-04   
11      1.453328e-01     5.474602e+00     1.000000e+00     4.955329e-04   
12      1.437196e-01     5.162296e+00     1.000000e+00     4.876074e-04   
13      1.422659e-01     4.858395e+00     1.000000e+00     4.764760e-04   
14      1.409709e-01     4.566630e+00     1.000000e+00     4.622499e-04   
15      1.398298e-01     4.290301e+00     1.000000e+00     4.451455e-04   
16      1.388346e-01     4.032163e+00     1.000000e+00     4.254773e-04   
17      1.379745e-01     3.794334e+00     1.000000e+00     4.036446e-04   
18      1.372365e-01     3.578235e+00     1.000000e+00     3.801112e-04   
19      1.366065e-01     3.384575e+00     1.000000e+00     3.553821e-04   
20      1.360700e-01     3.213369e+00     1.000000e+00     3.299784e-04   
21      1.356128e-01     3.064001e+00     1.000000e+00     3.044130e-04   
22      1.352212e-01     2.935318e+00     1.000000e+00     2.791696e-04   
23      1.348827e-01     2.825749e+00     1.000000e+00     2.546871e-04   
24      1.345863e-01     2.733446e+00     1.000000e+00     2.313478e-04   
25      1.343224e-01     2.656412e+00     1.000000e+00     2.094718e-04   
26      1.340828e-01     2.592625e+00     1.000000e+00     1.893154e-04   
27      1.338609e-01     2.540135e+00     1.000000e+00     1.710715e-04   
28      1.336512e-01     2.497134e+00     1.000000e+00     1.548717e-04   
29      1.334495e-01     2.462001e+00     1.000000e+00     1.407876e-04   
30      1.332525e-01     2.433318e+00     1.000000e+00     1.288308e-04   
31      1.330577e-01     2.409878e+00     1.000000e+00     1.189516e-04   
32      1.328635e-01     2.390665e+00     1.000000e+00     1.110389e-04   
33      1.326684e-01     2.374841e+00     1.000000e+00     1.049239e-04   
34      1.324718e-01     2.361723e+00     1.000000e+00     1.003911e-04   
35      1.322730e-01     2.350759e+00     1.000000e+00     9.719606e-05   
36      1.320719e-01     2.341505e+00     1.000000e+00     9.508621e-05   
37      1.318682e-01     2.333608e+00     1.000000e+00     9.382121e-05   
38      1.316621e-01     2.326789e+00     1.000000e+00     9.318733e-05   
39      1.314537e-01     2.320825e+00     1.000000e+00     9.300508e-05   
40      1.312431e-01     2.315542e+00     1.000000e+00     9.313073e-05   
41      1.310305e-01     2.310803e+00     1.000000e+00     9.345365e-05   
42      1.308161e-01     2.306498e+00     1.000000e+00     9.389156e-05   
43      1.306002e-01     2.302542e+00     1.000000e+00     9.438517e-05   
44      1.303830e-01     2.298867e+00     1.000000e+00     9.489310e-05   
45      1.301646e-01     2.295420e+00     1.000000e+00     9.538755e-05   
46      1.299453e-01     2.292158e+00     1.000000e+00     9.585068e-05   
47      1.297253e-01     2.289049e+00     1.000000e+00     9.627192e-05   
48      1.295046e-01     2.286064e+00     1.000000e+00     9.664578e-05   
49      1.292835e-01     2.283182e+00     1.000000e+00     9.697030e-05   
50      1.290621e-01     2.280386e+00     1.000000e+00     9.724589e-05   
51      1.288405e-01     2.277662e+00     1.000000e+00     9.747448e-05   
52      1.286188e-01     2.274999e+00     1.000000e+00     9.765892e-05   
53      1.283971e-01     2.272387e+00     1.000000e+00     9.780258e-05   
54      1.281754e-01     2.269819e+00     1.000000e+00     9.790904e-05   
55      1.279539e-01     2.267289e+00     1.000000e+00     9.798188e-05   
56      1.277326e-01     2.264791e+00     1.000000e+00     9.802458e-05   
57      1.275116e-01     2.262321e+00     1.000000e+00     9.804045e-05   
58      1.272908e-01     2.259875e+00     1.000000e+00     9.803253e-05   
59      1.270705e-01     2.257452e+00     1.000000e+00     9.800365e-05   
60      1.268504e-01     2.255047e+00     1.000000e+00     9.795633e-05   
61      1.266308e-01     2.252660e+00     1.000000e+00     9.789288e-05   
62      1.264117e-01     2.250288e+00     1.000000e+00     9.781534e-05   
63      1.261930e-01     2.247929e+00     1.000000e+00     9.772554e-05   
64      1.259747e-01     2.245583e+00     1.000000e+00     9.762509e-05   
65      1.257570e-01     2.243249e+00     1.000000e+00     9.751542e-05   
66      1.255398e-01     2.240925e+00     1.000000e+00     9.739777e-05   
67      1.253230e-01     2.238611e+00     1.000000e+00     9.727326e-05   
68      1.251069e-01     2.236305e+00     1.000000e+00     9.714284e-05   
69      1.248912e-01     2.234009e+00     1.000000e+00     9.700735e-05   
70      1.246761e-01     2.231720e+00     1.000000e+00     9.686754e-05   
71      1.244615e-01     2.229438e+00     1.000000e+00     9.672404e-05   
72      1.242475e-01     2.227164e+00     1.000000e+00     9.657742e-05   
73      1.240340e-01     2.224896e+00     1.000000e+00     9.642814e-05   
74      1.238211e-01     2.222635e+00     1.000000e+00     9.627665e-05   
75      1.236088e-01     2.220380e+00     1.000000e+00     9.612330e-05   
76      1.233970e-01     2.218131e+00     1.000000e+00     9.596841e-05   
77      1.231858e-01     2.215888e+00     1.000000e+00     9.581226e-05   
78      1.229751e-01     2.213651e+00     1.000000e+00     9.565508e-05   
79      1.227650e-01     2.211419e+00     1.000000e+00     9.549708e-05   
80      1.225555e-01     2.209193e+00     1.000000e+00     9.533844e-05   
81      1.223465e-01     2.206971e+00     1.000000e+00     9.517932e-05   
82      1.221381e-01     2.204755e+00     1.000000e+00     9.501984e-05   
83      1.219303e-01     2.202544e+00     1.000000e+00     9.486013e-05   
84      1.217230e-01     2.200339e+00     1.000000e+00     9.470028e-05   
85      1.215162e-01     2.198138e+00     1.000000e+00     9.454037e-05   
86      1.213101e-01     2.195942e+00     1.000000e+00     9.438049e-05   
87      1.211044e-01     2.193750e+00     1.000000e+00     9.422068e-05   
88      1.208994e-01     2.191564e+00     1.000000e+00     9.406102e-05   
89      1.206948e-01     2.189382e+00     1.000000e+00     9.390155e-05   
