NewtonCholesky with backtrack line search.

CUTEst problem................: OSBORNEB
Number of variables...........: 11
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 11
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 1.633400e-01
Gradient norm.........: 4.264734e-01
Total iterations......: 1000
Total time in seconds.: 0.476021
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 5194
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 93500
Subproblem time in seconds..............: 0.293100
How many times subproblem failed........: 0
Line search iterations..................: 5194
Line search time in seconds.............: 0.119205
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       3.102431e+00     6.487567e+00     9.765625e-04     2.305659e+02   
2       2.928137e+00     7.032972e+00     4.882813e-04     1.356555e+03   
3       2.794217e+00     8.588488e+00     1.250000e-01     7.337305e+00   
4       2.725491e+00     6.663468e+00     7.812500e-03     1.490275e+01   
5       2.659429e+00     5.360629e+00     7.812500e-03     1.406808e+01   
6       2.617016e+00     6.387059e+00     1.562500e-02     5.682182e+00   
7       2.615731e+00     5.376143e+00     1.562500e-02     7.793873e+00   
8       2.573458e+00     6.979515e+00     3.906250e-03     3.215745e+01   
9       2.561942e+00     4.872519e+00     1.562500e-02     3.457414e+00   
10      2.553709e+00     5.220593e+00     7.812500e-03     8.190561e+00   
11      2.542354e+00     5.545019e+00     3.906250e-03     1.418922e+01   
12      2.532581e+00     5.224667e+00     7.812500e-03     6.273741e+00   
13      2.523052e+00     5.465150e+00     3.906250e-03     1.089163e+01   
14      2.519401e+00     5.217586e+00     1.562500e-02     4.912917e+00   
15      2.506900e+00     5.639960e+00     3.906250e-03     2.674992e+01   
16      2.497796e+00     5.062658e+00     7.812500e-03     9.618477e+00   
17      2.480853e+00     4.782110e+00     3.906250e-03     1.897157e+01   
18      2.474944e+00     5.043765e+00     7.812500e-03     1.015827e+01   
19      2.459208e+00     4.766337e+00     3.906250e-03     2.196649e+01   
20      2.458880e+00     5.110056e+00     7.812500e-03     1.273681e+01   
21      2.448119e+00     4.801136e+00     3.906250e-03     3.052933e+01   
22      2.406487e+00     5.386807e+00     3.906250e-03     1.856513e+01   
23      2.398649e+00     4.684980e+00     7.812500e-03     5.035868e+00   
24      2.385750e+00     4.942122e+00     3.906250e-03     1.091859e+01   
25      2.381882e+00     4.648094e+00     7.812500e-03     6.347482e+00   
26      2.364907e+00     4.997633e+00     3.906250e-03     1.397625e+01   
27      2.357337e+00     4.610087e+00     3.906250e-03     8.598552e+00   
28      2.354620e+00     4.771652e+00     7.812500e-03     7.204702e+00   
29      2.349275e+00     4.599130e+00     3.906250e-03     2.102373e+01   
30      2.328588e+00     5.035311e+00     3.906250e-03     1.756799e+01   
31      2.321891e+00     4.554372e+00     3.906250e-03     1.277904e+01   
32      2.311876e+00     4.808397e+00     3.906250e-03     1.189140e+01   
33      2.305205e+00     4.536635e+00     3.906250e-03     1.036253e+01   
34      2.296909e+00     4.735998e+00     3.906250e-03     1.019268e+01   
35      2.290301e+00     4.518553e+00     3.906250e-03     9.462113e+00   
36      2.282576e+00     4.694710e+00     3.906250e-03     9.685758e+00   
37      2.276008e+00     4.498944e+00     3.906250e-03     9.356162e+00   
38      2.268473e+00     4.667360e+00     3.906250e-03     9.849846e+00   
39      2.261904e+00     4.478516e+00     3.906250e-03     9.762568e+00   
40      2.254360e+00     4.647847e+00     3.906250e-03     1.044882e+01   
41      2.247674e+00     4.458315e+00     3.906250e-03     1.047527e+01   
42      2.239970e+00     4.631644e+00     3.906250e-03     1.125338e+01   
43      2.232886e+00     4.439185e+00     3.906250e-03     1.119906e+01   
44      2.224900e+00     4.611816e+00     3.906250e-03     1.187979e+01   
45      2.216900e+00     4.420827e+00     3.906250e-03     1.142096e+01   
46      2.208568e+00     4.576845e+00     3.906250e-03     1.166150e+01   
47      2.199231e+00     4.400793e+00     3.906250e-03     1.039505e+01   
48      2.190635e+00     4.515324e+00     3.906250e-03     9.746916e+00   
49      2.186382e+00     4.376885e+00     7.812500e-03     7.569018e+00   
50      2.166671e+00     4.663114e+00     3.906250e-03     1.794841e+01   
51      2.152537e+00     4.370306e+00     7.812500e-03     9.164445e+00   
52      2.120099e+00     4.572670e+00     6.250000e-02     1.792704e+00   
53      2.090175e+00     5.008732e+00     3.906250e-03     3.744404e+01   
54      1.744603e+00     4.292290e+00     1.250000e-01     6.141081e+00   
55      1.442402e+00     5.551132e+00     1.250000e-01     4.107698e+00   
56      1.411423e+00     3.888373e+00     6.250000e-02     2.200994e+00   
57      1.378952e+00     4.165093e+00     6.250000e-02     2.497744e+00   
58      1.340555e+00     3.761674e+00     6.250000e-02     2.764029e+00   
59      1.302934e+00     4.072824e+00     6.250000e-02     3.723070e+00   
60      1.187860e+00     3.617665e+00     6.250000e-02     4.017217e+00   
61      1.129334e+00     3.611027e+00     6.250000e-02     3.429114e+00   
62      1.047689e+00     3.305685e+00     6.250000e-02     3.014104e+00   
63      1.000861e+00     3.307876e+00     6.250000e-02     2.247357e+00   
64      9.530875e-01     2.997656e+00     6.250000e-02     1.855215e+00   
65      9.193618e-01     3.026385e+00     6.250000e-02     1.288359e+00   
66      9.013336e-01     2.800200e+00     1.250000e-01     1.038846e+00   
67      8.654463e-01     3.055282e+00     6.250000e-02     2.441844e+00   
68      8.299946e-01     2.616368e+00     6.250000e-02     1.765711e+00   
69      8.069651e-01     2.676977e+00     6.250000e-02     1.226788e+00   
70      7.971812e-01     2.432982e+00     1.250000e-01     8.398516e-01   
71      7.700936e-01     2.689962e+00     6.250000e-02     2.071038e+00   
72      7.468863e-01     2.276400e+00     6.250000e-02     1.340278e+00   
73      7.312948e-01     2.342710e+00     6.250000e-02     9.662361e-01   
74      7.191023e-01     2.149691e+00     1.250000e-01     5.661911e-01   
75      7.017805e-01     2.309868e+00     6.250000e-02     1.467111e+00   
76      6.879565e-01     2.018486e+00     6.250000e-02     8.408726e-01   
