NewtonCholesky with backtrack line search.

CUTEst problem................: PENALTY2
Number of variables...........: 4
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 4
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 9.558868e-06
Gradient norm.........: 1.719710e-06
Total iterations......: 1000
Total time in seconds.: 0.054558
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 4809
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 20000
Subproblem time in seconds..............: 0.029214
How many times subproblem failed........: 0
Line search iterations..................: 4809
Line search time in seconds.............: 0.015308
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       2.508943e-01     1.687483e+01     1.000000e+00     2.294369e-01   
2       1.804931e-02     4.180529e+00     1.000000e+00     1.037479e-01   
3       2.309426e-03     7.588626e-01     1.000000e+00     6.175852e-02   
4       9.846125e-05     1.497605e-01     1.000000e+00     5.073771e-02   
5       1.593455e-05     5.821139e-02     1.562500e-02     5.277648e-01   
6       1.520638e-05     6.237755e-03     1.562500e-02     5.590448e-02   
7       1.509092e-05     1.061534e-02     3.125000e-02     1.338998e-02   
8       1.506372e-05     7.933447e-03     3.125000e-02     2.271931e-02   
9       1.474463e-05     1.167067e-02     1.562500e-02     3.132012e-02   
10      1.463464e-05     8.645695e-03     6.250000e-02     8.799904e-03   
11      1.434447e-05     1.118277e-02     1.562500e-02     2.969192e-02   
12      1.423349e-05     8.312180e-03     6.250000e-02     8.277499e-03   
13      1.397497e-05     1.068447e-02     1.562500e-02     2.774678e-02   
14      1.385998e-05     7.997803e-03     6.250000e-02     7.698066e-03   
15      1.363384e-05     1.018268e-02     1.562500e-02     2.558252e-02   
16      1.351363e-05     7.700339e-03     6.250000e-02     7.084485e-03   
17      1.331896e-05     9.683885e-03     1.562500e-02     2.328975e-02   
18      1.319370e-05     7.417769e-03     6.250000e-02     6.457127e-03   
19      1.302835e-05     9.193792e-03     1.562500e-02     2.094838e-02   
20      1.289916e-05     7.148308e-03     6.250000e-02     5.833334e-03   
21      1.276021e-05     8.717199e-03     1.562500e-02     1.862585e-02   
22      1.273261e-05     6.890416e-03     1.250000e-01     5.227242e-03   
23      1.233815e-05     9.713307e-03     1.562500e-02     3.770282e-02   
24      1.227081e-05     6.098280e-03     3.125000e-02     9.112565e-03   
25      1.222640e-05     7.488555e-03     3.125000e-02     1.138171e-02   
26      1.211446e-05     5.264083e-03     1.562500e-02     1.829803e-02   
27      1.210477e-05     6.725249e-03     1.250000e-01     3.328073e-03   
28      1.178088e-05     3.782824e-03     1.562500e-02     3.610103e-02   
29      1.172920e-05     6.578292e-03     3.125000e-02     7.455364e-03   
30      1.169950e-05     5.053360e-03     3.125000e-02     1.235145e-02   
31      1.159976e-05     7.059253e-03     1.562500e-02     1.614693e-02   
32      1.159498e-05     5.479393e-03     1.250000e-01     4.268853e-03   
33      1.133063e-05     7.811914e-03     1.562500e-02     3.065626e-02   
34      1.128666e-05     4.866374e-03     3.125000e-02     7.100756e-03   
35      1.125555e-05     5.946308e-03     3.125000e-02     8.691531e-03   
36      1.125076e-05     4.235349e-03     3.125000e-02     1.383163e-02   
37      1.113951e-05     6.534374e-03     1.562500e-02     1.831470e-02   
38      1.109547e-05     4.758596e-03     6.250000e-02     4.516298e-03   
39      1.101714e-05     6.038103e-03     1.562500e-02     1.454810e-02   
40      1.096089e-05     4.617171e-03     6.250000e-02     3.696304e-03   
41      1.095482e-05     5.606408e-03     3.125000e-02     1.148700e-02   
42      1.086472e-05     3.447491e-03     1.562500e-02     1.757174e-02   
43      1.082968e-05     4.853326e-03     6.250000e-02     3.138916e-03   
44      1.076377e-05     3.463161e-03     1.562500e-02     1.446453e-02   
45      1.071920e-05     4.621592e-03     6.250000e-02     2.473182e-03   
46      1.071699e-05     3.464499e-03     3.125000e-02     1.177724e-02   
47      1.063764e-05     5.427271e-03     1.562500e-02     1.546834e-02   
48      1.060678e-05     3.926582e-03     6.250000e-02     3.698210e-03   
49      1.055411e-05     4.972537e-03     1.562500e-02     1.180782e-02   
50      1.054730e-05     3.817067e-03     1.250000e-01     2.934296e-03   
51      1.042243e-05     5.413383e-03     1.562500e-02     2.077486e-02   
52      1.039997e-05     3.411441e-03     3.125000e-02     4.600135e-03   
53      1.038245e-05     4.102083e-03     3.125000e-02     5.449140e-03   
54      1.037428e-05     3.012240e-03     3.125000e-02     8.621251e-03   
55      1.032933e-05     4.432159e-03     1.562500e-02     1.110696e-02   
56      1.029954e-05     3.347601e-03     6.250000e-02     2.682736e-03   
57      1.029518e-05     4.066617e-03     3.125000e-02     8.243161e-03   
58      1.024863e-05     2.512287e-03     1.562500e-02     1.244106e-02   
59      1.022643e-05     3.507636e-03     6.250000e-02     2.074469e-03   
60      1.019532e-05     2.564349e-03     1.562500e-02     9.610273e-03   
61      1.018191e-05     3.333107e-03     1.250000e-01     1.508793e-03   
62      1.011107e-05     1.943163e-03     1.562500e-02     1.623594e-02   
63      1.009637e-05     3.209987e-03     3.125000e-02     2.851231e-03   
64      1.008454e-05     2.599316e-03     3.125000e-02     4.756030e-03   
65      1.007754e-05     3.348256e-03     3.125000e-02     5.826423e-03   
66      1.005165e-05     2.225728e-03     1.562500e-02     8.866986e-03   
67      1.004464e-05     2.935528e-03     1.250000e-01     1.381106e-03   
68      9.986475e-06     1.684064e-03     1.562500e-02     1.470858e-02   
69      9.975128e-06     2.826519e-03     3.125000e-02     2.546373e-03   
70      9.966003e-06     2.282423e-03     3.125000e-02     4.221107e-03   
71      9.960582e-06     2.948145e-03     3.125000e-02     5.155260e-03   
72      9.940411e-06     1.955150e-03     1.562500e-02     7.811690e-03   
73      9.933858e-06     2.580467e-03     1.250000e-01     1.194959e-03   
74      9.889879e-06     1.489945e-03     1.562500e-02     1.273215e-02   
75      9.889510e-06     2.480404e-03     6.250000e-02     2.162070e-03   
76      9.864008e-06     1.595408e-03     1.562500e-02     9.344555e-03   
77      9.855658e-06     2.339463e-03     6.250000e-02     1.506415e-03   
78      9.840373e-06     1.670175e-03     1.562500e-02     6.812168e-03   
79      9.835537e-06     2.215526e-03     1.250000e-01     1.026245e-03   
80      9.803066e-06     1.278888e-03     1.562500e-02     1.090500e-02   
81      9.802237e-06     2.126942e-03     6.250000e-02     1.818672e-03   
82      9.783978e-06     1.378452e-03     1.562500e-02     7.858999e-03   
83      9.777268e-06     2.004675e-03     6.250000e-02     1.240247e-03   
84      9.766555e-06     1.447286e-03     1.562500e-02     5.633153e-03   
85      9.760787e-06     1.898075e-03     1.250000e-01     8.260196e-04   
86      9.738957e-06     1.123472e-03     1.562500e-02     8.866410e-03   
87      9.736962e-06     1.817291e-03     6.250000e-02     1.443575e-03   
88      9.724913e-06     1.211241e-03     1.562500e-02     6.288199e-03   
89      9.719122e-06     1.713524e-03     6.250000e-02     9.631828e-04   
90      9.718520e-06     1.268473e-03     3.125000e-02     4.442585e-03   
91      9.707479e-06     2.010266e-03     1.562500e-02     5.661908e-03   
92      9.702231e-06     1.458697e-03     6.250000e-02     1.247999e-03   
93      9.701551e-06     1.801541e-03     3.125000e-02     3.823147e-03   
94      9.691881e-06     1.083309e-03     1.562500e-02     5.625598e-03   
95      9.687180e-06     1.532619e-03     6.250000e-02     8.533429e-04   
96      9.686607e-06     1.137173e-03     3.125000e-02     3.937633e-03   
97      9.677912e-06     1.794213e-03     1.562500e-02     5.004925e-03   
98      9.673595e-06     1.306362e-03     6.250000e-02     1.099765e-03   
99      9.672925e-06     1.606840e-03     3.125000e-02     3.352781e-03   
100     9.665414e-06     9.753712e-04     1.562500e-02     4.931864e-03   
101     9.661491e-06     1.369464e-03     6.250000e-02     7.382287e-04   
102     9.660862e-06     1.024041e-03     3.125000e-02     3.423646e-03   
103     9.654223e-06     1.594115e-03     1.562500e-02     4.334409e-03   
104     9.650590e-06     1.171118e-03     6.250000e-02     9.536209e-04   
105     9.649878e-06     1.428627e-03     3.125000e-02     2.882454e-03   
106     9.644210e-06     8.831452e-04     1.562500e-02     4.245743e-03   
107     9.640878e-06     1.222679e-03     6.250000e-02     6.249461e-04   
108     9.640181e-06     9.255198e-04     3.125000e-02     2.926094e-03   
109     9.635245e-06     1.411017e-03     1.562500e-02     3.685124e-03   
110     9.634779e-06     1.050715e-03     1.250000e-01     8.152175e-04   
111     9.625112e-06     1.496535e-03     1.562500e-02     5.671386e-03   
112     9.624708e-06     9.475770e-04     6.250000e-02     1.154625e-03   
113     9.619924e-06     1.297559e-03     1.562500e-02     3.740469e-03   
114     9.617792e-06     9.332068e-04     6.250000e-02     8.051041e-04   
115     9.617497e-06     1.155070e-03     3.125000e-02     2.458743e-03   
116     9.613511e-06     6.930344e-04     1.562500e-02     3.595249e-03   
117     9.611501e-06     9.800897e-04     6.250000e-02     5.289158e-04   
118     9.611152e-06     7.326257e-04     3.125000e-02     2.445074e-03   
119     9.607770e-06     1.139695e-03     1.562500e-02     3.081769e-03   
120     9.605861e-06     8.387423e-04     6.250000e-02     6.710446e-04   
121     9.605436e-06     1.018807e-03     3.125000e-02     2.013989e-03   
122     9.602634e-06     6.364623e-04     1.562500e-02     2.960663e-03   
123     9.602269e-06     8.732782e-04     1.250000e-01     4.247750e-04   
124     9.596829e-06     4.935411e-04     1.562500e-02     4.428270e-03   
125     9.596566e-06     8.354173e-04     6.250000e-02     6.934996e-04   
126     9.593858e-06     5.474543e-04     1.562500e-02     2.978696e-03   
127     9.592619e-06     7.849400e-04     6.250000e-02     4.367924e-04   
128     9.592430e-06     5.823963e-04     3.125000e-02     2.004186e-03   
129     9.590182e-06     9.166560e-04     1.562500e-02     2.525379e-03   
130     9.588982e-06     6.701686e-04     6.250000e-02     5.442134e-04   
131     9.588725e-06     8.170033e-04     3.125000e-02     1.636287e-03   
132     9.586892e-06     5.068561e-04     1.562500e-02     2.398007e-03   
133     9.586687e-06     6.985991e-04     1.250000e-01     3.416955e-04   
134     9.583175e-06     3.938651e-04     1.562500e-02     3.553949e-03   
135     9.582993e-06     6.679652e-04     6.250000e-02     5.518069e-04   
136     9.581273e-06     4.385206e-04     1.562500e-02     2.368621e-03   
137     9.580463e-06     6.273710e-04     6.250000e-02     3.438493e-04   
138     9.580323e-06     4.671994e-04     3.125000e-02     1.580467e-03   
139     9.578918e-06     7.305045e-04     1.562500e-02     1.985860e-03   
140     9.578130e-06     5.365458e-04     6.250000e-02     4.272848e-04   
141     9.577944e-06     6.510027e-04     3.125000e-02     1.277389e-03   
142     9.576812e-06     4.081826e-04     1.562500e-02     1.872631e-03   
143     9.576555e-06     5.579466e-04     1.250000e-01     2.631685e-04   
144     9.574429e-06     3.194671e-04     1.562500e-02     2.753406e-03   
145     9.574248e-06     5.327592e-04     6.250000e-02     4.223549e-04   
146     9.573214e-06     3.551956e-04     1.562500e-02     1.821845e-03   
147     9.572663e-06     5.006179e-04     6.250000e-02     2.603364e-04   
