NewtonCholesky with backtrack line search.

CUTEst problem................: POWELLSG
Number of variables...........: 4
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 4
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 1.996650e-02
Gradient norm.........: 2.931030e-01
Total iterations......: 1000
Total time in seconds.: 0.023072
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 2570
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 20000
Subproblem time in seconds..............: 0.009129
How many times subproblem failed........: 0
Line search iterations..................: 2570
Line search time in seconds.............: 0.010007
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       3.914045e+01     4.587766e+02     1.000000e+00     9.930255e-01   
2       1.085755e+01     1.421282e+02     1.000000e+00     4.458357e-01   
3       8.072252e+00     4.301493e+01     5.000000e-01     5.718339e-01   
4       7.690155e+00     2.854961e+01     2.500000e-01     5.071125e-01   
5       6.995776e+00     2.081657e+01     2.500000e-01     7.029488e-01   
6       6.709382e+00     2.011439e+01     1.000000e+00     2.355395e-01   
7       6.510067e+00     2.148708e+01     5.000000e-01     3.756243e-01   
8       6.320660e+00     1.282431e+01     2.500000e-01     1.200893e+00   
9       5.599437e+00     2.168404e+01     5.000000e-01     5.138589e-01   
10      5.240979e+00     1.408666e+01     1.000000e+00     1.316707e-01   
11      5.060981e+00     1.577286e+01     2.500000e-01     3.911300e-01   
12      4.971118e+00     1.069841e+01     5.000000e-01     3.317940e-01   
13      4.811137e+00     1.517967e+01     5.000000e-01     3.889974e-01   
14      4.497969e+00     1.221204e+01     1.000000e+00     1.251311e-01   
15      4.391128e+00     9.123429e+00     5.000000e-01     3.111198e-01   
16      4.311510e+00     1.356723e+01     5.000000e-01     3.892317e-01   
17      3.934963e+00     1.062772e+01     1.000000e+00     1.194766e-01   
18      3.819158e+00     9.783939e+00     5.000000e-01     1.634073e-01   
19      3.749557e+00     1.059110e+01     5.000000e-01     2.103362e-01   
20      3.678794e+00     9.622861e+00     5.000000e-01     1.434778e-01   
21      3.545979e+00     7.443613e+00     2.500000e-01     4.824370e-01   
22      3.484319e+00     9.738265e+00     5.000000e-01     2.583243e-01   
23      3.436123e+00     7.572591e+00     1.000000e+00     1.161281e-01   
24      3.245962e+00     1.155170e+01     2.500000e-01     4.792345e-01   
25      3.135904e+00     6.418053e+00     2.500000e-01     2.778305e-01   
26      3.049057e+00     7.759903e+00     5.000000e-01     1.569646e-01   
27      3.018103e+00     5.565521e+00     5.000000e-01     1.263703e-01   
28      2.944603e+00     7.692379e+00     2.500000e-01     3.042294e-01   
29      2.925264e+00     5.443356e+00     2.500000e-01     2.931518e-01   
30      2.863062e+00     7.036166e+00     2.500000e-01     2.761189e-01   
31      2.840787e+00     5.301187e+00     2.500000e-01     2.660050e-01   
32      2.786652e+00     6.537367e+00     2.500000e-01     2.521950e-01   
33      2.762549e+00     5.194668e+00     2.500000e-01     2.431865e-01   
34      2.714251e+00     6.156478e+00     2.500000e-01     2.321754e-01   
35      2.689115e+00     5.108443e+00     2.500000e-01     2.243012e-01   
36      2.645124e+00     5.862270e+00     2.500000e-01     2.156978e-01   
37      2.619515e+00     5.033926e+00     2.500000e-01     2.089300e-01   
38      2.578776e+00     5.631153e+00     2.500000e-01     2.023901e-01   
39      2.553092e+00     4.966467e+00     2.500000e-01     1.966792e-01   
40      2.514870e+00     5.445888e+00     2.500000e-01     1.919087e-01   
