NewtonCholesky with backtrack line search.

CUTEst problem................: SROSENBR
Number of variables...........: 10
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 10
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 2.121540e+01
Gradient norm.........: 2.461719e+02
Total iterations......: 1000
Total time in seconds.: 0.099542
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 27594
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 80000
Subproblem time in seconds..............: 0.048874
How many times subproblem failed........: 0
Line search iterations..................: 27594
Line search time in seconds.............: 0.043498
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       9.502350e+01     5.124381e+02     4.882813e-04     3.770942e+02   
2       7.529878e+01     5.150064e+02     4.882813e-04     1.152227e+03   
3       7.517864e+01     4.600544e+02     6.103516e-05     5.768368e+02   
4       7.318072e+01     4.590358e+02     9.765625e-04     5.342228e+02   
5       7.008165e+01     4.588552e+02     6.103516e-05     2.910339e+03   
6       6.855301e+01     4.518763e+02     1.525879e-05     7.286044e+03   
7       6.758430e+01     4.456818e+02     1.525879e-05     4.057605e+04   
8       5.677925e+01     4.538156e+02     2.980232e-08     1.204057e+07   
9       5.604518e+01     4.089818e+02     2.441406e-04     4.339500e+02   
10      3.143697e+01     4.161830e+02     2.441406e-04     2.345164e+03   
11      3.128781e+01     2.884555e+02     1.907349e-06     1.638083e+04   
12      3.121999e+01     2.860395e+02     1.907349e-06     8.391489e+03   
13      3.118567e+01     2.865124e+02     3.814697e-06     8.305841e+03   
14      3.057386e+01     2.852992e+02     1.907349e-06     1.089291e+05   
15      3.003156e+01     2.903189e+02     7.629395e-06     1.080971e+04   
16      2.207202e+01     2.919302e+02     6.250000e-02     5.630456e+00   
17      2.201586e+01     2.522144e+02     1.525879e-05     1.619158e+03   
18      2.199531e+01     2.521969e+02     1.525879e-05     6.607533e+02   
19      2.198652e+01     2.519035e+02     6.103516e-05     1.898548e+02   
20      2.196608e+01     2.520088e+02     1.862645e-09     6.184616e+06   
21      2.195077e+01     2.516956e+02     6.103516e-05     1.589532e+02   
22      2.193630e+01     2.517300e+02     1.862645e-09     5.225750e+06   
23      2.193431e+01     2.514840e+02     1.220703e-04     1.365999e+02   
24      2.188191e+01     2.517002e+02     1.862645e-09     1.018037e+07   
25      2.187261e+01     2.510550e+02     3.051758e-05     2.946661e+02   
26      2.187158e+01     2.511238e+02     3.051758e-05     5.011674e+02   
27      2.184838e+01     2.508749e+02     1.525879e-05     8.639876e+02   
28      2.183965e+01     2.509147e+02     3.051758e-05     3.418638e+02   
29      2.182459e+01     2.506907e+02     1.525879e-05     5.797947e+02   
30      2.182184e+01     2.507212e+02     6.103516e-05     2.257073e+02   
31      2.179339e+01     2.504807e+02     1.525879e-05     1.024426e+03   
32      2.178808e+01     2.505215e+02     3.051758e-05     4.153534e+02   
33      2.176967e+01     2.502843e+02     1.525879e-05     7.153538e+02   
34      2.175896e+01     2.503234e+02     3.051758e-05     2.843512e+02   
35      2.174620e+01     2.501129e+02     1.525879e-05     4.819225e+02   
36      2.173519e+01     2.501370e+02     6.103516e-05     1.898357e+02   
37      2.171288e+01     2.498748e+02     1.525879e-05     8.541330e+02   
38      2.170468e+01     2.499193e+02     3.051758e-05     3.471785e+02   
39      2.168950e+01     2.496949e+02     1.525879e-05     5.978241e+02   
40      2.167751e+01     2.497294e+02     3.051758e-05     2.397475e+02   
41      2.167437e+01     2.495311e+02     3.051758e-05     4.062437e+02   
42      2.166075e+01     2.496938e+02     1.862645e-09     5.410023e+06   
43      2.165053e+01     2.494445e+02     6.103516e-05     1.795403e+02   
44      2.163282e+01     2.495345e+02     1.862645e-09     6.223708e+06   
45      2.163060e+01     2.492331e+02     6.103516e-05     2.123750e+02   
46      2.160619e+01     2.494073e+02     1.862645e-09     7.378885e+06   
47      2.159598e+01     2.490259e+02     3.051758e-05     2.597361e+02   
48      2.159037e+01     2.490746e+02     1.862645e-09     3.520427e+06   
49      2.157748e+01     2.489342e+02     1.220703e-04     1.211697e+02   
50      2.153779e+01     2.490564e+02     1.862645e-09     9.632443e+06   
