NewtonCholesky with backtrack line search.

CUTEst problem................: VARDIM
Number of variables...........: 10
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 10
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 2.854932e-01
Gradient norm.........: 1.228674e+00
Total iterations......: 1000
Total time in seconds.: 0.035597
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 1765
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 80000
Subproblem time in seconds..............: 0.025052
How many times subproblem failed........: 0
Line search iterations..................: 1765
Line search time in seconds.............: 0.005302
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       2.293278e+04     4.480427e+06     1.000000e+00     9.094855e+01   
2       4.192803e+03     1.043910e+05     1.000000e+00     2.843270e+01   
3       3.733465e+03     5.405315e+03     1.000000e+00     2.322088e+00   
4       3.649330e+03     2.640934e+03     1.000000e+00     1.116101e+01   
5       3.432047e+03     1.634097e+04     1.000000e+00     9.560146e+00   
6       2.668614e+03     1.172341e+02     3.125000e-02     4.521419e+02   
7       2.612636e+03     1.048713e+04     1.000000e+00     6.652124e+00   
8       1.982331e+03     1.060924e+02     3.125000e-02     2.966420e+02   
9       1.794261e+03     4.576942e+03     1.000000e+00     2.815732e-01   
10      1.594280e+03     8.337476e+02     2.500000e-01     2.377699e+01   
11      1.522061e+03     5.419729e+03     1.000000e+00     2.827108e+00   
12      1.276993e+03     2.349642e+02     1.250000e-01     6.483413e+01   
13      1.249399e+03     5.914574e+03     1.000000e+00     4.469695e+00   
14      9.987314e+02     9.611464e+01     6.250000e-02     1.520554e+02   
15      9.813888e+02     5.995491e+03     1.000000e+00     5.474576e+00   
16      8.879925e+02     6.617628e+01     6.250000e-02     1.902834e+02   
17      7.795802e+02     8.307336e+03     1.000000e+00     8.460914e+00   
18      4.639774e+02     5.957065e+01     6.250000e-02     1.724189e+02   
19      4.588016e+02     3.584531e+03     1.000000e+00     4.218140e+00   
20      3.128761e+02     5.046729e+01     6.250000e-02     1.237145e+02   
21      3.112143e+02     2.833233e+03     1.000000e+00     3.894853e+00   
22      1.935025e+02     4.210836e+01     6.250000e-02     1.038983e+02   
23      1.848889e+02     1.768146e+03     1.000000e+00     2.329582e+00   
24      1.206852e+02     6.272529e+01     6.250000e-02     6.210035e+01   
25      8.551211e+01     8.150832e+02     1.000000e+00     1.213369e+00   
26      6.904209e+01     3.958018e+02     5.000000e-01     5.161488e+00   
27      6.741598e+01     9.163551e+02     1.000000e+00     1.957194e+00   
28      5.317268e+01     3.475022e+01     1.250000e-01     4.162111e+01   
29      3.449312e+01     1.135215e+03     5.000000e-01     4.647358e+00   
30      2.913166e+01     1.178348e+02     2.500000e-01     9.910477e+00   
31      2.478783e+01     5.156648e+02     5.000000e-01     2.585096e+00   
32      2.180533e+01     9.551381e+01     2.500000e-01     8.388041e+00   
