NewtonCholesky with backtrack line search.

CUTEst problem................: WATSON
Number of variables...........: 12
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 12
Maximum line search iterations: 1000
Time limit....................: 10 min

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ summary statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Objective.............: 2.160598e-03
Gradient norm.........: 1.436922e-01
Total iterations......: 1000
Total time in seconds.: 0.253232
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ output statistics ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
Number of objective function evaluations: 4595
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Subproblem iterations...................: 108000
Subproblem time in seconds..............: 0.198670
How many times subproblem failed........: 0
Line search iterations..................: 4595
Line search time in seconds.............: 0.032848
How many times line search failed.......: 0
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ superscription ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
iter....: current iteration
f(x*)...: objective function avaluated at x(iter)
‖∇f(x)‖.: gradient norm used to calculate x(iter), so x in ‖∇f(x)‖ is equal to x(iter-1)
alpha...: step calculated by backtrack line search
‖d‖.....: search direction norm
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
__________________________________________________________________________
iter    f(x*)            ‖∇f(x)‖          alpha            ‖d‖            
1       1.673760e+01     2.135930e+02     2.500000e-01     5.569586e+00   
2       2.925496e+00     2.194685e+02     1.250000e-01     4.045870e+00   
3       2.046758e+00     5.074790e+01     5.000000e-01     2.122889e-01   
4       1.831737e+00     2.480570e+01     2.500000e-01     3.451188e-01   
5       1.687277e+00     3.725017e+01     2.500000e-01     2.510751e-01   
6       1.500162e+00     2.225545e+01     1.250000e-01     1.333065e+00   
7       1.370469e+00     4.315612e+01     1.250000e-01     7.560199e-01   
8       1.277561e+00     1.392817e+01     1.250000e-01     1.040187e+00   
9       1.203727e+00     3.441740e+01     1.250000e-01     6.106185e-01   
10      1.156110e+00     1.190603e+01     1.250000e-01     9.444930e-01   
11      1.116581e+00     3.093025e+01     1.250000e-01     6.332752e-01   
12      1.109595e+00     1.332263e+01     1.250000e-01     1.008517e+00   
13      1.102753e+00     3.174071e+01     1.250000e-01     8.057365e-01   
14      9.223742e-01     1.859549e+01     6.250000e-02     1.281335e+00   
15      9.060927e-01     1.223700e+01     2.500000e-01     4.964149e-02   
16      8.687292e-01     7.913505e+00     6.250000e-02     6.150751e-01   
17      8.532069e-01     1.013704e+01     2.500000e-01     3.233316e-02   
18      8.322764e-01     6.911081e+00     6.250000e-02     4.781978e-01   
19      8.247118e-01     9.178986e+00     2.500000e-01     4.608921e-02   
20      7.459620e-01     7.158329e+00     1.000000e+00     8.532880e-02   
21      6.943036e-01     6.485802e+00     2.500000e-01     3.428342e-01   
22      5.945934e-01     1.632498e+01     2.500000e-01     1.869191e-01   
23      5.824258e-01     9.338834e+00     5.000000e-01     3.824272e-02   
24      5.341914e-01     9.869355e+00     2.500000e-01     1.140582e-01   
25      5.140598e-01     7.000775e+00     5.000000e-01     2.109141e-02   
26      5.123149e-01     6.011234e+00     5.000000e-01     7.442389e-02   
27      4.645832e-01     1.430343e+01     2.500000e-01     6.341531e-02   
28      4.520768e-01     4.150969e+00     5.000000e-01     5.160477e-02   
29      4.257342e-01     1.022123e+01     2.500000e-01     3.848767e-02   
30      4.098710e-01     3.056098e+00     5.000000e-01     3.886997e-02   
31      4.079068e-01     7.467494e+00     5.000000e-01     2.287729e-02   
32      3.767839e-01     8.044088e+00     2.500000e-01     7.759339e-02   
33      3.668122e-01     5.534613e+00     5.000000e-01     1.466238e-02   
34      3.501452e-01     4.841582e+00     2.500000e-01     5.197861e-02   
35      3.458547e-01     4.331803e+00     1.000000e+00     1.205489e-02   
36      3.158891e-01     8.295765e+00     2.500000e-01     7.250550e-02   
37      3.106037e-01     5.249787e+00     5.000000e-01     1.404907e-02   
38      2.954622e-01     4.970450e+00     2.500000e-01     4.814812e-02   
39      2.871708e-01     4.045231e+00     5.000000e-01     1.060661e-02   
40      2.842342e-01     3.082192e+00     5.000000e-01     3.403929e-02   
41      2.690016e-01     7.954277e+00     2.500000e-01     2.946576e-02   
42      2.627414e-01     2.199519e+00     5.000000e-01     2.571808e-02   
43      2.536805e-01     5.812127e+00     2.500000e-01     1.841641e-02   
44      2.507374e-01     1.795189e+00     1.000000e+00     2.038324e-02   
45      2.338045e-01     8.527602e+00     2.500000e-01     3.471980e-02   
46      2.306468e-01     2.331667e+00     5.000000e-01     2.552083e-02   
47      2.211610e-01     6.181405e+00     2.500000e-01     2.206618e-02   
48      2.161346e-01     1.735227e+00     5.000000e-01     1.980503e-02   
49      2.102411e-01     4.571980e+00     2.500000e-01     1.398332e-02   
50      2.058562e-01     1.505652e+00     1.000000e+00     1.602237e-02   
51      1.954659e-01     6.605366e+00     2.500000e-01     2.636163e-02   
52      1.923936e-01     1.782688e+00     5.000000e-01     1.990573e-02   
53      1.863244e-01     4.847006e+00     2.500000e-01     1.681929e-02   
54      1.822243e-01     1.419163e+00     5.000000e-01     1.574963e-02   
55      1.811949e-01     3.648952e+00     5.000000e-01     1.090691e-02   
56      1.737784e-01     3.584718e+00     2.500000e-01     3.129152e-02   
57      1.707853e-01     2.815300e+00     5.000000e-01     7.496987e-03   
58      1.707728e-01     2.204271e+00     5.000000e-01     2.231589e-02   
59      1.628953e-01     5.751717e+00     2.500000e-01     2.406802e-02   
60      1.607652e-01     1.536667e+00     5.000000e-01     1.711955e-02   
61      1.561537e-01     4.242993e+00     2.500000e-01     1.555325e-02   
62      1.531821e-01     1.229104e+00     5.000000e-01     1.355974e-02   
63      1.526106e-01     3.213200e+00     5.000000e-01     1.017933e-02   
64      1.468588e-01     3.146962e+00     2.500000e-01     2.773331e-02   
65      1.447033e-01     2.492734e+00     5.000000e-01     6.859746e-03   
66      1.413723e-01     1.943700e+00     2.500000e-01     1.984461e-02   
67      1.399412e-01     2.035822e+00     1.000000e+00     5.641864e-03   
68      1.338175e-01     3.439286e+00     2.500000e-01     2.923223e-02   
69      1.324136e-01     2.497509e+00     5.000000e-01     7.466238e-03   
70      1.290538e-01     2.106899e+00     2.500000e-01     2.074468e-02   
71      1.269491e-01     2.015119e+00     5.000000e-01     5.568732e-03   
72      1.261137e-01     1.373026e+00     5.000000e-01     1.530057e-02   
73      1.227156e-01     3.847639e+00     2.500000e-01     4.201593e-02   
74      1.220329e-01     1.495049e+00     5.000000e-01     2.041996e-02   
75      1.184405e-01     4.126060e+00     2.500000e-01     4.349366e-02   
76      1.159878e-01     1.568647e+00     2.500000e-01     4.249428e-02   
77      1.152320e-01     2.101751e+00     5.000000e-01     1.619905e-02   
78      1.122288e-01     2.242417e+00     2.500000e-01     4.930251e-02   
79      1.104266e-01     2.337594e+00     2.500000e-01     2.676244e-02   
80      1.093560e-01     1.025712e+00     5.000000e-01     2.293952e-02   
81      1.071522e-01     2.968654e+00     2.500000e-01     4.202370e-02   
82      1.053758e-01     1.323842e+00     2.500000e-01     3.259943e-02   
83      1.046471e-01     1.782001e+00     5.000000e-01     1.757632e-02   
84      1.023171e-01     1.939696e+00     2.500000e-01     4.664751e-02   
85      1.008110e-01     2.190386e+00     2.500000e-01     2.778677e-02   
86      1.003492e-01     9.830890e-01     5.000000e-01     2.395507e-02   
87      9.819809e-02     3.019921e+00     2.500000e-01     4.049149e-02   
88      9.678609e-02     1.139676e+00     2.500000e-01     2.870792e-02   
89      9.620698e-02     1.614638e+00     5.000000e-01     1.737473e-02   
90      9.428130e-02     1.780870e+00     2.500000e-01     4.622580e-02   
91      9.294285e-02     2.122705e+00     2.500000e-01     2.330063e-02   
92      9.192835e-02     8.229105e-01     5.000000e-01     1.784985e-02   
93      9.024181e-02     2.319594e+00     2.500000e-01     2.296933e-02   
94      8.832232e-02     1.855435e+00     2.500000e-01     2.912587e-02   
95      8.667787e-02     1.678115e+00     2.500000e-01     1.791081e-02   
96      8.635320e-02     1.238273e+00     5.000000e-01     1.696526e-02   
97      8.437525e-02     3.169536e+00     2.500000e-01     2.881428e-02   
98      8.141824e-02     2.364772e+00     2.500000e-01     3.075469e-02   
